Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.000104207
spmv_sequential,1,2,NA,0.00010532
spmv_sequential,1,3,NA,9.76361e-05
spmv_sequential,1,4,NA,6.3777e-05
spmv_sequential,1,5,NA,9.55872e-05
spmv_sequential,1,6,NA,5.62575e-05
spmv_sequential,1,7,NA,4.574e-05
spmv_sequential,1,8,NA,9.54382e-05
spmv_sequential,1,9,NA,5.2169e-05
spmv_sequential,1,10,NA,6.54031e-05
spmv_sequential,2,1,NA,9.60333e-05
spmv_sequential,2,2,NA,6.474e-05
spmv_sequential,2,3,NA,9.61237e-05
spmv_sequential,2,4,NA,9.62587e-05
spmv_sequential,2,5,NA,9.574e-05
spmv_sequential,2,6,NA,9.58676e-05
spmv_sequential,2,7,NA,6.44503e-05
spmv_sequential,2,8,NA,9.44864e-05
spmv_sequential,2,9,NA,9.57446e-05
spmv_sequential,2,10,NA,0.000105133
spmv_sequential,4,1,NA,9.66555e-05
spmv_sequential,4,2,NA,9.58303e-05
spmv_sequential,4,3,NA,5.0379e-05
spmv_sequential,4,4,NA,3.69968e-05
spmv_sequential,4,5,NA,7.44686e-05
spmv_sequential,4,6,NA,4.82528e-05
spmv_sequential,4,7,NA,9.68101e-05
spmv_sequential,4,8,NA,9.64459e-05
spmv_sequential,4,9,NA,9.51719e-05
spmv_sequential,4,10,NA,7.01109e-05
spmv_sequential,8,1,NA,6.874e-05
spmv_sequential,8,2,NA,6.37723e-05
spmv_sequential,8,3,NA,9.69414e-05
spmv_sequential,8,4,NA,9.84073e-05
spmv_sequential,8,5,NA,5.02411e-05
spmv_sequential,8,6,NA,3.3197e-05
spmv_sequential,8,7,NA,3.93381e-05
spmv_sequential,8,8,NA,3.03891e-05
spmv_sequential,8,9,NA,6.40145e-05
spmv_sequential,8,10,NA,6.49411e-05
spmv_sequential,16,1,NA,9.52221e-05
spmv_sequential,16,2,NA,6.4048e-05
spmv_sequential,16,3,NA,6.53127e-05
spmv_sequential,16,4,NA,5.86174e-05
spmv_sequential,16,5,NA,8.61026e-05
spmv_sequential,16,6,NA,9.69181e-05
spmv_sequential,16,7,NA,8.78079e-05
spmv_sequential,16,8,NA,9.69321e-05
spmv_sequential,16,9,NA,6.46729e-05
spmv_sequential,16,10,NA,8.7495e-05
spmv_sequential,32,1,NA,9.52939e-05
spmv_sequential,32,2,NA,5.99297e-05
spmv_sequential,32,3,NA,9.62652e-05
spmv_sequential,32,4,NA,8.7033e-05
spmv_sequential,32,5,NA,8.79411e-05
spmv_sequential,32,6,NA,6.47763e-05
spmv_sequential,32,7,NA,5.97667e-05
spmv_sequential,32,8,NA,5.97052e-05
spmv_sequential,32,9,NA,0.000130328
spmv_sequential,32,10,NA,9.61516e-05
spmv_sequential,64,1,NA,9.45898e-05
spmv_sequential,64,2,NA,0.000102403
spmv_sequential,64,3,NA,0.000101844
spmv_sequential,64,4,NA,9.46308e-05
spmv_sequential,64,5,NA,9.4939e-05
spmv_sequential,64,6,NA,5.28777e-05
spmv_sequential,64,7,NA,6.89914e-05
spmv_sequential,64,8,NA,6.97458e-05
spmv_sequential,64,9,NA,9.61674e-05
spmv_sequential,64,10,NA,6.81207e-05
spmv_sequential,96,1,NA,9.48329e-05
spmv_sequential,96,2,NA,9.60352e-05
spmv_sequential,96,3,NA,0.000122349
spmv_sequential,96,4,NA,9.55565e-05
spmv_sequential,96,5,NA,9.55481e-05
spmv_sequential,96,6,NA,9.55537e-05
spmv_sequential,96,7,NA,9.60277e-05
spmv_sequential,96,8,NA,9.74899e-05
spmv_sequential,96,9,NA,9.5685e-05
spmv_sequential,96,10,NA,5.91446e-05
spmv_static,1,1,NA,0.00010285
spmv_static,1,2,NA,0.000132718
spmv_static,1,3,NA,7.81305e-05
spmv_static,1,4,NA,8.84673e-05
spmv_static,1,5,NA,0.000125095
spmv_static,1,6,NA,6.94096e-05
spmv_static,1,7,NA,0.000123624
spmv_static,1,8,NA,0.000126309
spmv_static,1,9,NA,0.000115239
spmv_static,1,10,NA,7.28229e-05
spmv_static,2,1,NA,0.00020232
spmv_static,2,2,NA,0.00017847
spmv_static,2,3,NA,0.000235064
spmv_static,2,4,NA,0.000221161
spmv_static,2,5,NA,0.000221024
spmv_static,2,6,NA,0.00021076
spmv_static,2,7,NA,0.000124223
spmv_static,2,8,NA,0.000181558
spmv_static,2,9,NA,0.000268237
spmv_static,2,10,NA,0.000222865
spmv_static,4,1,NA,0.000244956
spmv_static,4,2,NA,0.000260664
spmv_static,4,3,NA,0.000237139
spmv_static,4,4,NA,0.000270289
spmv_static,4,5,NA,0.000234431
spmv_static,4,6,NA,0.000195387
spmv_static,4,7,NA,0.000231122
spmv_static,4,8,NA,0.00024759
spmv_static,4,9,NA,0.000277692
spmv_static,4,10,NA,0.00023616
spmv_static,8,1,NA,0.000249188
spmv_static,8,2,NA,0.000415918
spmv_static,8,3,NA,0.000292029
spmv_static,8,4,NA,0.000285863
spmv_static,8,5,NA,0.000422285
spmv_static,8,6,NA,0.000268942
spmv_static,8,7,NA,0.000367982
spmv_static,8,8,NA,0.000402842
spmv_static,8,9,NA,0.000366313
spmv_static,8,10,NA,0.000309991
spmv_static,16,1,NA,0.000613592
spmv_static,16,2,NA,0.000612689
spmv_static,16,3,NA,0.000497753
spmv_static,16,4,NA,0.000398404
spmv_static,16,5,NA,0.0007136
spmv_static,16,6,NA,0.000682776
spmv_static,16,7,NA,0.000475781
spmv_static,16,8,NA,0.000712004
spmv_static,16,9,NA,0.00069827
spmv_static,16,10,NA,0.000533047
spmv_static,32,1,NA,0.000720573
spmv_static,32,2,NA,0.000701251
spmv_static,32,3,NA,0.00131477
spmv_static,32,4,NA,0.00113747
spmv_static,32,5,NA,0.00100701
spmv_static,32,6,NA,0.000656024
spmv_static,32,7,NA,0.00128122
spmv_static,32,8,NA,0.00124002
spmv_static,32,9,NA,0.00133909
spmv_static,32,10,NA,0.000989566
spmv_static,64,1,NA,0.00150334
spmv_static,64,2,NA,0.00182837
spmv_static,64,3,NA,0.00159976
spmv_static,64,4,NA,0.00180432
spmv_static,64,5,NA,0.00149874
spmv_static,64,6,NA,0.00248738
spmv_static,64,7,NA,0.00234547
spmv_static,64,8,NA,0.00167303
spmv_static,64,9,NA,0.00170751
spmv_static,64,10,NA,0.00147554
spmv_static,96,1,NA,0.0220332
spmv_static,96,2,NA,0.00984627
spmv_static,96,3,NA,0.00999431
spmv_static,96,4,NA,0.00969951
spmv_static,96,5,NA,0.0146433
spmv_static,96,6,NA,0.00969506
spmv_static,96,7,NA,0.0109699
spmv_static,96,8,NA,0.010634
spmv_static,96,9,NA,0.01656
spmv_static,96,10,NA,0.00996583
spmv_manual,1,1,NA,7.82004e-05
spmv_manual,1,2,NA,8.05035e-05
spmv_manual,1,3,NA,8.01571e-05
spmv_manual,1,4,NA,0.00012141
spmv_manual,1,5,NA,7.09379e-05
spmv_manual,1,6,NA,0.000121473
spmv_manual,1,7,NA,7.13635e-05
spmv_manual,1,8,NA,0.000121945
