Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.00123116
spmv_runtime_static,1,2,10,0.00123193
spmv_runtime_static,1,3,10,0.00118362
spmv_runtime_static,1,4,10,0.00115251
spmv_runtime_static,1,5,10,0.00119567
spmv_runtime_static,1,6,10,0.0012046
spmv_runtime_static,1,7,10,0.00120473
spmv_runtime_static,1,8,10,0.00117273
spmv_runtime_static,1,9,10,0.00120628
spmv_runtime_static,1,10,10,0.00119536
spmv_runtime_static,2,1,10,0.00262284
spmv_runtime_static,2,2,10,0.00389748
spmv_runtime_static,2,3,10,0.0041535
spmv_runtime_static,2,4,10,0.0011532
spmv_runtime_static,2,5,10,0.00299497
spmv_runtime_static,2,6,10,0.00393114
spmv_runtime_static,2,7,10,0.00461225
spmv_runtime_static,2,8,10,0.00305032
spmv_runtime_static,2,9,10,0.00207487
spmv_runtime_static,2,10,10,0.00369313
spmv_runtime_static,4,1,10,0.00261403
spmv_runtime_static,4,2,10,0.0020335
spmv_runtime_static,4,3,10,0.00210354
spmv_runtime_static,4,4,10,0.00199222
spmv_runtime_static,4,5,10,0.000843355
spmv_runtime_static,4,6,10,0.000948284
spmv_runtime_static,4,7,10,0.000947049
spmv_runtime_static,4,8,10,0.000933865
spmv_runtime_static,4,9,10,0.000801094
spmv_runtime_static,4,10,10,0.000929527
spmv_runtime_static,8,1,10,0.000792244
spmv_runtime_static,8,2,10,0.000727257
spmv_runtime_static,8,3,10,0.000813818
spmv_runtime_static,8,4,10,0.000692304
spmv_runtime_static,8,5,10,0.000732221
spmv_runtime_static,8,6,10,0.000674071
spmv_runtime_static,8,7,10,0.000664787
spmv_runtime_static,8,8,10,0.000745023
spmv_runtime_static,8,9,10,0.000675559
spmv_runtime_static,8,10,10,0.000677487
spmv_runtime_static,16,1,10,0.00123588
spmv_runtime_static,16,2,10,0.00130542
spmv_runtime_static,16,3,10,0.00134829
spmv_runtime_static,16,4,10,0.00143621
spmv_runtime_static,16,5,10,0.00143049
spmv_runtime_static,16,6,10,0.00138946
