Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.00026047
spmv_runtime_static,1,2,10,0.00027013
spmv_runtime_static,1,3,10,0.000262899
spmv_runtime_static,1,4,10,0.000265951
spmv_runtime_static,1,5,10,0.000253893
spmv_runtime_static,1,6,10,0.000264321
spmv_runtime_static,1,7,10,0.000257612
spmv_runtime_static,1,8,10,0.00025413
spmv_runtime_static,1,9,10,0.000268208
spmv_runtime_static,1,10,10,0.000275548
spmv_runtime_static,2,1,10,0.000615682
spmv_runtime_static,2,2,10,0.000584153
spmv_runtime_static,2,3,10,0.000606474
spmv_runtime_static,2,4,10,0.000613367
spmv_runtime_static,2,5,10,0.000583472
spmv_runtime_static,2,6,10,0.000579489
spmv_runtime_static,2,7,10,0.000598327
spmv_runtime_static,2,8,10,0.000608786
spmv_runtime_static,2,9,10,0.000579468
spmv_runtime_static,2,10,10,0.000611916
spmv_runtime_static,4,1,10,0.0012571
spmv_runtime_static,4,2,10,0.000561776
spmv_runtime_static,4,3,10,0.000512077
spmv_runtime_static,4,4,10,0.000619871
spmv_runtime_static,4,5,10,0.000544418
spmv_runtime_static,4,6,10,0.000787702
spmv_runtime_static,4,7,10,0.000535569
spmv_runtime_static,4,8,10,0.000601852
spmv_runtime_static,4,9,10,0.000590743
spmv_runtime_static,4,10,10,0.000503579
spmv_runtime_static,8,1,10,0.000439963
spmv_runtime_static,8,2,10,0.000463342
spmv_runtime_static,8,3,10,0.000459361
spmv_runtime_static,8,4,10,0.000403277
spmv_runtime_static,8,5,10,0.000417822
spmv_runtime_static,8,6,10,0.000434189
spmv_runtime_static,8,7,10,0.000434417
spmv_runtime_static,8,8,10,0.000451192
spmv_runtime_static,8,9,10,0.000424989
spmv_runtime_static,8,10,10,0.000444393
spmv_runtime_static,16,1,10,0.00045927
spmv_runtime_static,16,2,10,0.000510148
spmv_runtime_static,16,3,10,0.000488359
spmv_runtime_static,16,4,10,0.000474234
spmv_runtime_static,16,5,10,0.00046911
spmv_runtime_static,16,6,10,0.000738276
spmv_runtime_static,16,7,10,0.000474547
spmv_runtime_static,16,8,10,0.000446846
spmv_runtime_static,16,9,10,0.000454585
spmv_runtime_static,16,10,10,0.000469613
spmv_runtime_static,32,1,10,0.00161497
spmv_runtime_static,32,2,10,0.00150022
spmv_runtime_static,32,3,10,0.00151325
spmv_runtime_static,32,4,10,0.00166085
spmv_runtime_static,32,5,10,0.00170507
spmv_runtime_static,32,6,10,0.00166719
spmv_runtime_static,32,7,10,0.00160649
spmv_runtime_static,32,8,10,0.00156099
spmv_runtime_static,32,9,10,0.00157037
spmv_runtime_static,32,10,10,0.00156855
spmv_runtime_static,64,1,10,0.00184261
spmv_runtime_static,64,2,10,0.00243385
spmv_runtime_static,64,3,10,0.00229183
spmv_runtime_static,64,4,10,0.00236681
spmv_runtime_static,64,5,10,0.00258337
spmv_runtime_static,64,6,10,0.00246945
spmv_runtime_static,64,7,10,0.00234166
spmv_runtime_static,64,8,10,0.00245924
spmv_runtime_static,64,9,10,0.00254525
spmv_runtime_static,64,10,10,0.00249105
spmv_runtime_static,96,1,10,0.0185071
spmv_runtime_static,96,2,10,0.0128842
spmv_runtime_static,96,3,10,0.0132832
spmv_runtime_static,96,4,10,0.012744
spmv_runtime_static,96,5,10,0.0231846
spmv_runtime_static,96,6,10,0.0132568
spmv_runtime_static,96,7,10,0.0178614
spmv_runtime_static,96,8,10,0.0141408
spmv_runtime_static,96,9,10,0.0186891
spmv_runtime_static,96,10,10,0.0197665
spmv_runtime_static,1,1,100,0.000276405
spmv_runtime_static,1,2,100,0.000265414
spmv_runtime_static,1,3,100,0.00025731
spmv_runtime_static,1,4,100,0.000261994
spmv_runtime_static,1,5,100,0.000259576
spmv_runtime_static,1,6,100,0.000256821
spmv_runtime_static,1,7,100,0.000256904
spmv_runtime_static,1,8,100,0.000256277
spmv_runtime_static,1,9,100,0.000256271
spmv_runtime_static,1,10,100,0.000261134
spmv_runtime_static,2,1,100,0.000571095
spmv_runtime_static,2,2,100,0.000546335
spmv_runtime_static,2,3,100,0.000546443
spmv_runtime_static,2,4,100,0.000542045
spmv_runtime_static,2,5,100,0.000534745
spmv_runtime_static,2,6,100,0.000552732
spmv_runtime_static,2,7,100,0.000539124
spmv_runtime_static,2,8,100,0.000553252
spmv_runtime_static,2,9,100,0.00054529
spmv_runtime_static,2,10,100,0.000544728
spmv_runtime_static,4,1,100,0.000420997
spmv_runtime_static,4,2,100,0.000431221
spmv_runtime_static,4,3,100,0.000402694
spmv_runtime_static,4,4,100,0.000445283
spmv_runtime_static,4,5,100,0.00041764
spmv_runtime_static,4,6,100,0.000452207
spmv_runtime_static,4,7,100,0.000467254
spmv_runtime_static,4,8,100,0.000441458
spmv_runtime_static,4,9,100,0.000451217
spmv_runtime_static,4,10,100,0.000426334
spmv_runtime_static,8,1,100,0.000373768
spmv_runtime_static,8,2,100,0.00038255
spmv_runtime_static,8,3,100,0.000363705
spmv_runtime_static,8,4,100,0.000400987
spmv_runtime_static,8,5,100,0.000378049
spmv_runtime_static,8,6,100,0.00039855
spmv_runtime_static,8,7,100,0.000427114
spmv_runtime_static,8,8,100,0.000381507
spmv_runtime_static,8,9,100,0.000405422
spmv_runtime_static,8,10,100,0.000409966
spmv_runtime_static,16,1,100,0.000519608
spmv_runtime_static,16,2,100,0.000479437
spmv_runtime_static,16,3,100,0.000497726
spmv_runtime_static,16,4,100,0.000452596
spmv_runtime_static,16,5,100,0.00055208
spmv_runtime_static,16,6,100,0.00051826
spmv_runtime_static,16,7,100,0.000523208
spmv_runtime_static,16,8,100,0.000499133
spmv_runtime_static,16,9,100,0.000491554
spmv_runtime_static,16,10,100,0.000516662
spmv_runtime_static,32,1,100,0.000864628
spmv_runtime_static,32,2,100,0.000842992
spmv_runtime_static,32,3,100,0.000826659
spmv_runtime_static,32,4,100,0.000827273
spmv_runtime_static,32,5,100,0.00089555
spmv_runtime_static,32,6,100,0.000789816
spmv_runtime_static,32,7,100,0.000899819
spmv_runtime_static,32,8,100,0.000767505
spmv_runtime_static,32,9,100,0.000853691
spmv_runtime_static,32,10,100,0.000788135
spmv_runtime_static,64,1,100,0.00143546
spmv_runtime_static,64,2,100,0.00130257
spmv_runtime_static,64,3,100,0.00145339
spmv_runtime_static,64,4,100,0.00150683
spmv_runtime_static,64,5,100,0.00138406
spmv_runtime_static,64,6,100,0.0131467
spmv_runtime_static,64,7,100,0.00155973
spmv_runtime_static,64,8,100,0.00147122
spmv_runtime_static,64,9,100,0.00137639
spmv_runtime_static,64,10,100,0.001429
spmv_runtime_static,96,1,100,0.0227364
spmv_runtime_static,96,2,100,0.0159341
spmv_runtime_static,96,3,100,0.0161158
spmv_runtime_static,96,4,100,0.0161175
spmv_runtime_static,96,5,100,0.0168139
spmv_runtime_static,96,6,100,0.0171316
spmv_runtime_static,96,7,100,0.0144991
spmv_runtime_static,96,8,100,0.0163187
spmv_runtime_static,96,9,100,0.0161653
spmv_runtime_static,96,10,100,0.0167321
spmv_runtime_static,1,1,1000,0.000277839
spmv_runtime_static,1,2,1000,0.000277729
spmv_runtime_static,1,3,1000,0.000274325
spmv_runtime_static,1,4,1000,0.000258883
spmv_runtime_static,1,5,1000,0.000266706
spmv_runtime_static,1,6,1000,0.000253847
spmv_runtime_static,1,7,1000,0.000306097
spmv_runtime_static,1,8,1000,0.000259019
spmv_runtime_static,1,9,1000,0.000273608
spmv_runtime_static,1,10,1000,0.000258437
spmv_runtime_static,2,1,1000,0.000562287
spmv_runtime_static,2,2,1000,0.00054625
spmv_runtime_static,2,3,1000,0.000590904
spmv_runtime_static,2,4,1000,0.000597552
spmv_runtime_static,2,5,1000,0.00056528
spmv_runtime_static,2,6,1000,0.000562047
spmv_runtime_static,2,7,1000,0.000550051
spmv_runtime_static,2,8,1000,0.000582784
spmv_runtime_static,2,9,1000,0.00055232
spmv_runtime_static,2,10,1000,0.000551747
spmv_runtime_static,4,1,1000,0.000433451
spmv_runtime_static,4,2,1000,0.000454941
spmv_runtime_static,4,3,1000,0.000422522
spmv_runtime_static,4,4,1000,0.000424216
spmv_runtime_static,4,5,1000,0.000448098
spmv_runtime_static,4,6,1000,0.000407111
spmv_runtime_static,4,7,1000,0.000435585
spmv_runtime_static,4,8,1000,0.000398337
spmv_runtime_static,4,9,1000,0.000418419
spmv_runtime_static,4,10,1000,0.000430479
spmv_runtime_static,8,1,1000,0.00037012
spmv_runtime_static,8,2,1000,0.000374656
spmv_runtime_static,8,3,1000,0.000362061
spmv_runtime_static,8,4,1000,0.000375211
spmv_runtime_static,8,5,1000,0.000414473
spmv_runtime_static,8,6,1000,0.000405319
spmv_runtime_static,8,7,1000,0.000374922
spmv_runtime_static,8,8,1000,0.000418461
spmv_runtime_static,8,9,1000,0.000415477
spmv_runtime_static,8,10,1000,0.000389738
spmv_runtime_static,16,1,1000,0.000458947
spmv_runtime_static,16,2,1000,0.000492156
spmv_runtime_static,16,3,1000,0.000482996
spmv_runtime_static,16,4,1000,0.000437508
spmv_runtime_static,16,5,1000,0.000466418
spmv_runtime_static,16,6,1000,0.000440706
spmv_runtime_static,16,7,1000,0.00047229
spmv_runtime_static,16,8,1000,0.000481204
spmv_runtime_static,16,9,1000,0.000444859
spmv_runtime_static,16,10,1000,0.000436886
spmv_runtime_static,32,1,1000,0.000769812
spmv_runtime_static,32,2,1000,0.000712111
spmv_runtime_static,32,3,1000,0.00074745
spmv_runtime_static,32,4,1000,0.000742977
spmv_runtime_static,32,5,1000,0.000727201
spmv_runtime_static,32,6,1000,0.000731449
spmv_runtime_static,32,7,1000,0.000773635
spmv_runtime_static,32,8,1000,0.000884193
spmv_runtime_static,32,9,1000,0.000803712
spmv_runtime_static,32,10,1000,0.000775525
spmv_runtime_static,64,1,1000,0.0013932
spmv_runtime_static,64,2,1000,0.00144314
spmv_runtime_static,64,3,1000,0.00145024
spmv_runtime_static,64,4,1000,0.00124655
spmv_runtime_static,64,5,1000,0.00129524
spmv_runtime_static,64,6,1000,0.00139093
spmv_runtime_static,64,7,1000,0.00145513
spmv_runtime_static,64,8,1000,0.00146957
spmv_runtime_static,64,9,1000,0.00145036
spmv_runtime_static,64,10,1000,0.00154374
spmv_runtime_static,96,1,1000,0.0175898
spmv_runtime_static,96,2,1000,0.0141148
spmv_runtime_static,96,3,1000,0.0129259
spmv_runtime_static,96,4,1000,0.0165914
spmv_runtime_static,96,5,1000,0.0153046
spmv_runtime_static,96,6,1000,0.0181807
spmv_runtime_static,96,7,1000,0.0170942
spmv_runtime_static,96,8,1000,0.0137872
spmv_runtime_static,96,9,1000,0.0119953
spmv_runtime_static,96,10,1000,0.0162741
spmv_runtime_static,1,1,10000,0.000275046
spmv_runtime_static,1,2,10000,0.000258159
spmv_runtime_static,1,3,10000,0.000254352
spmv_runtime_static,1,4,10000,0.000264907
spmv_runtime_static,1,5,10000,0.000262892
spmv_runtime_static,1,6,10000,0.000253612
spmv_runtime_static,1,7,10000,0.00026108
spmv_runtime_static,1,8,10000,0.00026108
spmv_runtime_static,1,9,10000,0.000253415
spmv_runtime_static,1,10,10000,0.000254135
spmv_runtime_static,2,1,10000,0.00036496
spmv_runtime_static,2,2,10000,0.000367759
spmv_runtime_static,2,3,10000,0.000360124
spmv_runtime_static,2,4,10000,0.0003644
spmv_runtime_static,2,5,10000,0.000383037
spmv_runtime_static,2,6,10000,0.000364657
spmv_runtime_static,2,7,10000,0.000360567
spmv_runtime_static,2,8,10000,0.000361632
spmv_runtime_static,2,9,10000,0.000363954
spmv_runtime_static,2,10,10000,0.000363776
spmv_runtime_static,4,1,10000,0.000385396
spmv_runtime_static,4,2,10000,0.000412769
spmv_runtime_static,4,3,10000,0.000407888
spmv_runtime_static,4,4,10000,0.000402411
spmv_runtime_static,4,5,10000,0.000397604
spmv_runtime_static,4,6,10000,0.000378629
spmv_runtime_static,4,7,10000,0.000380811
spmv_runtime_static,4,8,10000,0.000400139
spmv_runtime_static,4,9,10000,0.000414481
spmv_runtime_static,4,10,10000,0.000427884
spmv_runtime_static,8,1,10000,0.000447404
spmv_runtime_static,8,2,10000,0.000488167
spmv_runtime_static,8,3,10000,0.000467832
spmv_runtime_static,8,4,10000,0.000436442
spmv_runtime_static,8,5,10000,0.000445052
spmv_runtime_static,8,6,10000,0.000451908
spmv_runtime_static,8,7,10000,0.000438315
spmv_runtime_static,8,8,10000,0.000500776
spmv_runtime_static,8,9,10000,0.000479062
spmv_runtime_static,8,10,10000,0.00048829
spmv_runtime_static,16,1,10000,0.000673243
spmv_runtime_static,16,2,10000,0.000596027
spmv_runtime_static,16,3,10000,0.000622069
spmv_runtime_static,16,4,10000,0.000581836
spmv_runtime_static,16,5,10000,0.00060241
spmv_runtime_static,16,6,10000,0.00062398
spmv_runtime_static,16,7,10000,0.000629468
spmv_runtime_static,16,8,10000,0.000664209
spmv_runtime_static,16,9,10000,0.000594033
spmv_runtime_static,16,10,10000,0.000593025
spmv_runtime_static,32,1,10000,0.000943304
spmv_runtime_static,32,2,10000,0.00093844
spmv_runtime_static,32,3,10000,0.000869497
spmv_runtime_static,32,4,10000,0.000886485
spmv_runtime_static,32,5,10000,0.000858144
spmv_runtime_static,32,6,10000,0.000932115
spmv_runtime_static,32,7,10000,0.000881651
spmv_runtime_static,32,8,10000,0.000944369
spmv_runtime_static,32,9,10000,0.000858824
spmv_runtime_static,32,10,10000,0.000869297
spmv_runtime_static,64,1,10000,0.0015491
spmv_runtime_static,64,2,10000,0.00163783
spmv_runtime_static,64,3,10000,0.00139642
spmv_runtime_static,64,4,10000,0.00149626
spmv_runtime_static,64,5,10000,0.00147739
spmv_runtime_static,64,6,10000,0.00151681
spmv_runtime_static,64,7,10000,0.00144492
spmv_runtime_static,64,8,10000,0.00151028
spmv_runtime_static,64,9,10000,0.00158158
spmv_runtime_static,64,10,10000,0.00156411
spmv_runtime_static,96,1,10000,0.018304
spmv_runtime_static,96,2,10000,0.0122239
spmv_runtime_static,96,3,10000,0.0115069
spmv_runtime_static,96,4,10000,0.0133463
spmv_runtime_static,96,5,10000,0.0116547
spmv_runtime_static,96,6,10000,0.0136618
spmv_runtime_static,96,7,10000,0.0164162
spmv_runtime_static,96,8,10000,0.0172899
spmv_runtime_static,96,9,10000,0.0160611
spmv_runtime_static,96,10,10000,0.0114513
spmv_runtime_dynamic,1,1,10,0.000283225
spmv_runtime_dynamic,1,2,10,0.000281783
spmv_runtime_dynamic,1,3,10,0.000282018
spmv_runtime_dynamic,1,4,10,0.000288463
spmv_runtime_dynamic,1,5,10,0.000283097
spmv_runtime_dynamic,1,6,10,0.000288934
spmv_runtime_dynamic,1,7,10,0.000286186
