Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.000470871
spmv_sequential,1,2,NA,0.000455961
spmv_sequential,1,3,NA,0.00046666
spmv_sequential,1,4,NA,0.000457704
spmv_sequential,1,5,NA,0.000463388
spmv_sequential,1,6,NA,0.000456504
spmv_sequential,1,7,NA,0.000464432
spmv_sequential,1,8,NA,0.00046513
spmv_sequential,1,9,NA,0.000461644
spmv_sequential,1,10,NA,0.000468887
spmv_sequential,2,1,NA,0.000459689
spmv_sequential,2,2,NA,0.000455831
spmv_sequential,2,3,NA,0.000461481
spmv_sequential,2,4,NA,0.000458952
spmv_sequential,2,5,NA,0.000460391
spmv_sequential,2,6,NA,0.000456471
spmv_sequential,2,7,NA,0.000462511
spmv_sequential,2,8,NA,0.000456845
spmv_sequential,2,9,NA,0.000456311
spmv_sequential,2,10,NA,0.000457365
spmv_sequential,4,1,NA,0.00047361
spmv_sequential,4,2,NA,0.000456028
spmv_sequential,4,3,NA,0.000461768
spmv_sequential,4,4,NA,0.000462955
spmv_sequential,4,5,NA,0.000468997
spmv_sequential,4,6,NA,0.000485528
spmv_sequential,4,7,NA,0.000459031
spmv_sequential,4,8,NA,0.000465333
spmv_sequential,4,9,NA,0.000455753
spmv_sequential,4,10,NA,0.000458368
spmv_sequential,8,1,NA,0.000460613
spmv_sequential,8,2,NA,0.000460654
spmv_sequential,8,3,NA,0.00045888
spmv_sequential,8,4,NA,0.000458443
spmv_sequential,8,5,NA,0.000464007
spmv_sequential,8,6,NA,0.000458822
spmv_sequential,8,7,NA,0.000464824
spmv_sequential,8,8,NA,0.000464133
spmv_sequential,8,9,NA,0.0004568
spmv_sequential,8,10,NA,0.000455595
spmv_sequential,16,1,NA,0.00046057
spmv_sequential,16,2,NA,0.000457099
spmv_sequential,16,3,NA,0.000464993
spmv_sequential,16,4,NA,0.000455462
spmv_sequential,16,5,NA,0.000461712
spmv_sequential,16,6,NA,0.000458103
spmv_sequential,16,7,NA,0.000464002
spmv_sequential,16,8,NA,0.000463017
spmv_sequential,16,9,NA,0.00045619
spmv_sequential,16,10,NA,0.000461913
spmv_sequential,32,1,NA,0.000456597
spmv_sequential,32,2,NA,0.00045578
spmv_sequential,32,3,NA,0.000456369
spmv_sequential,32,4,NA,0.000457865
spmv_sequential,32,5,NA,0.000456374
spmv_sequential,32,6,NA,0.000461278
spmv_sequential,32,7,NA,0.000455975
spmv_sequential,32,8,NA,0.000461604
spmv_sequential,32,9,NA,0.000461052
spmv_sequential,32,10,NA,0.000465112
spmv_sequential,64,1,NA,0.000458185
spmv_sequential,64,2,NA,0.000456125
spmv_sequential,64,3,NA,0.000455474
spmv_sequential,64,4,NA,0.000456335
spmv_sequential,64,5,NA,0.000462205
spmv_sequential,64,6,NA,0.00045808
spmv_sequential,64,7,NA,0.000463677
spmv_sequential,64,8,NA,0.000464312
spmv_sequential,64,9,NA,0.000463232
spmv_sequential,64,10,NA,0.000455692
spmv_sequential,96,1,NA,0.000463249
spmv_sequential,96,2,NA,0.000462058
spmv_sequential,96,3,NA,0.000457277
spmv_sequential,96,4,NA,0.000462703
spmv_sequential,96,5,NA,0.000467285
spmv_sequential,96,6,NA,0.000471354
spmv_sequential,96,7,NA,0.000472647
