Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.000175159
spmv_sequential,2,1,NA,0.000160428
spmv_sequential,4,1,NA,0.000159806
spmv_sequential,8,1,NA,0.000156797
spmv_sequential,16,1,NA,0.000157759
spmv_sequential,32,1,NA,0.000151534
spmv_sequential,64,1,NA,0.000154847
spmv_sequential,96,1,NA,0.000169858
spmv_static,1,1,NA,0.000132
spmv_static,2,1,NA,0.000073
spmv_static,4,1,NA,0.000044
spmv_static,8,1,NA,0.000034
spmv_static,16,1,NA,0.000040
spmv_static,32,1,NA,0.000063
spmv_static,64,1,NA,0.009845
spmv_static,96,1,NA,0.010784
spmv_manual,1,1,NA,0.000118
spmv_manual,2,1,NA,0.000067
spmv_manual,4,1,NA,0.000042
spmv_manual,8,1,NA,0.000032
spmv_manual,16,1,NA,0.000035
spmv_manual,32,1,NA,0.000060
spmv_manual,64,1,NA,0.009662
spmv_manual,96,1,NA,0.010916
spmv_dynamic,1,1,NA,0.000283
spmv_dynamic,2,1,NA,0.000533
spmv_dynamic,4,1,NA,0.001394
spmv_dynamic,8,1,NA,0.001079
spmv_dynamic,16,1,NA,0.000984
spmv_dynamic,32,1,NA,0.000935
spmv_dynamic,64,1,NA,0.010825
spmv_dynamic,96,1,NA,0.013484
spmv_guided,1,1,NA,0.000132
spmv_guided,2,1,NA,0.000070
spmv_guided,4,1,NA,0.000051
spmv_guided,8,1,NA,0.000052
spmv_guided,16,1,NA,0.000075
spmv_guided,32,1,NA,0.000138
spmv_guided,64,1,NA,0.009760
spmv_guided,96,1,NA,0.013144
spmv_task,1,1,NA,0.000258
spmv_task,2,1,NA,0.007246
spmv_task,4,1,NA,0.032682
spmv_task,8,1,NA,0.045113
spmv_task,16,1,NA,0.071861
spmv_task,32,1,NA,0.141843
spmv_task,64,1,NA,0.348089
spmv_task,96,1,NA,0.996656
spmv_merge,1,1,NA,0.000136
spmv_merge,2,1,NA,0.000073
spmv_merge,4,1,NA,0.000045
spmv_merge,8,1,NA,0.000035
spmv_merge,16,1,NA,0.000041
spmv_merge,32,1,NA,0.000062
spmv_merge,64,1,NA,0.009875
spmv_merge,96,1,NA,0.014189
spmv_bind,1,1,NA,0.000108
spmv_bind,2,1,NA,0.000062
spmv_bind,4,1,NA,0.000665
spmv_bind,8,1,NA,0.000661
spmv_bind,16,1,NA,0.000639
spmv_bind,32,1,NA,0.001536
spmv_bind,64,1,NA,0.001579
spmv_bind,96,1,NA,0.001577

