Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.00695504
spmv_sequential,2,1,NA,0.00699571
spmv_sequential,4,1,NA,0.00698582
spmv_sequential,8,1,NA,0.00698226
spmv_sequential,16,1,NA,0.00699079
spmv_sequential,32,1,NA,0.00700785
spmv_sequential,64,1,NA,0.0070114
spmv_sequential,96,1,NA,0.00698204
spmv_static,1,1,NA,0.006804
spmv_static,2,1,NA,0.004617
spmv_static,4,1,NA,0.004347
spmv_static,8,1,NA,0.002224
spmv_static,16,1,NA,0.001160
spmv_static,32,1,NA,0.000668
spmv_static,64,1,NA,0.010015
spmv_static,96,1,NA,0.010127
spmv_manual,1,1,NA,0.006513
spmv_manual,2,1,NA,0.004406
spmv_manual,4,1,NA,0.004184
spmv_manual,8,1,NA,0.002146
spmv_manual,16,1,NA,0.001125
spmv_manual,32,1,NA,0.000637
spmv_manual,64,1,NA,0.009997
spmv_manual,96,1,NA,0.010279
spmv_dynamic,1,1,NA,0.007313
spmv_dynamic,2,1,NA,0.005411
spmv_dynamic,4,1,NA,0.007262
spmv_dynamic,8,1,NA,0.005383
spmv_dynamic,16,1,NA,0.003667
spmv_dynamic,32,1,NA,0.003225
spmv_dynamic,64,1,NA,0.012990
spmv_dynamic,96,1,NA,0.012778
spmv_guided,1,1,NA,0.006738
spmv_guided,2,1,NA,0.003374
spmv_guided,4,1,NA,0.002129
spmv_guided,8,1,NA,0.001048
spmv_guided,16,1,NA,0.000554
spmv_guided,32,1,NA,0.000360
spmv_guided,64,1,NA,0.010133
spmv_guided,96,1,NA,0.010097
spmv_task,1,1,NA,0.005445
spmv_task,2,1,NA,0.028401
spmv_task,4,1,NA,0.109207
spmv_task,8,1,NA,0.212892
spmv_task,16,1,NA,0.343309
spmv_task,32,1,NA,0.717921
spmv_task,64,1,NA,1.659033
spmv_task,96,1,NA,3.646051
spmv_merge,1,1,NA,0.006799
spmv_merge,2,1,NA,0.004600
spmv_merge,4,1,NA,0.004346
spmv_merge,8,1,NA,0.002214
spmv_merge,16,1,NA,0.001169
spmv_merge,32,1,NA,0.000671
spmv_merge,64,1,NA,0.010007
spmv_merge,96,1,NA,0.010008
spmv_bind,1,1,NA,0.004216
spmv_bind,2,1,NA,0.002737
spmv_bind,4,1,NA,0.003157
spmv_bind,8,1,NA,0.002605
spmv_bind,16,1,NA,0.001293
spmv_bind,32,1,NA,0.001023
spmv_bind,64,1,NA,0.001710
spmv_bind,96,1,NA,0.002380

