Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.006760
spmv_runtime_static,2,1,10,0.003571
spmv_runtime_static,4,1,10,0.001945
spmv_runtime_static,8,1,10,0.001058
spmv_runtime_static,16,1,10,0.000624
spmv_runtime_static,32,1,10,0.000486
spmv_runtime_static,64,1,10,0.010078
spmv_runtime_static,96,1,10,0.010713
spmv_runtime_static,1,1,100,0.006770
spmv_runtime_static,2,1,100,0.003411
spmv_runtime_static,4,1,100,0.001797
spmv_runtime_static,8,1,100,0.000959
spmv_runtime_static,16,1,100,0.000552
spmv_runtime_static,32,1,100,0.000339
spmv_runtime_static,64,1,100,0.009920
spmv_runtime_static,96,1,100,0.010182
spmv_runtime_static,1,1,1000,0.006751
spmv_runtime_static,2,1,1000,0.003416
spmv_runtime_static,4,1,1000,0.001868
spmv_runtime_static,8,1,1000,0.001176
spmv_runtime_static,16,1,1000,0.000716
spmv_runtime_static,32,1,1000,0.000765
spmv_runtime_static,64,1,1000,0.010103
spmv_runtime_static,96,1,1000,0.010590
spmv_runtime_static,1,1,10000,0.006752
spmv_runtime_static,2,1,10000,0.004081
spmv_runtime_static,4,1,10000,0.003970
spmv_runtime_static,8,1,10000,0.003974
spmv_runtime_static,16,1,10000,0.004118
spmv_runtime_static,32,1,10000,0.004434
spmv_runtime_static,64,1,10000,0.011397
spmv_runtime_static,96,1,10000,0.012499
spmv_runtime_dynamic,1,1,10,0.006831
spmv_runtime_dynamic,2,1,10,0.003792
spmv_runtime_dynamic,4,1,10,0.002360
spmv_runtime_dynamic,8,1,10,0.001419
spmv_runtime_dynamic,16,1,10,0.000895
spmv_runtime_dynamic,32,1,10,0.000702
spmv_runtime_dynamic,64,1,10,0.010528
spmv_runtime_dynamic,96,1,10,0.010529
spmv_runtime_dynamic,1,1,100,0.006777
spmv_runtime_dynamic,2,1,100,0.003422
spmv_runtime_dynamic,4,1,100,0.001729
spmv_runtime_dynamic,8,1,100,0.000940
spmv_runtime_dynamic,16,1,100,0.000540
spmv_runtime_dynamic,32,1,100,0.000361
spmv_runtime_dynamic,64,1,100,0.010128
spmv_runtime_dynamic,96,1,100,0.010590
spmv_runtime_dynamic,1,1,1000,0.006748
spmv_runtime_dynamic,2,1,1000,0.003418
spmv_runtime_dynamic,4,1,1000,0.001928
spmv_runtime_dynamic,8,1,1000,0.001156
spmv_runtime_dynamic,16,1,1000,0.000687
spmv_runtime_dynamic,32,1,1000,0.000746
spmv_runtime_dynamic,64,1,1000,0.010021
spmv_runtime_dynamic,96,1,1000,0.010548
spmv_runtime_dynamic,1,1,10000,0.006769
spmv_runtime_dynamic,2,1,10000,0.004335
spmv_runtime_dynamic,4,1,10000,0.003999
spmv_runtime_dynamic,8,1,10000,0.003993
spmv_runtime_dynamic,16,1,10000,0.004078
spmv_runtime_dynamic,32,1,10000,0.004320
spmv_runtime_dynamic,64,1,10000,0.009729
spmv_runtime_dynamic,96,1,10000,0.010304
spmv_runtime_guided,1,1,10,0.006781
spmv_runtime_guided,2,1,10,0.003379
spmv_runtime_guided,4,1,10,0.002132
spmv_runtime_guided,8,1,10,0.001054
spmv_runtime_guided,16,1,10,0.000562
spmv_runtime_guided,32,1,10,0.000362
spmv_runtime_guided,64,1,10,0.010173
spmv_runtime_guided,96,1,10,0.010585
spmv_runtime_guided,1,1,100,0.006761
spmv_runtime_guided,2,1,100,0.003386
spmv_runtime_guided,4,1,100,0.002134
spmv_runtime_guided,8,1,100,0.001047
spmv_runtime_guided,16,1,100,0.000566
spmv_runtime_guided,32,1,100,0.000355
spmv_runtime_guided,64,1,100,0.010005
spmv_runtime_guided,96,1,100,0.010197
spmv_runtime_guided,1,1,1000,0.006753
spmv_runtime_guided,2,1,1000,0.003417
spmv_runtime_guided,4,1,1000,0.002139
spmv_runtime_guided,8,1,1000,0.001056
spmv_runtime_guided,16,1,1000,0.000559
spmv_runtime_guided,32,1,1000,0.000551
spmv_runtime_guided,64,1,1000,0.009794
spmv_runtime_guided,96,1,1000,0.010360
spmv_runtime_guided,1,1,10000,0.006757
spmv_runtime_guided,2,1,10000,0.004489
spmv_runtime_guided,4,1,10000,0.004058
spmv_runtime_guided,8,1,10000,0.004015
spmv_runtime_guided,16,1,10000,0.004039
spmv_runtime_guided,32,1,10000,0.004221
spmv_runtime_guided,64,1,10000,0.009622
spmv_runtime_guided,96,1,10000,0.010237
