Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.00149227
spmv_sequential,2,1,NA,0.00151164
spmv_sequential,4,1,NA,0.00152477
spmv_sequential,8,1,NA,0.00149411
spmv_sequential,16,1,NA,0.00153407
spmv_sequential,32,1,NA,0.00149281
spmv_sequential,64,1,NA,0.00150866
spmv_sequential,96,1,NA,0.00148598
spmv_static,1,1,NA,0.001303
spmv_static,2,1,NA,0.000848
spmv_static,4,1,NA,0.000473
spmv_static,8,1,NA,0.000261
spmv_static,16,1,NA,0.000157
spmv_static,32,1,NA,0.000127
spmv_static,64,1,NA,0.009691
spmv_static,96,1,NA,0.011228
spmv_manual,1,1,NA,0.001169
spmv_manual,2,1,NA,0.000763
spmv_manual,4,1,NA,0.000428
spmv_manual,8,1,NA,0.000240
spmv_manual,16,1,NA,0.000147
spmv_manual,32,1,NA,0.000117
spmv_manual,64,1,NA,0.009689
spmv_manual,96,1,NA,0.010129
spmv_dynamic,1,1,NA,0.002180
spmv_dynamic,2,1,NA,0.003440
spmv_dynamic,4,1,NA,0.005116
spmv_dynamic,8,1,NA,0.005815
spmv_dynamic,16,1,NA,0.004413
spmv_dynamic,32,1,NA,0.003889
spmv_dynamic,64,1,NA,0.013125
spmv_dynamic,96,1,NA,0.015194
spmv_guided,1,1,NA,0.001321
spmv_guided,2,1,NA,0.000670
spmv_guided,4,1,NA,0.000354
spmv_guided,8,1,NA,0.000222
spmv_guided,16,1,NA,0.000159
spmv_guided,32,1,NA,0.000180
spmv_guided,64,1,NA,0.009801
spmv_guided,96,1,NA,0.010799
spmv_task,1,1,NA,0.001907
spmv_task,2,1,NA,0.035857
spmv_task,4,1,NA,0.114935
spmv_task,8,1,NA,0.264987
spmv_task,16,1,NA,0.372484
spmv_task,32,1,NA,0.820397
spmv_task,64,1,NA,1.892251
spmv_task,96,1,NA,5.291529
spmv_merge,1,1,NA,0.001309
spmv_merge,2,1,NA,0.000855
spmv_merge,4,1,NA,0.000473
spmv_merge,8,1,NA,0.000264
spmv_merge,16,1,NA,0.000155
spmv_merge,32,1,NA,0.000129
spmv_merge,64,1,NA,0.009682
spmv_merge,96,1,NA,0.012177
spmv_bind,1,1,NA,0.000948
spmv_bind,2,1,NA,0.000563
spmv_bind,4,1,NA,0.000951
spmv_bind,8,1,NA,0.000826
spmv_bind,16,1,NA,0.000710
spmv_bind,32,1,NA,0.001588
spmv_bind,64,1,NA,0.000729
spmv_bind,96,1,NA,0.001625

