Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.001235
spmv_runtime_static,2,1,10,0.000751
spmv_runtime_static,4,1,10,0.000615
spmv_runtime_static,8,1,10,0.000397
spmv_runtime_static,16,1,10,0.000361
spmv_runtime_static,32,1,10,0.000432
spmv_runtime_static,64,1,10,0.010246
spmv_runtime_static,96,1,10,0.010762
spmv_runtime_static,1,1,100,0.001238
spmv_runtime_static,2,1,100,0.000668
spmv_runtime_static,4,1,100,0.000406
spmv_runtime_static,8,1,100,0.000272
spmv_runtime_static,16,1,100,0.000197
spmv_runtime_static,32,1,100,0.000166
spmv_runtime_static,64,1,100,0.009926
spmv_runtime_static,96,1,100,0.011079
spmv_runtime_static,1,1,1000,0.001235
spmv_runtime_static,2,1,1000,0.000630
spmv_runtime_static,4,1,1000,0.000334
spmv_runtime_static,8,1,1000,0.000201
spmv_runtime_static,16,1,1000,0.000132
spmv_runtime_static,32,1,1000,0.000125
spmv_runtime_static,64,1,1000,0.009723
spmv_runtime_static,96,1,1000,0.010629
spmv_runtime_static,1,1,10000,0.001227
spmv_runtime_static,2,1,10000,0.000626
spmv_runtime_static,4,1,10000,0.000429
spmv_runtime_static,8,1,10000,0.000289
spmv_runtime_static,16,1,10000,0.000296
spmv_runtime_static,32,1,10000,0.000360
spmv_runtime_static,64,1,10000,0.009761
spmv_runtime_static,96,1,10000,0.010977
spmv_runtime_dynamic,1,1,10,0.001335
spmv_runtime_dynamic,2,1,10,0.001114
spmv_runtime_dynamic,4,1,10,0.001013
spmv_runtime_dynamic,8,1,10,0.000909
spmv_runtime_dynamic,16,1,10,0.000634
spmv_runtime_dynamic,32,1,10,0.000716
spmv_runtime_dynamic,64,1,10,0.010626
spmv_runtime_dynamic,96,1,10,0.011275
spmv_runtime_dynamic,1,1,100,0.001238
spmv_runtime_dynamic,2,1,100,0.000691
spmv_runtime_dynamic,4,1,100,0.000426
spmv_runtime_dynamic,8,1,100,0.000268
spmv_runtime_dynamic,16,1,100,0.000199
spmv_runtime_dynamic,32,1,100,0.000181
spmv_runtime_dynamic,64,1,100,0.009727
spmv_runtime_dynamic,96,1,100,0.010452
spmv_runtime_dynamic,1,1,1000,0.001239
spmv_runtime_dynamic,2,1,1000,0.000632
spmv_runtime_dynamic,4,1,1000,0.000336
spmv_runtime_dynamic,8,1,1000,0.000201
spmv_runtime_dynamic,16,1,1000,0.000136
spmv_runtime_dynamic,32,1,1000,0.000122
spmv_runtime_dynamic,64,1,1000,0.009652
spmv_runtime_dynamic,96,1,1000,0.011579
spmv_runtime_dynamic,1,1,10000,0.001240
spmv_runtime_dynamic,2,1,10000,0.000626
spmv_runtime_dynamic,4,1,10000,0.000436
spmv_runtime_dynamic,8,1,10000,0.000289
spmv_runtime_dynamic,16,1,10000,0.000306
spmv_runtime_dynamic,32,1,10000,0.000342
spmv_runtime_dynamic,64,1,10000,0.009690
spmv_runtime_dynamic,96,1,10000,0.010790
spmv_runtime_guided,1,1,10,0.001233
spmv_runtime_guided,2,1,10,0.000628
spmv_runtime_guided,4,1,10,0.000332
spmv_runtime_guided,8,1,10,0.000196
spmv_runtime_guided,16,1,10,0.000139
spmv_runtime_guided,32,1,10,0.000157
spmv_runtime_guided,64,1,10,0.009757
spmv_runtime_guided,96,1,10,0.011414
spmv_runtime_guided,1,1,100,0.001237
spmv_runtime_guided,2,1,100,0.000625
spmv_runtime_guided,4,1,100,0.000330
spmv_runtime_guided,8,1,100,0.000190
spmv_runtime_guided,16,1,100,0.000132
spmv_runtime_guided,32,1,100,0.000139
spmv_runtime_guided,64,1,100,0.009693
spmv_runtime_guided,96,1,100,0.011459
spmv_runtime_guided,1,1,1000,0.001234
spmv_runtime_guided,2,1,1000,0.000630
spmv_runtime_guided,4,1,1000,0.000336
spmv_runtime_guided,8,1,1000,0.000192
spmv_runtime_guided,16,1,1000,0.000134
spmv_runtime_guided,32,1,1000,0.000138
spmv_runtime_guided,64,1,1000,0.009892
spmv_runtime_guided,96,1,1000,0.010604
spmv_runtime_guided,1,1,10000,0.001239
spmv_runtime_guided,2,1,10000,0.000655
spmv_runtime_guided,4,1,10000,0.000473
spmv_runtime_guided,8,1,10000,0.000288
spmv_runtime_guided,16,1,10000,0.000307
spmv_runtime_guided,32,1,10000,0.000351
spmv_runtime_guided,64,1,10000,0.009879
spmv_runtime_guided,96,1,10000,0.011422
