Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.00114886
spmv_sequential,2,1,NA,0.00114594
spmv_sequential,4,1,NA,0.00114341
spmv_sequential,8,1,NA,0.0011467
spmv_sequential,16,1,NA,0.00114881
spmv_sequential,32,1,NA,0.00115347
spmv_sequential,64,1,NA,0.0011486
spmv_sequential,96,1,NA,0.00114973
spmv_static,1,1,NA,0.001058
spmv_static,2,1,NA,0.000546
spmv_static,4,1,NA,0.000294
spmv_static,8,1,NA,0.000179
spmv_static,16,1,NA,0.000140
spmv_static,32,1,NA,0.000135
spmv_static,64,1,NA,0.009931
spmv_static,96,1,NA,0.010609
spmv_manual,1,1,NA,0.000951
spmv_manual,2,1,NA,0.000492
spmv_manual,4,1,NA,0.000266
spmv_manual,8,1,NA,0.000167
spmv_manual,16,1,NA,0.000137
spmv_manual,32,1,NA,0.000126
spmv_manual,64,1,NA,0.010106
spmv_manual,96,1,NA,0.010612
spmv_dynamic,1,1,NA,0.001463
spmv_dynamic,2,1,NA,0.001559
spmv_dynamic,4,1,NA,0.003032
spmv_dynamic,8,1,NA,0.003112
spmv_dynamic,16,1,NA,0.002418
spmv_dynamic,32,1,NA,0.002024
spmv_dynamic,64,1,NA,0.011578
spmv_dynamic,96,1,NA,0.012736
spmv_guided,1,1,NA,0.001056
spmv_guided,2,1,NA,0.000538
spmv_guided,4,1,NA,0.000290
spmv_guided,8,1,NA,0.000174
spmv_guided,16,1,NA,0.000138
spmv_guided,32,1,NA,0.000172
spmv_guided,64,1,NA,0.009792
spmv_guided,96,1,NA,0.010836
spmv_task,1,1,NA,0.001253
spmv_task,2,1,NA,0.020044
spmv_task,4,1,NA,0.078338
spmv_task,8,1,NA,0.143101
spmv_task,16,1,NA,0.206140
spmv_task,32,1,NA,0.421818
spmv_task,64,1,NA,1.078493
spmv_task,96,1,NA,2.797411
spmv_merge,1,1,NA,0.001057
spmv_merge,2,1,NA,0.000545
spmv_merge,4,1,NA,0.000294
spmv_merge,8,1,NA,0.000177
spmv_merge,16,1,NA,0.000136
spmv_merge,32,1,NA,0.000130
spmv_merge,64,1,NA,0.009666
spmv_merge,96,1,NA,0.011418
spmv_bind,1,1,NA,0.000794
spmv_bind,2,1,NA,0.001027
spmv_bind,4,1,NA,0.000838
spmv_bind,8,1,NA,0.000769
spmv_bind,16,1,NA,0.001552
spmv_bind,32,1,NA,0.000699
spmv_bind,64,1,NA,0.001609
spmv_bind,96,1,NA,0.001654

