Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.002537
spmv_runtime_static,2,1,10,0.001319
spmv_runtime_static,4,1,10,0.000719
spmv_runtime_static,8,1,10,0.000403
spmv_runtime_static,16,1,10,0.000239
spmv_runtime_static,32,1,10,0.000202
spmv_runtime_static,64,1,10,0.009951
spmv_runtime_static,96,1,10,0.014583
spmv_runtime_static,1,1,100,0.002542
spmv_runtime_static,2,1,100,0.001302
spmv_runtime_static,4,1,100,0.000681
spmv_runtime_static,8,1,100,0.000363
spmv_runtime_static,16,1,100,0.000218
spmv_runtime_static,32,1,100,0.000192
spmv_runtime_static,64,1,100,0.009956
spmv_runtime_static,96,1,100,0.012152
spmv_runtime_static,1,1,1000,0.002539
spmv_runtime_static,2,1,1000,0.001322
spmv_runtime_static,4,1,1000,0.000687
spmv_runtime_static,8,1,1000,0.000368
spmv_runtime_static,16,1,1000,0.000392
spmv_runtime_static,32,1,1000,0.000440
spmv_runtime_static,64,1,1000,0.009930
spmv_runtime_static,96,1,1000,0.011456
spmv_runtime_static,1,1,10000,0.002539
spmv_runtime_static,2,1,10000,0.002546
spmv_runtime_static,4,1,10000,0.002554
spmv_runtime_static,8,1,10000,0.002594
spmv_runtime_static,16,1,10000,0.002660
spmv_runtime_static,32,1,10000,0.002867
spmv_runtime_static,64,1,10000,0.010406
spmv_runtime_static,96,1,10000,0.013215
spmv_runtime_dynamic,1,1,10,0.002561
spmv_runtime_dynamic,2,1,10,0.001388
spmv_runtime_dynamic,4,1,10,0.000801
spmv_runtime_dynamic,8,1,10,0.000473
spmv_runtime_dynamic,16,1,10,0.000284
spmv_runtime_dynamic,32,1,10,0.000247
spmv_runtime_dynamic,64,1,10,0.010247
spmv_runtime_dynamic,96,1,10,0.012138
spmv_runtime_dynamic,1,1,100,0.002545
spmv_runtime_dynamic,2,1,100,0.001286
spmv_runtime_dynamic,4,1,100,0.000671
spmv_runtime_dynamic,8,1,100,0.000366
spmv_runtime_dynamic,16,1,100,0.000221
spmv_runtime_dynamic,32,1,100,0.000183
spmv_runtime_dynamic,64,1,100,0.009909
spmv_runtime_dynamic,96,1,100,0.009998
spmv_runtime_dynamic,1,1,1000,0.002542
spmv_runtime_dynamic,2,1,1000,0.001323
spmv_runtime_dynamic,4,1,1000,0.000691
spmv_runtime_dynamic,8,1,1000,0.000370
spmv_runtime_dynamic,16,1,1000,0.000399
spmv_runtime_dynamic,32,1,1000,0.000440
spmv_runtime_dynamic,64,1,1000,0.009707
spmv_runtime_dynamic,96,1,1000,0.013564
spmv_runtime_dynamic,1,1,10000,0.002538
spmv_runtime_dynamic,2,1,10000,0.002542
spmv_runtime_dynamic,4,1,10000,0.002556
spmv_runtime_dynamic,8,1,10000,0.002581
spmv_runtime_dynamic,16,1,10000,0.002625
spmv_runtime_dynamic,32,1,10000,0.002809
spmv_runtime_dynamic,64,1,10000,0.009850
spmv_runtime_dynamic,96,1,10000,0.015304
spmv_runtime_guided,1,1,10,0.002540
spmv_runtime_guided,2,1,10,0.001280
spmv_runtime_guided,4,1,10,0.000655
spmv_runtime_guided,8,1,10,0.000354
spmv_runtime_guided,16,1,10,0.000218
spmv_runtime_guided,32,1,10,0.000183
spmv_runtime_guided,64,1,10,0.009790
spmv_runtime_guided,96,1,10,0.011648
spmv_runtime_guided,1,1,100,0.002545
spmv_runtime_guided,2,1,100,0.001283
spmv_runtime_guided,4,1,100,0.000658
spmv_runtime_guided,8,1,100,0.000354
spmv_runtime_guided,16,1,100,0.000219
spmv_runtime_guided,32,1,100,0.000179
spmv_runtime_guided,64,1,100,0.009975
spmv_runtime_guided,96,1,100,0.014477
spmv_runtime_guided,1,1,1000,0.002546
spmv_runtime_guided,2,1,1000,0.001286
spmv_runtime_guided,4,1,1000,0.000717
spmv_runtime_guided,8,1,1000,0.000373
spmv_runtime_guided,16,1,1000,0.000400
spmv_runtime_guided,32,1,1000,0.000448
spmv_runtime_guided,64,1,1000,0.009990
spmv_runtime_guided,96,1,1000,0.013134
spmv_runtime_guided,1,1,10000,0.002540
spmv_runtime_guided,2,1,10000,0.002542
spmv_runtime_guided,4,1,10000,0.002557
spmv_runtime_guided,8,1,10000,0.002574
spmv_runtime_guided,16,1,10000,0.002640
spmv_runtime_guided,32,1,10000,0.002787
spmv_runtime_guided,64,1,10000,0.009643
spmv_runtime_guided,96,1,10000,0.013637
