Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.0018738
spmv_sequential,2,1,NA,0.00188008
spmv_sequential,4,1,NA,0.00187852
spmv_sequential,8,1,NA,0.00187463
spmv_sequential,16,1,NA,0.00187486
spmv_sequential,32,1,NA,0.00187619
spmv_sequential,64,1,NA,0.00188529
spmv_sequential,96,1,NA,0.00186964
spmv_static,1,1,NA,0.001835
spmv_static,2,1,NA,0.000932
spmv_static,4,1,NA,0.000477
spmv_static,8,1,NA,0.000258
spmv_static,16,1,NA,0.000156
spmv_static,32,1,NA,0.000134
spmv_static,64,1,NA,0.009699
spmv_static,96,1,NA,0.013238
spmv_manual,1,1,NA,0.001757
spmv_manual,2,1,NA,0.000890
spmv_manual,4,1,NA,0.000458
spmv_manual,8,1,NA,0.000245
spmv_manual,16,1,NA,0.000156
spmv_manual,32,1,NA,0.000130
spmv_manual,64,1,NA,0.010010
spmv_manual,96,1,NA,0.014888
spmv_dynamic,1,1,NA,0.001921
spmv_dynamic,2,1,NA,0.001172
spmv_dynamic,4,1,NA,0.001004
spmv_dynamic,8,1,NA,0.000961
spmv_dynamic,16,1,NA,0.000697
spmv_dynamic,32,1,NA,0.000627
spmv_dynamic,64,1,NA,0.010321
spmv_dynamic,96,1,NA,0.011609
spmv_guided,1,1,NA,0.001817
spmv_guided,2,1,NA,0.000921
spmv_guided,4,1,NA,0.000477
spmv_guided,8,1,NA,0.000266
spmv_guided,16,1,NA,0.000179
spmv_guided,32,1,NA,0.000168
spmv_guided,64,1,NA,0.009797
spmv_guided,96,1,NA,0.012010
spmv_task,1,1,NA,0.001411
spmv_task,2,1,NA,0.004020
spmv_task,4,1,NA,0.020344
spmv_task,8,1,NA,0.038600
spmv_task,16,1,NA,0.058754
spmv_task,32,1,NA,0.126763
spmv_task,64,1,NA,0.288212
spmv_task,96,1,NA,0.859201
spmv_merge,1,1,NA,0.001835
spmv_merge,2,1,NA,0.000929
spmv_merge,4,1,NA,0.000477
spmv_merge,8,1,NA,0.000256
spmv_merge,16,1,NA,0.000156
spmv_merge,32,1,NA,0.000128
spmv_merge,64,1,NA,0.009939
spmv_merge,96,1,NA,0.011627
spmv_bind,1,1,NA,0.001197
spmv_bind,2,1,NA,0.000578
spmv_bind,4,1,NA,0.000931
spmv_bind,8,1,NA,0.000816
spmv_bind,16,1,NA,0.001576
spmv_bind,32,1,NA,0.001545
spmv_bind,64,1,NA,0.001573
spmv_bind,96,1,NA,0.000770

