Executable,Threads,Run,ChunkSize,Time
spmv_static,1,1,NA,0.009617
spmv_static,2,1,NA,0.009907
spmv_static,4,1,NA,0.004145
spmv_static,8,1,NA,0.002062
spmv_static,16,1,NA,0.000631
spmv_static,24,1,NA,0.000456
spmv_static,32,1,NA,0.010908
spmv_static,64,1,NA,0.012199
spmv_static,96,1,NA,0.020461
spmv_merge,1,1,NA,0.012012
spmv_merge,2,1,NA,0.012800
spmv_merge,4,1,NA,0.003190
spmv_merge,8,1,NA,0.002733
spmv_merge,16,1,NA,0.001293
spmv_merge,24,1,NA,0.001971
spmv_merge,32,1,NA,0.011103
spmv_merge,64,1,NA,0.012000
spmv_merge,96,1,NA,0.021019
