Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.000007
spmv_runtime_static,2,1,10,0.000010
spmv_runtime_static,4,1,10,0.000008
spmv_runtime_static,8,1,10,0.000016
spmv_runtime_static,16,1,10,0.000030
spmv_runtime_static,32,1,10,0.000058
spmv_runtime_static,64,1,10,0.009774
spmv_runtime_static,96,1,10,0.010376
spmv_runtime_static,1,1,100,0.000006
spmv_runtime_static,2,1,100,0.000006
spmv_runtime_static,4,1,100,0.000010
spmv_runtime_static,8,1,100,0.000020
spmv_runtime_static,16,1,100,0.000027
spmv_runtime_static,32,1,100,0.000053
spmv_runtime_static,64,1,100,0.009889
spmv_runtime_static,96,1,100,0.010016
spmv_runtime_static,1,1,1000,0.000006
spmv_runtime_static,2,1,1000,0.000008
spmv_runtime_static,4,1,1000,0.000012
spmv_runtime_static,8,1,1000,0.000016
spmv_runtime_static,16,1,1000,0.000030
spmv_runtime_static,32,1,1000,0.000064
spmv_runtime_static,64,1,1000,0.009788
spmv_runtime_static,96,1,1000,0.010311
spmv_runtime_static,1,1,10000,0.000007
spmv_runtime_static,2,1,10000,0.000008
spmv_runtime_static,4,1,10000,0.000010
spmv_runtime_static,8,1,10000,0.000018
spmv_runtime_static,16,1,10000,0.000035
spmv_runtime_static,32,1,10000,0.000055
spmv_runtime_static,64,1,10000,0.009622
spmv_runtime_static,96,1,10000,0.009914
spmv_runtime_dynamic,1,1,10,0.000009
spmv_runtime_dynamic,2,1,10,0.000014
spmv_runtime_dynamic,4,1,10,0.000031
spmv_runtime_dynamic,8,1,10,0.000025
spmv_runtime_dynamic,16,1,10,0.000050
spmv_runtime_dynamic,32,1,10,0.000081
spmv_runtime_dynamic,64,1,10,0.009880
spmv_runtime_dynamic,96,1,10,0.010585
spmv_runtime_dynamic,1,1,100,0.000007
spmv_runtime_dynamic,2,1,100,0.000010
spmv_runtime_dynamic,4,1,100,0.000008
spmv_runtime_dynamic,8,1,100,0.000015
spmv_runtime_dynamic,16,1,100,0.000032
spmv_runtime_dynamic,32,1,100,0.000056
spmv_runtime_dynamic,64,1,100,0.009807
spmv_runtime_dynamic,96,1,100,0.010571
spmv_runtime_dynamic,1,1,1000,0.000006
spmv_runtime_dynamic,2,1,1000,0.000008
spmv_runtime_dynamic,4,1,1000,0.000012
spmv_runtime_dynamic,8,1,1000,0.000018
spmv_runtime_dynamic,16,1,1000,0.000031
spmv_runtime_dynamic,32,1,1000,0.000063
spmv_runtime_dynamic,64,1,1000,0.009932
spmv_runtime_dynamic,96,1,1000,0.010277
spmv_runtime_dynamic,1,1,10000,0.000006
spmv_runtime_dynamic,2,1,10000,0.000012
spmv_runtime_dynamic,4,1,10000,0.000012
spmv_runtime_dynamic,8,1,10000,0.000021
spmv_runtime_dynamic,16,1,10000,0.000038
spmv_runtime_dynamic,32,1,10000,0.000066
spmv_runtime_dynamic,64,1,10000,0.009890
spmv_runtime_dynamic,96,1,10000,0.009967
spmv_runtime_guided,1,1,10,0.000007
spmv_runtime_guided,2,1,10,0.000008
spmv_runtime_guided,4,1,10,0.000009
spmv_runtime_guided,8,1,10,0.000019
spmv_runtime_guided,16,1,10,0.000046
spmv_runtime_guided,32,1,10,0.000073
spmv_runtime_guided,64,1,10,0.009858
spmv_runtime_guided,96,1,10,0.010792
spmv_runtime_guided,1,1,100,0.000006
spmv_runtime_guided,2,1,100,0.000007
spmv_runtime_guided,4,1,100,0.000011
spmv_runtime_guided,8,1,100,0.000018
spmv_runtime_guided,16,1,100,0.000035
spmv_runtime_guided,32,1,100,0.000059
spmv_runtime_guided,64,1,100,0.009678
spmv_runtime_guided,96,1,100,0.010143
spmv_runtime_guided,1,1,1000,0.000007
spmv_runtime_guided,2,1,1000,0.000008
spmv_runtime_guided,4,1,1000,0.000011
spmv_runtime_guided,8,1,1000,0.000019
spmv_runtime_guided,16,1,1000,0.000035
spmv_runtime_guided,32,1,1000,0.000060
spmv_runtime_guided,64,1,1000,0.009674
spmv_runtime_guided,96,1,1000,0.010072
spmv_runtime_guided,1,1,10000,0.000006
spmv_runtime_guided,2,1,10000,0.000010
spmv_runtime_guided,4,1,10000,0.000012
spmv_runtime_guided,8,1,10000,0.000019
spmv_runtime_guided,16,1,10000,0.000034
spmv_runtime_guided,32,1,10000,0.000065
spmv_runtime_guided,64,1,10000,0.009634
spmv_runtime_guided,96,1,10000,0.010106
