Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.000359
spmv_runtime_static,2,1,10,0.000288
spmv_runtime_static,4,1,10,0.000251
spmv_runtime_static,8,1,10,0.000183
spmv_runtime_static,16,1,10,0.000243
spmv_runtime_static,32,1,10,0.000397
spmv_runtime_static,64,1,10,0.009961
spmv_runtime_static,96,1,10,0.010237
spmv_runtime_static,1,1,100,0.000362
spmv_runtime_static,2,1,100,0.000231
spmv_runtime_static,4,1,100,0.000165
spmv_runtime_static,8,1,100,0.000145
spmv_runtime_static,16,1,100,0.000157
spmv_runtime_static,32,1,100,0.000163
spmv_runtime_static,64,1,100,0.009938
spmv_runtime_static,96,1,100,0.010016
spmv_runtime_static,1,1,1000,0.000367
spmv_runtime_static,2,1,1000,0.000213
spmv_runtime_static,4,1,1000,0.000138
spmv_runtime_static,8,1,1000,0.000118
spmv_runtime_static,16,1,1000,0.000133
spmv_runtime_static,32,1,1000,0.000149
spmv_runtime_static,64,1,1000,0.010107
spmv_runtime_static,96,1,1000,0.009874
spmv_runtime_static,1,1,10000,0.000358
spmv_runtime_static,2,1,10000,0.000210
spmv_runtime_static,4,1,10000,0.000190
spmv_runtime_static,8,1,10000,0.000193
spmv_runtime_static,16,1,10000,0.000207
spmv_runtime_static,32,1,10000,0.000236
spmv_runtime_static,64,1,10000,0.009683
spmv_runtime_static,96,1,10000,0.010628
spmv_runtime_dynamic,1,1,10,0.000470
spmv_runtime_dynamic,2,1,10,0.001045
spmv_runtime_dynamic,4,1,10,0.000382
spmv_runtime_dynamic,8,1,10,0.000699
spmv_runtime_dynamic,16,1,10,0.000672
spmv_runtime_dynamic,32,1,10,0.000733
spmv_runtime_dynamic,64,1,10,0.010454
spmv_runtime_dynamic,96,1,10,0.010930
spmv_runtime_dynamic,1,1,100,0.000364
spmv_runtime_dynamic,2,1,100,0.000223
spmv_runtime_dynamic,4,1,100,0.000130
spmv_runtime_dynamic,8,1,100,0.000160
spmv_runtime_dynamic,16,1,100,0.000177
spmv_runtime_dynamic,32,1,100,0.000201
spmv_runtime_dynamic,64,1,100,0.009938
spmv_runtime_dynamic,96,1,100,0.010265
spmv_runtime_dynamic,1,1,1000,0.000374
spmv_runtime_dynamic,2,1,1000,0.000196
spmv_runtime_dynamic,4,1,1000,0.000110
spmv_runtime_dynamic,8,1,1000,0.000105
spmv_runtime_dynamic,16,1,1000,0.000132
spmv_runtime_dynamic,32,1,1000,0.000184
spmv_runtime_dynamic,64,1,1000,0.009699
spmv_runtime_dynamic,96,1,1000,0.010368
spmv_runtime_dynamic,1,1,10000,0.000357
spmv_runtime_dynamic,2,1,10000,0.000260
spmv_runtime_dynamic,4,1,10000,0.000191
spmv_runtime_dynamic,8,1,10000,0.000206
spmv_runtime_dynamic,16,1,10000,0.000238
spmv_runtime_dynamic,32,1,10000,0.000282
spmv_runtime_dynamic,64,1,10000,0.010062
spmv_runtime_dynamic,96,1,10000,0.010399
spmv_runtime_guided,1,1,10,0.000364
spmv_runtime_guided,2,1,10,0.000195
spmv_runtime_guided,4,1,10,0.000119
spmv_runtime_guided,8,1,10,0.000109
spmv_runtime_guided,16,1,10,0.000132
spmv_runtime_guided,32,1,10,0.000156
spmv_runtime_guided,64,1,10,0.009980
spmv_runtime_guided,96,1,10,0.010586
spmv_runtime_guided,1,1,100,0.000359
spmv_runtime_guided,2,1,100,0.000188
spmv_runtime_guided,4,1,100,0.000102
spmv_runtime_guided,8,1,100,0.000110
spmv_runtime_guided,16,1,100,0.000138
spmv_runtime_guided,32,1,100,0.000176
spmv_runtime_guided,64,1,100,0.010002
spmv_runtime_guided,96,1,100,0.010743
spmv_runtime_guided,1,1,1000,0.000370
spmv_runtime_guided,2,1,1000,0.000188
spmv_runtime_guided,4,1,1000,0.000107
spmv_runtime_guided,8,1,1000,0.000118
spmv_runtime_guided,16,1,1000,0.000138
spmv_runtime_guided,32,1,1000,0.000149
spmv_runtime_guided,64,1,1000,0.009881
spmv_runtime_guided,96,1,1000,0.010142
spmv_runtime_guided,1,1,10000,0.000356
spmv_runtime_guided,2,1,10000,0.000200
spmv_runtime_guided,4,1,10000,0.000176
spmv_runtime_guided,8,1,10000,0.000219
spmv_runtime_guided,16,1,10000,0.000244
spmv_runtime_guided,32,1,10000,0.000282
spmv_runtime_guided,64,1,10000,0.009639
spmv_runtime_guided,96,1,10000,0.010243
