Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.000652805
spmv_sequential,2,1,NA,0.000580339
spmv_sequential,4,1,NA,0.00066497
spmv_sequential,8,1,NA,0.000692699
spmv_sequential,16,1,NA,0.000644015
spmv_sequential,32,1,NA,0.000667555
spmv_sequential,64,1,NA,0.000688009
spmv_sequential,96,1,NA,0.00068919
spmv_static,1,1,NA,0.000438
spmv_static,2,1,NA,0.000247
spmv_static,4,1,NA,0.000129
spmv_static,8,1,NA,0.000083
spmv_static,16,1,NA,0.000072
spmv_static,32,1,NA,0.000087
spmv_static,64,1,NA,0.009716
spmv_static,96,1,NA,0.010326
spmv_manual,1,1,NA,0.000428
spmv_manual,2,1,NA,0.000240
spmv_manual,4,1,NA,0.000127
spmv_manual,8,1,NA,0.000084
spmv_manual,16,1,NA,0.000064
spmv_manual,32,1,NA,0.000074
spmv_manual,64,1,NA,0.009818
spmv_manual,96,1,NA,0.010121
spmv_dynamic,1,1,NA,0.000982
spmv_dynamic,2,1,NA,0.002453
spmv_dynamic,4,1,NA,0.001927
spmv_dynamic,8,1,NA,0.003998
spmv_dynamic,16,1,NA,0.003693
spmv_dynamic,32,1,NA,0.003206
spmv_dynamic,64,1,NA,0.012768
spmv_dynamic,96,1,NA,0.013422
spmv_guided,1,1,NA,0.000442
spmv_guided,2,1,NA,0.000263
spmv_guided,4,1,NA,0.000129
spmv_guided,8,1,NA,0.000094
spmv_guided,16,1,NA,0.000104
spmv_guided,32,1,NA,0.000163
spmv_guided,64,1,NA,0.010157
spmv_guided,96,1,NA,0.010545
spmv_task,1,1,NA,0.000964
spmv_task,2,1,NA,0.029541
spmv_task,4,1,NA,0.110078
spmv_task,8,1,NA,0.191283
spmv_task,16,1,NA,0.268367
spmv_task,32,1,NA,0.575082
spmv_task,64,1,NA,1.692803
spmv_task,96,1,NA,3.931361
spmv_merge,1,1,NA,0.000754
spmv_merge,2,1,NA,0.000436
spmv_merge,4,1,NA,0.000295
spmv_merge,8,1,NA,0.000295
spmv_merge,16,1,NA,0.000264
spmv_merge,32,1,NA,0.009615
spmv_merge,64,1,NA,0.011842
spmv_merge,96,1,NA,0.019771
spmv_bind,1,1,NA,0.000454
spmv_bind,2,1,NA,0.000257
spmv_bind,4,1,NA,0.000245
spmv_bind,8,1,NA,0.000723
spmv_bind,16,1,NA,0.000673
spmv_bind,32,1,NA,0.001551
spmv_bind,64,1,NA,0.001571
spmv_bind,96,1,NA,0.002447

