Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.000218
spmv_runtime_static,2,1,10,0.000187
spmv_runtime_static,4,1,10,0.000148
spmv_runtime_static,8,1,10,0.000134
spmv_runtime_static,16,1,10,0.000222
spmv_runtime_static,32,1,10,0.000339
spmv_runtime_static,64,1,10,0.009853
spmv_runtime_static,96,1,10,0.010850
spmv_runtime_static,1,1,100,0.000215
spmv_runtime_static,2,1,100,0.000140
spmv_runtime_static,4,1,100,0.000084
spmv_runtime_static,8,1,100,0.000081
spmv_runtime_static,16,1,100,0.000106
spmv_runtime_static,32,1,100,0.000138
spmv_runtime_static,64,1,100,0.009988
spmv_runtime_static,96,1,100,0.010196
spmv_runtime_static,1,1,1000,0.000211
spmv_runtime_static,2,1,1000,0.000120
spmv_runtime_static,4,1,1000,0.000066
spmv_runtime_static,8,1,1000,0.000054
spmv_runtime_static,16,1,1000,0.000070
spmv_runtime_static,32,1,1000,0.000089
spmv_runtime_static,64,1,1000,0.009760
spmv_runtime_static,96,1,1000,0.010217
spmv_runtime_static,1,1,10000,0.000210
spmv_runtime_static,2,1,10000,0.000140
spmv_runtime_static,4,1,10000,0.000112
spmv_runtime_static,8,1,10000,0.000083
spmv_runtime_static,16,1,10000,0.000109
spmv_runtime_static,32,1,10000,0.000131
spmv_runtime_static,64,1,10000,0.009894
spmv_runtime_static,96,1,10000,0.010446
spmv_runtime_dynamic,1,1,10,0.000294
spmv_runtime_dynamic,2,1,10,0.000346
spmv_runtime_dynamic,4,1,10,0.000615
spmv_runtime_dynamic,8,1,10,0.000634
spmv_runtime_dynamic,16,1,10,0.000581
spmv_runtime_dynamic,32,1,10,0.000589
spmv_runtime_dynamic,64,1,10,0.010542
spmv_runtime_dynamic,96,1,10,0.010828
spmv_runtime_dynamic,1,1,100,0.000226
spmv_runtime_dynamic,2,1,100,0.000157
spmv_runtime_dynamic,4,1,100,0.000140
spmv_runtime_dynamic,8,1,100,0.000135
spmv_runtime_dynamic,16,1,100,0.000125
spmv_runtime_dynamic,32,1,100,0.000159
spmv_runtime_dynamic,64,1,100,0.009969
spmv_runtime_dynamic,96,1,100,0.009920
spmv_runtime_dynamic,1,1,1000,0.000221
spmv_runtime_dynamic,2,1,1000,0.000125
spmv_runtime_dynamic,4,1,1000,0.000093
spmv_runtime_dynamic,8,1,1000,0.000075
spmv_runtime_dynamic,16,1,1000,0.000077
spmv_runtime_dynamic,32,1,1000,0.000127
spmv_runtime_dynamic,64,1,1000,0.010049
spmv_runtime_dynamic,96,1,1000,0.010101
spmv_runtime_dynamic,1,1,10000,0.000210
spmv_runtime_dynamic,2,1,10000,0.000138
spmv_runtime_dynamic,4,1,10000,0.000104
spmv_runtime_dynamic,8,1,10000,0.000111
spmv_runtime_dynamic,16,1,10000,0.000133
spmv_runtime_dynamic,32,1,10000,0.000159
spmv_runtime_dynamic,64,1,10000,0.009733
spmv_runtime_dynamic,96,1,10000,0.010146
spmv_runtime_guided,1,1,10,0.000214
spmv_runtime_guided,2,1,10,0.000118
spmv_runtime_guided,4,1,10,0.000070
spmv_runtime_guided,8,1,10,0.000076
spmv_runtime_guided,16,1,10,0.000100
spmv_runtime_guided,32,1,10,0.000155
spmv_runtime_guided,64,1,10,0.009953
spmv_runtime_guided,96,1,10,0.010326
spmv_runtime_guided,1,1,100,0.000219
spmv_runtime_guided,2,1,100,0.000119
spmv_runtime_guided,4,1,100,0.000071
spmv_runtime_guided,8,1,100,0.000071
spmv_runtime_guided,16,1,100,0.000083
spmv_runtime_guided,32,1,100,0.000137
spmv_runtime_guided,64,1,100,0.009867
spmv_runtime_guided,96,1,100,0.010673
spmv_runtime_guided,1,1,1000,0.000220
spmv_runtime_guided,2,1,1000,0.000119
spmv_runtime_guided,4,1,1000,0.000087
spmv_runtime_guided,8,1,1000,0.000071
spmv_runtime_guided,16,1,1000,0.000072
spmv_runtime_guided,32,1,1000,0.000115
spmv_runtime_guided,64,1,1000,0.009802
spmv_runtime_guided,96,1,1000,0.010490
spmv_runtime_guided,1,1,10000,0.000213
spmv_runtime_guided,2,1,10000,0.000130
spmv_runtime_guided,4,1,10000,0.000088
spmv_runtime_guided,8,1,10000,0.000105
spmv_runtime_guided,16,1,10000,0.000130
spmv_runtime_guided,32,1,10000,0.000153
spmv_runtime_guided,64,1,10000,0.009865
spmv_runtime_guided,96,1,10000,0.010190
