Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.000479013
spmv_sequential,2,1,NA,0.000467297
spmv_sequential,4,1,NA,0.000466116
spmv_sequential,8,1,NA,0.000468478
spmv_sequential,16,1,NA,0.000451863
spmv_sequential,32,1,NA,0.000460116
spmv_sequential,64,1,NA,0.000462448
spmv_sequential,96,1,NA,0.000465868
spmv_static,1,1,NA,0.000222
spmv_static,2,1,NA,0.000132
spmv_static,4,1,NA,0.000077
spmv_static,8,1,NA,0.000056
spmv_static,16,1,NA,0.000057
spmv_static,32,1,NA,0.000075
spmv_static,64,1,NA,0.009647
spmv_static,96,1,NA,0.011011
spmv_manual,1,1,NA,0.000211
spmv_manual,2,1,NA,0.000132
spmv_manual,4,1,NA,0.000084
spmv_manual,8,1,NA,0.000055
spmv_manual,16,1,NA,0.000054
spmv_manual,32,1,NA,0.000076
spmv_manual,64,1,NA,0.009651
spmv_manual,96,1,NA,0.010414
spmv_dynamic,1,1,NA,0.001235
spmv_dynamic,2,1,NA,0.003616
spmv_dynamic,4,1,NA,0.005545
spmv_dynamic,8,1,NA,0.005939
spmv_dynamic,16,1,NA,0.005030
spmv_dynamic,32,1,NA,0.004534
spmv_dynamic,64,1,NA,0.013898
spmv_dynamic,96,1,NA,0.014786
spmv_guided,1,1,NA,0.000229
spmv_guided,2,1,NA,0.000128
spmv_guided,4,1,NA,0.000089
spmv_guided,8,1,NA,0.000073
spmv_guided,16,1,NA,0.000100
spmv_guided,32,1,NA,0.000160
spmv_guided,64,1,NA,0.010030
spmv_guided,96,1,NA,0.010560
spmv_task,1,1,NA,0.000842
spmv_task,2,1,NA,0.056176
spmv_task,4,1,NA,0.166694
spmv_task,8,1,NA,0.271311
spmv_task,16,1,NA,0.472088
spmv_task,32,1,NA,0.947238
spmv_task,64,1,NA,2.742429
spmv_task,96,1,NA,4.977630
spmv_merge,1,1,NA,0.000517
spmv_merge,2,1,NA,0.000337
spmv_merge,4,1,NA,0.000180
spmv_merge,8,1,NA,0.000235
spmv_merge,16,1,NA,0.000301
spmv_merge,32,1,NA,0.000829
spmv_merge,64,1,NA,0.010360
spmv_merge,96,1,NA,0.020093
spmv_bind,1,1,NA,0.000230
spmv_bind,2,1,NA,0.000157
spmv_bind,4,1,NA,0.000710
spmv_bind,8,1,NA,0.001302
spmv_bind,16,1,NA,0.000685
spmv_bind,32,1,NA,0.000705
spmv_bind,64,1,NA,0.001567
spmv_bind,96,1,NA,0.000871

