Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,8.87215e-05
spmv_sequential,2,1,NA,7.3079e-05
spmv_sequential,4,1,NA,7.19875e-05
spmv_sequential,8,1,NA,7.15461e-05
spmv_sequential,16,1,NA,8.06376e-05
spmv_sequential,32,1,NA,9.12175e-05
spmv_sequential,64,1,NA,9.61497e-05
spmv_sequential,96,1,NA,0.000103073
spmv_static,1,1,NA,0.000037
spmv_static,2,1,NA,0.000025
spmv_static,4,1,NA,0.000026
spmv_static,8,1,NA,0.000028
spmv_static,16,1,NA,0.000043
spmv_static,32,1,NA,0.000071
spmv_static,64,1,NA,0.009647
spmv_static,96,1,NA,0.010659
spmv_manual,1,1,NA,0.000038
spmv_manual,2,1,NA,0.000027
spmv_manual,4,1,NA,0.000027
spmv_manual,8,1,NA,0.000029
spmv_manual,16,1,NA,0.000039
spmv_manual,32,1,NA,0.000068
spmv_manual,64,1,NA,0.009648
spmv_manual,96,1,NA,0.010297
spmv_dynamic,1,1,NA,0.000207
spmv_dynamic,2,1,NA,0.000582
spmv_dynamic,4,1,NA,0.001119
spmv_dynamic,8,1,NA,0.001078
spmv_dynamic,16,1,NA,0.001111
spmv_dynamic,32,1,NA,0.000999
spmv_dynamic,64,1,NA,0.010450
spmv_dynamic,96,1,NA,0.011378
spmv_guided,1,1,NA,0.000045
spmv_guided,2,1,NA,0.000033
spmv_guided,4,1,NA,0.000035
spmv_guided,8,1,NA,0.000046
spmv_guided,16,1,NA,0.000081
spmv_guided,32,1,NA,0.000138
spmv_guided,64,1,NA,0.010014
spmv_guided,96,1,NA,0.011025
spmv_task,1,1,NA,0.000150
spmv_task,2,1,NA,0.008321
spmv_task,4,1,NA,0.035287
spmv_task,8,1,NA,0.049617
spmv_task,16,1,NA,0.080497
spmv_task,32,1,NA,0.154473
spmv_task,64,1,NA,0.473312
spmv_task,96,1,NA,0.835550
spmv_merge,1,1,NA,0.000080
spmv_merge,2,1,NA,0.000058
spmv_merge,4,1,NA,0.000066
spmv_merge,8,1,NA,0.000073
spmv_merge,16,1,NA,0.000088
spmv_merge,32,1,NA,0.001986
spmv_merge,64,1,NA,0.012830
spmv_merge,96,1,NA,0.020011
spmv_bind,1,1,NA,0.000036
spmv_bind,2,1,NA,0.000669
spmv_bind,4,1,NA,0.000661
spmv_bind,8,1,NA,0.000651
spmv_bind,16,1,NA,0.001526
spmv_bind,32,1,NA,0.001528
spmv_bind,64,1,NA,0.001548
spmv_bind,96,1,NA,0.001594

