Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.000337
spmv_runtime_static,2,1,10,0.000313
spmv_runtime_static,4,1,10,0.000114
spmv_runtime_static,8,1,10,0.000091
spmv_runtime_static,16,1,10,0.000085
spmv_runtime_static,32,1,10,0.000123
spmv_runtime_static,64,1,10,0.009891
spmv_runtime_static,96,1,10,0.010465
spmv_runtime_static,1,1,100,0.000338
spmv_runtime_static,2,1,100,0.000226
spmv_runtime_static,4,1,100,0.000105
spmv_runtime_static,8,1,100,0.000083
spmv_runtime_static,16,1,100,0.000074
spmv_runtime_static,32,1,100,0.000095
spmv_runtime_static,64,1,100,0.009672
spmv_runtime_static,96,1,100,0.010623
spmv_runtime_static,1,1,1000,0.000330
spmv_runtime_static,2,1,1000,0.000193
spmv_runtime_static,4,1,1000,0.000108
spmv_runtime_static,8,1,1000,0.000079
spmv_runtime_static,16,1,1000,0.000095
spmv_runtime_static,32,1,1000,0.000147
spmv_runtime_static,64,1,1000,0.009663
spmv_runtime_static,96,1,1000,0.010753
spmv_runtime_static,1,1,10000,0.000333
spmv_runtime_static,2,1,10000,0.000343
spmv_runtime_static,4,1,10000,0.000358
spmv_runtime_static,8,1,10000,0.000359
spmv_runtime_static,16,1,10000,0.000382
spmv_runtime_static,32,1,10000,0.000411
spmv_runtime_static,64,1,10000,0.009835
spmv_runtime_static,96,1,10000,0.010321
spmv_runtime_dynamic,1,1,10,0.000363
spmv_runtime_dynamic,2,1,10,0.000213
spmv_runtime_dynamic,4,1,10,0.000124
spmv_runtime_dynamic,8,1,10,0.000134
spmv_runtime_dynamic,16,1,10,0.000126
spmv_runtime_dynamic,32,1,10,0.000156
spmv_runtime_dynamic,64,1,10,0.010198
spmv_runtime_dynamic,96,1,10,0.010335
spmv_runtime_dynamic,1,1,100,0.000339
spmv_runtime_dynamic,2,1,100,0.000189
spmv_runtime_dynamic,4,1,100,0.000122
spmv_runtime_dynamic,8,1,100,0.000091
spmv_runtime_dynamic,16,1,100,0.000087
spmv_runtime_dynamic,32,1,100,0.000110
spmv_runtime_dynamic,64,1,100,0.009671
spmv_runtime_dynamic,96,1,100,0.010658
spmv_runtime_dynamic,1,1,1000,0.000341
spmv_runtime_dynamic,2,1,1000,0.000191
spmv_runtime_dynamic,4,1,1000,0.000120
spmv_runtime_dynamic,8,1,1000,0.000089
spmv_runtime_dynamic,16,1,1000,0.000114
spmv_runtime_dynamic,32,1,1000,0.000151
spmv_runtime_dynamic,64,1,1000,0.009667
spmv_runtime_dynamic,96,1,1000,0.010393
spmv_runtime_dynamic,1,1,10000,0.000337
spmv_runtime_dynamic,2,1,10000,0.000356
spmv_runtime_dynamic,4,1,10000,0.000400
spmv_runtime_dynamic,8,1,10000,0.000441
spmv_runtime_dynamic,16,1,10000,0.000462
spmv_runtime_dynamic,32,1,10000,0.000509
spmv_runtime_dynamic,64,1,10000,0.009639
spmv_runtime_dynamic,96,1,10000,0.010064
spmv_runtime_guided,1,1,10,0.000334
spmv_runtime_guided,2,1,10,0.000207
spmv_runtime_guided,4,1,10,0.000098
spmv_runtime_guided,8,1,10,0.000083
spmv_runtime_guided,16,1,10,0.000090
spmv_runtime_guided,32,1,10,0.000126
spmv_runtime_guided,64,1,10,0.010147
spmv_runtime_guided,96,1,10,0.010924
spmv_runtime_guided,1,1,100,0.000334
spmv_runtime_guided,2,1,100,0.000212
spmv_runtime_guided,4,1,100,0.000099
spmv_runtime_guided,8,1,100,0.000083
spmv_runtime_guided,16,1,100,0.000082
spmv_runtime_guided,32,1,100,0.000104
spmv_runtime_guided,64,1,100,0.009680
spmv_runtime_guided,96,1,100,0.010050
spmv_runtime_guided,1,1,1000,0.000340
spmv_runtime_guided,2,1,1000,0.000183
spmv_runtime_guided,4,1,1000,0.000106
spmv_runtime_guided,8,1,1000,0.000089
spmv_runtime_guided,16,1,1000,0.000121
spmv_runtime_guided,32,1,1000,0.000148
spmv_runtime_guided,64,1,1000,0.009918
spmv_runtime_guided,96,1,1000,0.010418
spmv_runtime_guided,1,1,10000,0.000336
spmv_runtime_guided,2,1,10000,0.000341
spmv_runtime_guided,4,1,10000,0.000398
spmv_runtime_guided,8,1,10000,0.000414
spmv_runtime_guided,16,1,10000,0.000459
spmv_runtime_guided,32,1,10000,0.000473
spmv_runtime_guided,64,1,10000,0.009667
spmv_runtime_guided,96,1,10000,0.010115
