Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,4.8372e-05
spmv_runtime_static,1,2,10,4.63482e-05
spmv_runtime_static,1,3,10,4.2717e-05
spmv_runtime_static,1,4,10,0.000121681
spmv_runtime_static,1,5,10,7.00895e-05
spmv_runtime_static,1,6,10,9.42312e-05
spmv_runtime_static,1,7,10,7.49491e-05
spmv_runtime_static,1,8,10,4.54923e-05
spmv_runtime_static,1,9,10,0.000134821
spmv_runtime_static,1,10,10,7.02338e-05
spmv_runtime_static,2,1,10,0.000162341
spmv_runtime_static,2,2,10,0.000178437
spmv_runtime_static,2,3,10,0.000222638
spmv_runtime_static,2,4,10,0.000237357
spmv_runtime_static,2,5,10,0.000173056
spmv_runtime_static,2,6,10,0.000272948
spmv_runtime_static,2,7,10,0.00020687
spmv_runtime_static,2,8,10,0.000180521
spmv_runtime_static,2,9,10,0.000272215
spmv_runtime_static,2,10,10,0.000237814
spmv_runtime_static,4,1,10,0.000233972
spmv_runtime_static,4,2,10,0.000231758
spmv_runtime_static,4,3,10,0.000168206
spmv_runtime_static,4,4,10,0.000220749
spmv_runtime_static,4,5,10,0.000314653
spmv_runtime_static,4,6,10,0.000243572
spmv_runtime_static,4,7,10,0.000296475
spmv_runtime_static,4,8,10,0.000304778
spmv_runtime_static,4,9,10,0.000235738
spmv_runtime_static,4,10,10,0.000264698
spmv_runtime_static,8,1,10,0.000294678
spmv_runtime_static,8,2,10,0.000435675
spmv_runtime_static,8,3,10,0.000322431
spmv_runtime_static,8,4,10,0.000285787
spmv_runtime_static,8,5,10,0.000416529
spmv_runtime_static,8,6,10,0.000351354
spmv_runtime_static,8,7,10,0.000286133
spmv_runtime_static,8,8,10,0.000258617
spmv_runtime_static,8,9,10,0.000246773
spmv_runtime_static,8,10,10,0.000381827
spmv_runtime_static,16,1,10,0.000574372
spmv_runtime_static,16,2,10,0.00059032
spmv_runtime_static,16,3,10,0.000543754
spmv_runtime_static,16,4,10,0.000718351
spmv_runtime_static,16,5,10,0.000552927
spmv_runtime_static,16,6,10,0.00046964
