Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.0011257
spmv_sequential,1,2,NA,0.00109042
spmv_sequential,1,3,NA,0.00116956
spmv_sequential,1,4,NA,0.0011193
spmv_sequential,1,5,NA,0.00116215
spmv_sequential,1,6,NA,0.001118
spmv_sequential,1,7,NA,0.00115272
spmv_sequential,1,8,NA,0.00107735
spmv_sequential,1,9,NA,0.00115073
spmv_sequential,1,10,NA,0.00108141
spmv_sequential,2,1,NA,0.00114632
spmv_sequential,2,2,NA,0.00108737
spmv_sequential,2,3,NA,0.00113228
spmv_sequential,2,4,NA,0.00111894
spmv_sequential,2,5,NA,0.00111901
spmv_sequential,2,6,NA,0.00108567
spmv_sequential,2,7,NA,0.00112318
spmv_sequential,2,8,NA,0.00109989
spmv_sequential,2,9,NA,0.00109122
spmv_sequential,2,10,NA,0.0011148
spmv_sequential,4,1,NA,0.00108937
spmv_sequential,4,2,NA,0.00112732
spmv_sequential,4,3,NA,0.00113316
spmv_sequential,4,4,NA,0.00112391
spmv_sequential,4,5,NA,0.00110477
spmv_sequential,4,6,NA,0.00112313
spmv_sequential,4,7,NA,0.00115504
spmv_sequential,4,8,NA,0.00114839
spmv_sequential,4,9,NA,0.00112375
spmv_sequential,4,10,NA,0.00114869
spmv_sequential,8,1,NA,0.00113246
spmv_sequential,8,2,NA,0.00116591
spmv_sequential,8,3,NA,0.00116469
spmv_sequential,8,4,NA,0.00116625
spmv_sequential,8,5,NA,0.00116884
spmv_sequential,8,6,NA,0.00112863
spmv_sequential,8,7,NA,0.00112783
spmv_sequential,8,8,NA,0.00113947
spmv_sequential,8,9,NA,0.00117358
spmv_sequential,8,10,NA,0.0011339
spmv_sequential,16,1,NA,0.00115828
spmv_sequential,16,2,NA,0.0011617
spmv_sequential,16,3,NA,0.00116316
spmv_sequential,16,4,NA,0.00114769
spmv_sequential,16,5,NA,0.00115732
spmv_sequential,16,6,NA,0.00115759
spmv_sequential,16,7,NA,0.00116651
spmv_sequential,16,8,NA,0.00117539
spmv_sequential,16,9,NA,0.00116588
spmv_sequential,16,10,NA,0.00114888
spmv_sequential,32,1,NA,0.00112118
spmv_sequential,32,2,NA,0.00111389
spmv_sequential,32,3,NA,0.00111623
spmv_sequential,32,4,NA,0.00115711
spmv_sequential,32,5,NA,0.0011505
spmv_sequential,32,6,NA,0.00110168
spmv_sequential,32,7,NA,0.00115438
spmv_sequential,32,8,NA,0.00111858
spmv_sequential,32,9,NA,0.00110874
spmv_sequential,32,10,NA,0.00116473
spmv_sequential,64,1,NA,0.00107726
spmv_sequential,64,2,NA,0.00111249
spmv_sequential,64,3,NA,0.00107378
spmv_sequential,64,4,NA,0.00112131
spmv_sequential,64,5,NA,0.00110638
spmv_sequential,64,6,NA,0.00107676
spmv_sequential,64,7,NA,0.0010762
spmv_sequential,64,8,NA,0.00111869
spmv_sequential,64,9,NA,0.00112654
spmv_sequential,64,10,NA,0.00112783
spmv_sequential,96,1,NA,0.00116745
spmv_sequential,96,2,NA,0.00108246
spmv_sequential,96,3,NA,0.00107705
spmv_sequential,96,4,NA,0.00107347
spmv_sequential,96,5,NA,0.00112375
spmv_sequential,96,6,NA,0.00115303
spmv_sequential,96,7,NA,0.00112057
spmv_sequential,96,8,NA,0.00113076
spmv_sequential,96,9,NA,0.00115647
spmv_sequential,96,10,NA,0.00115422
spmv_static,1,1,NA,0.00118605
spmv_static,1,2,NA,0.0011392
spmv_static,1,3,NA,0.00111174
spmv_static,1,4,NA,0.00115358
spmv_static,1,5,NA,0.0011528
spmv_static,1,6,NA,0.00114559
spmv_static,1,7,NA,0.00113281
spmv_static,1,8,NA,0.00115068
spmv_static,1,9,NA,0.00111135
spmv_static,1,10,NA,0.00114747
spmv_static,2,1,NA,0.000720449
spmv_static,2,2,NA,0.00068884
spmv_static,2,3,NA,0.00068845
spmv_static,2,4,NA,0.000703936
spmv_static,2,5,NA,0.000710109
spmv_static,2,6,NA,0.000709716
spmv_static,2,7,NA,0.000639766
spmv_static,2,8,NA,0.000647984
spmv_static,2,9,NA,0.000773959
spmv_static,2,10,NA,0.000649873
spmv_static,4,1,NA,0.000461405
spmv_static,4,2,NA,0.000519648
spmv_static,4,3,NA,0.000477729
spmv_static,4,4,NA,0.000458885
spmv_static,4,5,NA,0.000532633
spmv_static,4,6,NA,0.00048314
spmv_static,4,7,NA,0.000489986
spmv_static,4,8,NA,0.000461677
spmv_static,4,9,NA,0.000484301
spmv_static,4,10,NA,0.000454016
spmv_static,8,1,NA,0.000417784
spmv_static,8,2,NA,0.000417354
spmv_static,8,3,NA,0.000392891
spmv_static,8,4,NA,0.000430943
spmv_static,8,5,NA,0.000411658
spmv_static,8,6,NA,0.000439506
spmv_static,8,7,NA,0.000515088
spmv_static,8,8,NA,0.000457359
spmv_static,8,9,NA,0.000522144
spmv_static,8,10,NA,0.000422029
spmv_static,16,1,NA,0.000516573
spmv_static,16,2,NA,0.000485059
spmv_static,16,3,NA,0.000545325
spmv_static,16,4,NA,0.000559453
spmv_static,16,5,NA,0.000501974
spmv_static,16,6,NA,0.000631733
spmv_static,16,7,NA,0.000707064
spmv_static,16,8,NA,0.000607656
spmv_static,16,9,NA,0.000960803
spmv_static,16,10,NA,0.000714879
spmv_static,32,1,NA,0.00111316
spmv_static,32,2,NA,0.0011094
spmv_static,32,3,NA,0.000797862
spmv_static,32,4,NA,0.000777759
spmv_static,32,5,NA,0.000772294
spmv_static,32,6,NA,0.000775974
spmv_static,32,7,NA,0.000978626
spmv_static,32,8,NA,0.000801254
spmv_static,32,9,NA,0.000797605
spmv_static,32,10,NA,0.000709524
spmv_static,64,1,NA,0.00177192
spmv_static,64,2,NA,0.00150601
spmv_static,64,3,NA,0.00166713
spmv_static,64,4,NA,0.00138455
spmv_static,64,5,NA,0.00161009
spmv_static,64,6,NA,0.00145652
spmv_static,64,7,NA,0.00178034
spmv_static,64,8,NA,0.00176935
spmv_static,64,9,NA,0.00163702
spmv_static,64,10,NA,0.00147612
spmv_static,96,1,NA,0.0101331
spmv_static,96,2,NA,0.00993758
spmv_static,96,3,NA,0.0100543
spmv_static,96,4,NA,0.0101432
spmv_static,96,5,NA,0.0100238
spmv_static,96,6,NA,0.0099764
spmv_static,96,7,NA,0.0102356
spmv_static,96,8,NA,0.0100414
spmv_static,96,9,NA,0.0100945
spmv_static,96,10,NA,0.0100801
spmv_manual,1,1,NA,0.00115239
spmv_manual,1,2,NA,0.00105142
spmv_manual,1,3,NA,0.0010541
spmv_manual,1,4,NA,0.0011597
spmv_manual,1,5,NA,0.00104489
spmv_manual,1,6,NA,0.00113168
spmv_manual,1,7,NA,0.00117586
spmv_manual,1,8,NA,0.00104144
spmv_manual,1,9,NA,0.00114901
spmv_manual,1,10,NA,0.00113863
spmv_manual,2,1,NA,0.000670247
spmv_manual,2,2,NA,0.000713537
spmv_manual,2,3,NA,0.000656119
spmv_manual,2,4,NA,0.000661409
spmv_manual,2,5,NA,0.000658842
spmv_manual,2,6,NA,0.000677332
spmv_manual,2,7,NA,0.000637768
spmv_manual,2,8,NA,0.000611139
spmv_manual,2,9,NA,0.000653904
spmv_manual,2,10,NA,0.000678962
spmv_manual,4,1,NA,0.000458775
spmv_manual,4,2,NA,0.000457635
spmv_manual,4,3,NA,0.00047268
spmv_manual,4,4,NA,0.000458831
spmv_manual,4,5,NA,0.000477826
spmv_manual,4,6,NA,0.000463778
spmv_manual,4,7,NA,0.000539681
spmv_manual,4,8,NA,0.000448903
spmv_manual,4,9,NA,0.000512671
spmv_manual,4,10,NA,0.000502678
spmv_manual,8,1,NA,0.000490237
spmv_manual,8,2,NA,0.000449048
spmv_manual,8,3,NA,0.000477104
spmv_manual,8,4,NA,0.000504235
spmv_manual,8,5,NA,0.000537554
spmv_manual,8,6,NA,0.000458341
spmv_manual,8,7,NA,0.000542767
spmv_manual,8,8,NA,0.000549905
spmv_manual,8,9,NA,0.000551647
spmv_manual,8,10,NA,0.000576029
spmv_manual,16,1,NA,0.000665182
spmv_manual,16,2,NA,0.000614069
spmv_manual,16,3,NA,0.000627968
spmv_manual,16,4,NA,0.000614285
spmv_manual,16,5,NA,0.000588177
spmv_manual,16,6,NA,0.000558348
spmv_manual,16,7,NA,0.000709441
spmv_manual,16,8,NA,0.000778755
spmv_manual,16,9,NA,0.000643229
spmv_manual,16,10,NA,0.000544148
spmv_manual,32,1,NA,0.000900736
spmv_manual,32,2,NA,0.000904523
spmv_manual,32,3,NA,0.000885032
spmv_manual,32,4,NA,0.000884963
spmv_manual,32,5,NA,0.000938993
spmv_manual,32,6,NA,0.00120556
spmv_manual,32,7,NA,0.00124794
spmv_manual,32,8,NA,0.00112141
spmv_manual,32,9,NA,0.00126932
spmv_manual,32,10,NA,0.00120907
spmv_manual,64,1,NA,0.0021335
spmv_manual,64,2,NA,0.00174564
spmv_manual,64,3,NA,0.00213978
spmv_manual,64,4,NA,0.00214634
spmv_manual,64,5,NA,0.00198829
spmv_manual,64,6,NA,0.00159809
spmv_manual,64,7,NA,0.00156691
spmv_manual,64,8,NA,0.00180449
spmv_manual,64,9,NA,0.00166643
spmv_manual,64,10,NA,0.00175687
spmv_manual,96,1,NA,0.0100863
spmv_manual,96,2,NA,0.00993583
