Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.00171125
spmv_sequential,1,2,NA,0.00169114
spmv_sequential,1,3,NA,0.00172117
spmv_sequential,1,4,NA,0.0016956
spmv_sequential,1,5,NA,0.00169525
spmv_sequential,1,6,NA,0.00169597
spmv_sequential,1,7,NA,0.00171464
spmv_sequential,1,8,NA,0.00169748
spmv_sequential,1,9,NA,0.00170104
spmv_sequential,1,10,NA,0.00179457
spmv_sequential,2,1,NA,0.00170227
spmv_sequential,2,2,NA,0.00170541
spmv_sequential,2,3,NA,0.00169924
spmv_sequential,2,4,NA,0.00172518
spmv_sequential,2,5,NA,0.00172471
spmv_sequential,2,6,NA,0.00171525
spmv_sequential,2,7,NA,0.00171487
spmv_sequential,2,8,NA,0.00173047
spmv_sequential,2,9,NA,0.00171862
spmv_sequential,2,10,NA,0.00171652
spmv_sequential,4,1,NA,0.00171751
spmv_sequential,4,2,NA,0.00171815
spmv_sequential,4,3,NA,0.00172596
spmv_sequential,4,4,NA,0.00171368
spmv_sequential,4,5,NA,0.0017191
spmv_sequential,4,6,NA,0.00171423
spmv_sequential,4,7,NA,0.00171576
spmv_sequential,4,8,NA,0.00171343
spmv_sequential,4,9,NA,0.00172703
spmv_sequential,4,10,NA,0.00170272
spmv_sequential,8,1,NA,0.00172128
spmv_sequential,8,2,NA,0.00172002
spmv_sequential,8,3,NA,0.00172864
spmv_sequential,8,4,NA,0.00169299
spmv_sequential,8,5,NA,0.00169666
spmv_sequential,8,6,NA,0.00170683
spmv_sequential,8,7,NA,0.00171324
spmv_sequential,8,8,NA,0.00171682
spmv_sequential,8,9,NA,0.00171756
spmv_sequential,8,10,NA,0.00171784
spmv_sequential,16,1,NA,0.00170654
spmv_sequential,16,2,NA,0.00169907
spmv_sequential,16,3,NA,0.00169318
spmv_sequential,16,4,NA,0.00170366
spmv_sequential,16,5,NA,0.00169849
spmv_sequential,16,6,NA,0.00171075
spmv_sequential,16,7,NA,0.00170132
spmv_sequential,16,8,NA,0.00171392
spmv_sequential,16,9,NA,0.00169846
spmv_sequential,16,10,NA,0.00169531
spmv_sequential,32,1,NA,0.00171401
spmv_sequential,32,2,NA,0.00170636
spmv_sequential,32,3,NA,0.00169408
spmv_sequential,32,4,NA,0.00169822
spmv_sequential,32,5,NA,0.0017
spmv_sequential,32,6,NA,0.00175339
spmv_sequential,32,7,NA,0.00170704
spmv_sequential,32,8,NA,0.00171669
