Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.00173313
spmv_runtime_static,1,2,10,0.00174137
spmv_runtime_static,1,3,10,0.00170794
spmv_runtime_static,1,4,10,0.0017522
spmv_runtime_static,1,5,10,0.00173056
spmv_runtime_static,1,6,10,0.00174044
spmv_runtime_static,1,7,10,0.00173762
spmv_runtime_static,1,8,10,0.00173679
spmv_runtime_static,1,9,10,0.0017404
spmv_runtime_static,1,10,10,0.00173925
spmv_runtime_static,2,1,10,0.0032873
spmv_runtime_static,2,2,10,0.00327759
spmv_runtime_static,2,3,10,0.0032756
spmv_runtime_static,2,4,10,0.00327124
spmv_runtime_static,2,5,10,0.00342497
spmv_runtime_static,2,6,10,0.00328808
spmv_runtime_static,2,7,10,0.00330699
spmv_runtime_static,2,8,10,0.00327077
spmv_runtime_static,2,9,10,0.00330785
spmv_runtime_static,2,10,10,0.00327769
spmv_runtime_static,4,1,10,0.00186473
spmv_runtime_static,4,2,10,0.00183496
spmv_runtime_static,4,3,10,0.00183629
spmv_runtime_static,4,4,10,0.00192142
spmv_runtime_static,4,5,10,0.00186253
spmv_runtime_static,4,6,10,0.00317451
spmv_runtime_static,4,7,10,0.0018322
spmv_runtime_static,4,8,10,0.00194643
spmv_runtime_static,4,9,10,0.0018811
spmv_runtime_static,4,10,10,0.00188617
spmv_runtime_static,8,1,10,0.00108314
spmv_runtime_static,8,2,10,0.000872456
spmv_runtime_static,8,3,10,0.00108245
spmv_runtime_static,8,4,10,0.00113096
spmv_runtime_static,8,5,10,0.00105802
spmv_runtime_static,8,6,10,0.00110416
spmv_runtime_static,8,7,10,0.00113221
spmv_runtime_static,8,8,10,0.00109824
spmv_runtime_static,8,9,10,0.00122972
spmv_runtime_static,8,10,10,0.00107557
spmv_runtime_static,16,1,10,0.00086121
spmv_runtime_static,16,2,10,0.000809696
spmv_runtime_static,16,3,10,0.00082527
spmv_runtime_static,16,4,10,0.000941113
spmv_runtime_static,16,5,10,0.000851327
spmv_runtime_static,16,6,10,0.000880972
spmv_runtime_static,16,7,10,0.000978571
spmv_runtime_static,16,8,10,0.0009025
spmv_runtime_static,16,9,10,0.00082035
spmv_runtime_static,16,10,10,0.00085743
spmv_runtime_static,32,1,10,0.00142355
spmv_runtime_static,32,2,10,0.00142088
spmv_runtime_static,32,3,10,0.00134053
spmv_runtime_static,32,4,10,0.00136288
spmv_runtime_static,32,5,10,0.00140498
spmv_runtime_static,32,6,10,0.00147782
spmv_runtime_static,32,7,10,0.00137589
spmv_runtime_static,32,8,10,0.000891094
spmv_runtime_static,32,9,10,0.0014815
spmv_runtime_static,32,10,10,0.00137128
spmv_runtime_static,64,1,10,0.00232661
spmv_runtime_static,64,2,10,0.0014848
