Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,3.4906e-05
spmv_sequential,2,1,NA,2.96365e-05
spmv_sequential,4,1,NA,2.90982e-05
spmv_sequential,8,1,NA,2.92826e-05
spmv_sequential,16,1,NA,2.95956e-05
spmv_sequential,32,1,NA,2.93609e-05
spmv_sequential,64,1,NA,3.72436e-05
spmv_sequential,96,1,NA,2.90796e-05
spmv_static,1,1,NA,0.000026
spmv_static,2,1,NA,0.000018
spmv_static,4,1,NA,0.000018
spmv_static,8,1,NA,0.000017
spmv_static,16,1,NA,0.000027
spmv_static,32,1,NA,0.000050
spmv_static,64,1,NA,0.009860
spmv_static,96,1,NA,0.011832
spmv_manual,1,1,NA,0.000026
spmv_manual,2,1,NA,0.000014
spmv_manual,4,1,NA,0.000020
spmv_manual,8,1,NA,0.000019
spmv_manual,16,1,NA,0.000033
spmv_manual,32,1,NA,0.000055
spmv_manual,64,1,NA,0.009731
spmv_manual,96,1,NA,0.010382
spmv_dynamic,1,1,NA,0.000043
spmv_dynamic,2,1,NA,0.000089
spmv_dynamic,4,1,NA,0.000135
spmv_dynamic,8,1,NA,0.000173
spmv_dynamic,16,1,NA,0.000159
spmv_dynamic,32,1,NA,0.000179
spmv_dynamic,64,1,NA,0.009936
spmv_dynamic,96,1,NA,0.012353
spmv_guided,1,1,NA,0.000029
spmv_guided,2,1,NA,0.000017
spmv_guided,4,1,NA,0.000025
spmv_guided,8,1,NA,0.000035
spmv_guided,16,1,NA,0.000054
spmv_guided,32,1,NA,0.000112
spmv_guided,64,1,NA,0.009738
spmv_guided,96,1,NA,0.014988
spmv_task,1,1,NA,0.000048
spmv_task,2,1,NA,0.000482
spmv_task,4,1,NA,0.003419
spmv_task,8,1,NA,0.006926
spmv_task,16,1,NA,0.010282
spmv_task,32,1,NA,0.021821
spmv_task,64,1,NA,0.050949
spmv_task,96,1,NA,0.128685
spmv_merge,1,1,NA,0.000027
spmv_merge,2,1,NA,0.000019
spmv_merge,4,1,NA,0.000022
spmv_merge,8,1,NA,0.000019
spmv_merge,16,1,NA,0.000030
spmv_merge,32,1,NA,0.000050
spmv_merge,64,1,NA,0.009665
spmv_merge,96,1,NA,0.013190
spmv_bind,1,1,NA,0.000018
spmv_bind,2,1,NA,0.000019
spmv_bind,4,1,NA,0.000022
spmv_bind,8,1,NA,0.000664
spmv_bind,16,1,NA,0.001776
spmv_bind,32,1,NA,0.001537
spmv_bind,64,1,NA,0.000726
spmv_bind,96,1,NA,0.001599

