Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.002058
spmv_runtime_static,2,1,10,0.001251
spmv_runtime_static,4,1,10,0.000838
spmv_runtime_static,8,1,10,0.000643
spmv_runtime_static,16,1,10,0.000496
spmv_runtime_static,32,1,10,0.000608
spmv_runtime_static,64,1,10,0.010469
spmv_runtime_static,96,1,10,0.015024
spmv_runtime_static,1,1,100,0.002059
spmv_runtime_static,2,1,100,0.001183
spmv_runtime_static,4,1,100,0.000770
spmv_runtime_static,8,1,100,0.000538
spmv_runtime_static,16,1,100,0.000412
spmv_runtime_static,32,1,100,0.000403
spmv_runtime_static,64,1,100,0.009812
spmv_runtime_static,96,1,100,0.011793
spmv_runtime_static,1,1,1000,0.002059
spmv_runtime_static,2,1,1000,0.001150
spmv_runtime_static,4,1,1000,0.000699
spmv_runtime_static,8,1,1000,0.000510
spmv_runtime_static,16,1,1000,0.000422
spmv_runtime_static,32,1,1000,0.000380
spmv_runtime_static,64,1,1000,0.009958
spmv_runtime_static,96,1,1000,0.013846
spmv_runtime_static,1,1,10000,0.002058
spmv_runtime_static,2,1,10000,0.001145
spmv_runtime_static,4,1,10000,0.001032
spmv_runtime_static,8,1,10000,0.000925
spmv_runtime_static,16,1,10000,0.000967
spmv_runtime_static,32,1,10000,0.001066
spmv_runtime_static,64,1,10000,0.010094
spmv_runtime_static,96,1,10000,0.011989
spmv_runtime_dynamic,1,1,10,0.002153
spmv_runtime_dynamic,2,1,10,0.001516
spmv_runtime_dynamic,4,1,10,0.001265
spmv_runtime_dynamic,8,1,10,0.001063
spmv_runtime_dynamic,16,1,10,0.000691
spmv_runtime_dynamic,32,1,10,0.000793
spmv_runtime_dynamic,64,1,10,0.010368
spmv_runtime_dynamic,96,1,10,0.011405
spmv_runtime_dynamic,1,1,100,0.002072
spmv_runtime_dynamic,2,1,100,0.001103
spmv_runtime_dynamic,4,1,100,0.000632
spmv_runtime_dynamic,8,1,100,0.000390
spmv_runtime_dynamic,16,1,100,0.000361
spmv_runtime_dynamic,32,1,100,0.000367
spmv_runtime_dynamic,64,1,100,0.009950
spmv_runtime_dynamic,96,1,100,0.011984
spmv_runtime_dynamic,1,1,1000,0.002062
spmv_runtime_dynamic,2,1,1000,0.001074
spmv_runtime_dynamic,4,1,1000,0.000560
spmv_runtime_dynamic,8,1,1000,0.000371
spmv_runtime_dynamic,16,1,1000,0.000362
spmv_runtime_dynamic,32,1,1000,0.000390
spmv_runtime_dynamic,64,1,1000,0.009918
spmv_runtime_dynamic,96,1,1000,0.014959
spmv_runtime_dynamic,1,1,10000,0.002062
spmv_runtime_dynamic,2,1,10000,0.001146
spmv_runtime_dynamic,4,1,10000,0.001033
spmv_runtime_dynamic,8,1,10000,0.000931
spmv_runtime_dynamic,16,1,10000,0.000957
spmv_runtime_dynamic,32,1,10000,0.001027
spmv_runtime_dynamic,64,1,10000,0.009835
spmv_runtime_dynamic,96,1,10000,0.013475
spmv_runtime_guided,1,1,10,0.002058
spmv_runtime_guided,2,1,10,0.001039
spmv_runtime_guided,4,1,10,0.000538
spmv_runtime_guided,8,1,10,0.000423
spmv_runtime_guided,16,1,10,0.000378
spmv_runtime_guided,32,1,10,0.000353
spmv_runtime_guided,64,1,10,0.009978
spmv_runtime_guided,96,1,10,0.011791
spmv_runtime_guided,1,1,100,0.002058
spmv_runtime_guided,2,1,100,0.001040
spmv_runtime_guided,4,1,100,0.000538
spmv_runtime_guided,8,1,100,0.000422
spmv_runtime_guided,16,1,100,0.000371
spmv_runtime_guided,32,1,100,0.000344
spmv_runtime_guided,64,1,100,0.009729
spmv_runtime_guided,96,1,100,0.011175
spmv_runtime_guided,1,1,1000,0.002060
spmv_runtime_guided,2,1,1000,0.001066
spmv_runtime_guided,4,1,1000,0.000560
spmv_runtime_guided,8,1,1000,0.000423
spmv_runtime_guided,16,1,1000,0.000371
spmv_runtime_guided,32,1,1000,0.000336
spmv_runtime_guided,64,1,1000,0.009975
spmv_runtime_guided,96,1,1000,0.010179
spmv_runtime_guided,1,1,10000,0.002064
spmv_runtime_guided,2,1,10000,0.001050
spmv_runtime_guided,4,1,10000,0.000819
spmv_runtime_guided,8,1,10000,0.000930
spmv_runtime_guided,16,1,10000,0.000953
spmv_runtime_guided,32,1,10000,0.001025
spmv_runtime_guided,64,1,10000,0.009705
spmv_runtime_guided,96,1,10000,0.011467
