Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.00169279
spmv_sequential,2,1,NA,0.00169633
spmv_sequential,4,1,NA,0.00168891
spmv_sequential,8,1,NA,0.00168069
spmv_sequential,16,1,NA,0.00167931
spmv_sequential,32,1,NA,0.00168701
spmv_sequential,64,1,NA,0.00171155
spmv_sequential,96,1,NA,0.00168479
spmv_static,1,1,NA,0.001463
spmv_static,2,1,NA,0.000812
spmv_static,4,1,NA,0.000443
spmv_static,8,1,NA,0.000255
spmv_static,16,1,NA,0.000159
spmv_static,32,1,NA,0.000137
spmv_static,64,1,NA,0.009686
spmv_static,96,1,NA,0.013148
spmv_manual,1,1,NA,0.001355
spmv_manual,2,1,NA,0.000753
spmv_manual,4,1,NA,0.000410
spmv_manual,8,1,NA,0.000239
spmv_manual,16,1,NA,0.000149
spmv_manual,32,1,NA,0.000126
spmv_manual,64,1,NA,0.010131
spmv_manual,96,1,NA,0.012538
spmv_dynamic,1,1,NA,0.002021
spmv_dynamic,2,1,NA,0.002351
spmv_dynamic,4,1,NA,0.004028
spmv_dynamic,8,1,NA,0.004458
spmv_dynamic,16,1,NA,0.003493
spmv_dynamic,32,1,NA,0.002977
spmv_dynamic,64,1,NA,0.012658
spmv_dynamic,96,1,NA,0.015940
spmv_guided,1,1,NA,0.001463
spmv_guided,2,1,NA,0.000808
spmv_guided,4,1,NA,0.000407
spmv_guided,8,1,NA,0.000234
spmv_guided,16,1,NA,0.000167
spmv_guided,32,1,NA,0.000182
spmv_guided,64,1,NA,0.010270
spmv_guided,96,1,NA,0.010887
spmv_task,1,1,NA,0.002003
spmv_task,2,1,NA,0.028122
spmv_task,4,1,NA,0.119143
spmv_task,8,1,NA,0.214836
spmv_task,16,1,NA,0.322327
spmv_task,32,1,NA,0.616506
spmv_task,64,1,NA,1.591146
spmv_task,96,1,NA,4.215566
spmv_merge,1,1,NA,0.001458
spmv_merge,2,1,NA,0.000811
spmv_merge,4,1,NA,0.000444
spmv_merge,8,1,NA,0.000262
spmv_merge,16,1,NA,0.000160
spmv_merge,32,1,NA,0.000124
spmv_merge,64,1,NA,0.009698
spmv_merge,96,1,NA,0.012429
spmv_bind,1,1,NA,0.001127
spmv_bind,2,1,NA,0.001241
spmv_bind,4,1,NA,0.001031
spmv_bind,8,1,NA,0.000802
spmv_bind,16,1,NA,0.000729
spmv_bind,32,1,NA,0.000728
spmv_bind,64,1,NA,0.001561
spmv_bind,96,1,NA,0.001625

