Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.00148872
spmv_sequential,2,1,NA,0.00146982
spmv_sequential,4,1,NA,0.00145374
spmv_sequential,8,1,NA,0.00145949
spmv_sequential,16,1,NA,0.00146089
spmv_sequential,32,1,NA,0.00146499
spmv_sequential,64,1,NA,0.00146675
spmv_sequential,96,1,NA,0.00144861
spmv_static,1,1,NA,0.001233
spmv_static,2,1,NA,0.000716
spmv_static,4,1,NA,0.000397
spmv_static,8,1,NA,0.000214
spmv_static,16,1,NA,0.000135
spmv_static,32,1,NA,0.000114
spmv_static,64,1,NA,0.009737
spmv_static,96,1,NA,0.011048
spmv_manual,1,1,NA,0.001104
spmv_manual,2,1,NA,0.000649
spmv_manual,4,1,NA,0.000362
spmv_manual,8,1,NA,0.000198
spmv_manual,16,1,NA,0.000130
spmv_manual,32,1,NA,0.000121
spmv_manual,64,1,NA,0.009702
spmv_manual,96,1,NA,0.012325
spmv_dynamic,1,1,NA,0.002232
spmv_dynamic,2,1,NA,0.003246
spmv_dynamic,4,1,NA,0.006018
spmv_dynamic,8,1,NA,0.006777
spmv_dynamic,16,1,NA,0.005030
spmv_dynamic,32,1,NA,0.004795
spmv_dynamic,64,1,NA,0.014021
spmv_dynamic,96,1,NA,0.019535
spmv_guided,1,1,NA,0.001226
spmv_guided,2,1,NA,0.000624
spmv_guided,4,1,NA,0.000333
spmv_guided,8,1,NA,0.000196
spmv_guided,16,1,NA,0.000151
spmv_guided,32,1,NA,0.000184
spmv_guided,64,1,NA,0.010044
spmv_guided,96,1,NA,0.015059
spmv_task,1,1,NA,0.002014
spmv_task,2,1,NA,0.054309
spmv_task,4,1,NA,0.200479
spmv_task,8,1,NA,0.313333
spmv_task,16,1,NA,0.455301
spmv_task,32,1,NA,1.001762
spmv_task,64,1,NA,2.252689
spmv_task,96,1,NA,7.400530
spmv_merge,1,1,NA,0.001268
spmv_merge,2,1,NA,0.000737
spmv_merge,4,1,NA,0.000399
spmv_merge,8,1,NA,0.000221
spmv_merge,16,1,NA,0.000135
spmv_merge,32,1,NA,0.000120
spmv_merge,64,1,NA,0.009707
spmv_merge,96,1,NA,0.010156
spmv_bind,1,1,NA,0.000928
spmv_bind,2,1,NA,0.000500
spmv_bind,4,1,NA,0.000280
spmv_bind,8,1,NA,0.000791
spmv_bind,16,1,NA,0.000749
spmv_bind,32,1,NA,0.001544
spmv_bind,64,1,NA,0.001704
spmv_bind,96,1,NA,0.001636

