Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.000282397
spmv_sequential,2,1,NA,0.0002787
spmv_sequential,4,1,NA,0.000293456
spmv_sequential,8,1,NA,0.000277894
spmv_sequential,16,1,NA,0.000286032
spmv_sequential,32,1,NA,0.000276269
spmv_sequential,64,1,NA,0.000278685
spmv_sequential,96,1,NA,0.00027959
spmv_static,1,1,NA,0.000245
spmv_static,2,1,NA,0.000130
spmv_static,4,1,NA,0.000075
spmv_static,8,1,NA,0.000053
spmv_static,16,1,NA,0.000053
spmv_static,32,1,NA,0.000066
spmv_static,64,1,NA,0.009882
spmv_static,96,1,NA,0.014815
spmv_manual,1,1,NA,0.000222
spmv_manual,2,1,NA,0.000119
spmv_manual,4,1,NA,0.000069
spmv_manual,8,1,NA,0.000051
spmv_manual,16,1,NA,0.000053
spmv_manual,32,1,NA,0.000067
spmv_manual,64,1,NA,0.009863
spmv_manual,96,1,NA,0.014295
spmv_dynamic,1,1,NA,0.000408
spmv_dynamic,2,1,NA,0.000602
spmv_dynamic,4,1,NA,0.001490
spmv_dynamic,8,1,NA,0.001270
spmv_dynamic,16,1,NA,0.000926
spmv_dynamic,32,1,NA,0.000791
spmv_dynamic,64,1,NA,0.010305
spmv_dynamic,96,1,NA,0.012916
spmv_guided,1,1,NA,0.000244
spmv_guided,2,1,NA,0.000131
spmv_guided,4,1,NA,0.000084
spmv_guided,8,1,NA,0.000076
spmv_guided,16,1,NA,0.000088
spmv_guided,32,1,NA,0.000137
spmv_guided,64,1,NA,0.009807
spmv_guided,96,1,NA,0.012785
spmv_task,1,1,NA,0.000373
spmv_task,2,1,NA,0.008837
spmv_task,4,1,NA,0.028015
spmv_task,8,1,NA,0.056781
spmv_task,16,1,NA,0.082531
spmv_task,32,1,NA,0.162559
spmv_task,64,1,NA,0.411454
spmv_task,96,1,NA,1.121672
spmv_merge,1,1,NA,0.000245
spmv_merge,2,1,NA,0.000129
spmv_merge,4,1,NA,0.000075
spmv_merge,8,1,NA,0.000056
spmv_merge,16,1,NA,0.000050
spmv_merge,32,1,NA,0.000068
spmv_merge,64,1,NA,0.009854
spmv_merge,96,1,NA,0.012079
spmv_bind,1,1,NA,0.000164
spmv_bind,2,1,NA,0.000094
spmv_bind,4,1,NA,0.000677
spmv_bind,8,1,NA,0.000686
spmv_bind,16,1,NA,0.000696
spmv_bind,32,1,NA,0.001545
spmv_bind,64,1,NA,0.001601
spmv_bind,96,1,NA,0.002436

