Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.000510
spmv_runtime_static,2,1,10,0.000285
spmv_runtime_static,4,1,10,0.000182
spmv_runtime_static,8,1,10,0.000133
spmv_runtime_static,16,1,10,0.000102
spmv_runtime_static,32,1,10,0.000101
spmv_runtime_static,64,1,10,0.009908
spmv_runtime_static,96,1,10,0.013417
spmv_runtime_static,1,1,100,0.000510
spmv_runtime_static,2,1,100,0.000268
spmv_runtime_static,4,1,100,0.000156
spmv_runtime_static,8,1,100,0.000102
spmv_runtime_static,16,1,100,0.000082
spmv_runtime_static,32,1,100,0.000097
spmv_runtime_static,64,1,100,0.009692
spmv_runtime_static,96,1,100,0.012668
spmv_runtime_static,1,1,1000,0.000509
spmv_runtime_static,2,1,1000,0.000266
spmv_runtime_static,4,1,1000,0.000178
spmv_runtime_static,8,1,1000,0.000119
spmv_runtime_static,16,1,1000,0.000135
spmv_runtime_static,32,1,1000,0.000172
spmv_runtime_static,64,1,1000,0.009970
spmv_runtime_static,96,1,1000,0.011836
spmv_runtime_static,1,1,10000,0.000510
spmv_runtime_static,2,1,10000,0.000516
spmv_runtime_static,4,1,10000,0.000522
spmv_runtime_static,8,1,10000,0.000530
spmv_runtime_static,16,1,10000,0.000564
spmv_runtime_static,32,1,10000,0.000623
spmv_runtime_static,64,1,10000,0.009871
spmv_runtime_static,96,1,10000,0.011947
spmv_runtime_dynamic,1,1,10,0.000515
spmv_runtime_dynamic,2,1,10,0.000319
spmv_runtime_dynamic,4,1,10,0.000236
spmv_runtime_dynamic,8,1,10,0.000179
spmv_runtime_dynamic,16,1,10,0.000124
spmv_runtime_dynamic,32,1,10,0.000131
spmv_runtime_dynamic,64,1,10,0.009705
spmv_runtime_dynamic,96,1,10,0.011793
spmv_runtime_dynamic,1,1,100,0.000512
spmv_runtime_dynamic,2,1,100,0.000270
spmv_runtime_dynamic,4,1,100,0.000155
spmv_runtime_dynamic,8,1,100,0.000099
spmv_runtime_dynamic,16,1,100,0.000083
spmv_runtime_dynamic,32,1,100,0.000097
spmv_runtime_dynamic,64,1,100,0.010151
spmv_runtime_dynamic,96,1,100,0.011722
spmv_runtime_dynamic,1,1,1000,0.000509
spmv_runtime_dynamic,2,1,1000,0.000265
spmv_runtime_dynamic,4,1,1000,0.000178
spmv_runtime_dynamic,8,1,1000,0.000125
spmv_runtime_dynamic,16,1,1000,0.000142
spmv_runtime_dynamic,32,1,1000,0.000178
spmv_runtime_dynamic,64,1,1000,0.009876
spmv_runtime_dynamic,96,1,1000,0.010230
spmv_runtime_dynamic,1,1,10000,0.000508
spmv_runtime_dynamic,2,1,10000,0.000515
spmv_runtime_dynamic,4,1,10000,0.000527
spmv_runtime_dynamic,8,1,10000,0.000542
spmv_runtime_dynamic,16,1,10000,0.000564
spmv_runtime_dynamic,32,1,10000,0.000601
spmv_runtime_dynamic,64,1,10000,0.009619
spmv_runtime_dynamic,96,1,10000,0.012807
spmv_runtime_guided,1,1,10,0.000510
spmv_runtime_guided,2,1,10,0.000262
spmv_runtime_guided,4,1,10,0.000147
spmv_runtime_guided,8,1,10,0.000097
spmv_runtime_guided,16,1,10,0.000085
spmv_runtime_guided,32,1,10,0.000113
spmv_runtime_guided,64,1,10,0.010210
spmv_runtime_guided,96,1,10,0.010403
spmv_runtime_guided,1,1,100,0.000508
spmv_runtime_guided,2,1,100,0.000264
spmv_runtime_guided,4,1,100,0.000146
spmv_runtime_guided,8,1,100,0.000094
spmv_runtime_guided,16,1,100,0.000078
spmv_runtime_guided,32,1,100,0.000101
spmv_runtime_guided,64,1,100,0.009670
spmv_runtime_guided,96,1,100,0.011055
spmv_runtime_guided,1,1,1000,0.000510
spmv_runtime_guided,2,1,1000,0.000263
spmv_runtime_guided,4,1,1000,0.000201
spmv_runtime_guided,8,1,1000,0.000125
spmv_runtime_guided,16,1,1000,0.000141
spmv_runtime_guided,32,1,1000,0.000176
spmv_runtime_guided,64,1,1000,0.010098
spmv_runtime_guided,96,1,1000,0.012467
spmv_runtime_guided,1,1,10000,0.000510
spmv_runtime_guided,2,1,10000,0.000516
spmv_runtime_guided,4,1,10000,0.000525
spmv_runtime_guided,8,1,10000,0.000537
spmv_runtime_guided,16,1,10000,0.000555
spmv_runtime_guided,32,1,10000,0.000602
spmv_runtime_guided,64,1,10000,0.010103
spmv_runtime_guided,96,1,10000,0.011693
