Executable,Threads,Run,ChunkSize,Time
spmv_static,1,1,NA,0.007654
spmv_static,2,1,NA,0.008636
spmv_static,4,1,NA,0.005309
spmv_static,8,1,NA,0.002831
spmv_static,16,1,NA,0.002377
spmv_static,24,1,NA,0.002521
spmv_static,32,1,NA,0.004021
spmv_static,64,1,NA,0.011714
spmv_static,96,1,NA,0.020601
spmv_merge,1,1,NA,0.020169
spmv_merge,2,1,NA,0.009908
spmv_merge,4,1,NA,0.002679
spmv_merge,8,1,NA,0.002435
spmv_merge,16,1,NA,0.002654
spmv_merge,24,1,NA,0.001958
spmv_merge,32,1,NA,0.010843
spmv_merge,64,1,NA,0.012622
spmv_merge,96,1,NA,0.020781
