Executable,Threads,Run,ChunkSize,Time
spmv_static,1,1,NA,0.006330
spmv_static,2,1,NA,0.006110
spmv_static,4,1,NA,0.004264
spmv_static,8,1,NA,0.001797
spmv_static,16,1,NA,0.001126
spmv_static,24,1,NA,0.000999
spmv_static,32,1,NA,0.010616
spmv_static,64,1,NA,0.012315
spmv_static,96,1,NA,0.020434
spmv_merge,1,1,NA,0.008226
spmv_merge,2,1,NA,0.004675
spmv_merge,4,1,NA,0.002649
spmv_merge,8,1,NA,0.001730
spmv_merge,16,1,NA,0.001254
spmv_merge,24,1,NA,0.002149
spmv_merge,32,1,NA,0.002150
spmv_merge,64,1,NA,0.011932
spmv_merge,96,1,NA,0.020345
