Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,5.58197e-05
spmv_sequential,2,1,NA,6.22012e-05
spmv_sequential,4,1,NA,5.57844e-05
spmv_sequential,8,1,NA,6.2231e-05
spmv_sequential,16,1,NA,4.55976e-05
spmv_sequential,32,1,NA,4.45023e-05
spmv_sequential,64,1,NA,5.78538e-05
spmv_sequential,96,1,NA,5.62295e-05
spmv_static,1,1,NA,0.000026
spmv_static,2,1,NA,0.000020
spmv_static,4,1,NA,0.000019
spmv_static,8,1,NA,0.000023
spmv_static,16,1,NA,0.000034
spmv_static,32,1,NA,0.000053
spmv_static,64,1,NA,0.009872
spmv_static,96,1,NA,0.010389
spmv_manual,1,1,NA,0.000022
spmv_manual,2,1,NA,0.000019
spmv_manual,4,1,NA,0.000016
spmv_manual,8,1,NA,0.000020
spmv_manual,16,1,NA,0.000031
spmv_manual,32,1,NA,0.000052
spmv_manual,64,1,NA,0.009632
spmv_manual,96,1,NA,0.010129
spmv_dynamic,1,1,NA,0.000175
spmv_dynamic,2,1,NA,0.000548
spmv_dynamic,4,1,NA,0.000979
spmv_dynamic,8,1,NA,0.000829
spmv_dynamic,16,1,NA,0.001065
spmv_dynamic,32,1,NA,0.000963
spmv_dynamic,64,1,NA,0.010696
spmv_dynamic,96,1,NA,0.011509
spmv_guided,1,1,NA,0.000032
spmv_guided,2,1,NA,0.000023
spmv_guided,4,1,NA,0.000028
spmv_guided,8,1,NA,0.000040
spmv_guided,16,1,NA,0.000075
spmv_guided,32,1,NA,0.000141
spmv_guided,64,1,NA,0.009798
spmv_guided,96,1,NA,0.010430
spmv_task,1,1,NA,0.000137
spmv_task,2,1,NA,0.007177
spmv_task,4,1,NA,0.012733
spmv_task,8,1,NA,0.045358
spmv_task,16,1,NA,0.070722
spmv_task,32,1,NA,0.146035
spmv_task,64,1,NA,0.402808
spmv_task,96,1,NA,0.814385
spmv_merge,1,1,NA,0.000058
spmv_merge,2,1,NA,0.000042
spmv_merge,4,1,NA,0.000071
spmv_merge,8,1,NA,0.000060
spmv_merge,16,1,NA,0.000084
spmv_merge,32,1,NA,0.003721
spmv_merge,64,1,NA,0.011349
spmv_merge,96,1,NA,0.019538
spmv_bind,1,1,NA,0.000022
spmv_bind,2,1,NA,0.000024
spmv_bind,4,1,NA,0.000022
spmv_bind,8,1,NA,0.000666
spmv_bind,16,1,NA,0.001329
spmv_bind,32,1,NA,0.000706
spmv_bind,64,1,NA,0.001706
spmv_bind,96,1,NA,0.001611

