Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.000024
spmv_runtime_static,2,1,10,0.000037
spmv_runtime_static,4,1,10,0.000037
spmv_runtime_static,8,1,10,0.000040
spmv_runtime_static,16,1,10,0.000067
spmv_runtime_static,32,1,10,0.000111
spmv_runtime_static,64,1,10,0.009689
spmv_runtime_static,96,1,10,0.010289
spmv_runtime_static,1,1,100,0.000027
spmv_runtime_static,2,1,100,0.000019
spmv_runtime_static,4,1,100,0.000027
spmv_runtime_static,8,1,100,0.000036
spmv_runtime_static,16,1,100,0.000047
spmv_runtime_static,32,1,100,0.000073
spmv_runtime_static,64,1,100,0.009655
spmv_runtime_static,96,1,100,0.010198
spmv_runtime_static,1,1,1000,0.000025
spmv_runtime_static,2,1,1000,0.000017
spmv_runtime_static,4,1,1000,0.000013
spmv_runtime_static,8,1,1000,0.000021
spmv_runtime_static,16,1,1000,0.000038
spmv_runtime_static,32,1,1000,0.000058
spmv_runtime_static,64,1,1000,0.009652
spmv_runtime_static,96,1,1000,0.010774
spmv_runtime_static,1,1,10000,0.000024
spmv_runtime_static,2,1,10000,0.000030
spmv_runtime_static,4,1,10000,0.000029
spmv_runtime_static,8,1,10000,0.000037
spmv_runtime_static,16,1,10000,0.000053
spmv_runtime_static,32,1,10000,0.000074
spmv_runtime_static,64,1,10000,0.009637
spmv_runtime_static,96,1,10000,0.010255
spmv_runtime_dynamic,1,1,10,0.000043
spmv_runtime_dynamic,2,1,10,0.000055
spmv_runtime_dynamic,4,1,10,0.000054
spmv_runtime_dynamic,8,1,10,0.000104
spmv_runtime_dynamic,16,1,10,0.000128
spmv_runtime_dynamic,32,1,10,0.000162
spmv_runtime_dynamic,64,1,10,0.009968
spmv_runtime_dynamic,96,1,10,0.010137
spmv_runtime_dynamic,1,1,100,0.000026
spmv_runtime_dynamic,2,1,100,0.000024
spmv_runtime_dynamic,4,1,100,0.000015
spmv_runtime_dynamic,8,1,100,0.000020
spmv_runtime_dynamic,16,1,100,0.000048
spmv_runtime_dynamic,32,1,100,0.000069
spmv_runtime_dynamic,64,1,100,0.009646
spmv_runtime_dynamic,96,1,100,0.010391
spmv_runtime_dynamic,1,1,1000,0.000025
spmv_runtime_dynamic,2,1,1000,0.000019
spmv_runtime_dynamic,4,1,1000,0.000015
spmv_runtime_dynamic,8,1,1000,0.000022
spmv_runtime_dynamic,16,1,1000,0.000041
spmv_runtime_dynamic,32,1,1000,0.000072
spmv_runtime_dynamic,64,1,1000,0.009728
spmv_runtime_dynamic,96,1,1000,0.010416
spmv_runtime_dynamic,1,1,10000,0.000025
spmv_runtime_dynamic,2,1,10000,0.000031
spmv_runtime_dynamic,4,1,10000,0.000031
spmv_runtime_dynamic,8,1,10000,0.000040
spmv_runtime_dynamic,16,1,10000,0.000057
spmv_runtime_dynamic,32,1,10000,0.000079
spmv_runtime_dynamic,64,1,10000,0.009696
spmv_runtime_dynamic,96,1,10000,0.010670
spmv_runtime_guided,1,1,10,0.000028
spmv_runtime_guided,2,1,10,0.000017
spmv_runtime_guided,4,1,10,0.000014
spmv_runtime_guided,8,1,10,0.000027
spmv_runtime_guided,16,1,10,0.000062
spmv_runtime_guided,32,1,10,0.000123
spmv_runtime_guided,64,1,10,0.010145
spmv_runtime_guided,96,1,10,0.010505
spmv_runtime_guided,1,1,100,0.000025
spmv_runtime_guided,2,1,100,0.000017
spmv_runtime_guided,4,1,100,0.000018
spmv_runtime_guided,8,1,100,0.000025
spmv_runtime_guided,16,1,100,0.000048
spmv_runtime_guided,32,1,100,0.000083
spmv_runtime_guided,64,1,100,0.009635
spmv_runtime_guided,96,1,100,0.010441
spmv_runtime_guided,1,1,1000,0.000026
spmv_runtime_guided,2,1,1000,0.000016
spmv_runtime_guided,4,1,1000,0.000013
spmv_runtime_guided,8,1,1000,0.000024
spmv_runtime_guided,16,1,1000,0.000037
spmv_runtime_guided,32,1,1000,0.000070
spmv_runtime_guided,64,1,1000,0.009694
spmv_runtime_guided,96,1,1000,0.010438
spmv_runtime_guided,1,1,10000,0.000027
spmv_runtime_guided,2,1,10000,0.000028
spmv_runtime_guided,4,1,10000,0.000030
spmv_runtime_guided,8,1,10000,0.000046
spmv_runtime_guided,16,1,10000,0.000058
spmv_runtime_guided,32,1,10000,0.000082
spmv_runtime_guided,64,1,10000,0.009676
spmv_runtime_guided,96,1,10000,0.010738
