Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.00166805
spmv_sequential,2,1,NA,0.00162063
spmv_sequential,4,1,NA,0.00197694
spmv_sequential,8,1,NA,0.00147611
spmv_sequential,16,1,NA,0.00163119
spmv_sequential,32,1,NA,0.0019925
spmv_sequential,64,1,NA,0.00149082
spmv_sequential,96,1,NA,0.00148569
spmv_static,1,1,NA,0.001264
spmv_static,2,1,NA,0.000884
spmv_static,4,1,NA,0.000890
spmv_static,8,1,NA,0.000482
spmv_static,16,1,NA,0.000269
spmv_static,32,1,NA,0.000192
spmv_static,64,1,NA,0.009752
spmv_static,96,1,NA,0.009732
spmv_manual,1,1,NA,0.001281
spmv_manual,2,1,NA,0.000913
spmv_manual,4,1,NA,0.000848
spmv_manual,8,1,NA,0.000474
spmv_manual,16,1,NA,0.000279
spmv_manual,32,1,NA,0.000190
spmv_manual,64,1,NA,0.009768
spmv_manual,96,1,NA,0.010167
spmv_dynamic,1,1,NA,0.002082
spmv_dynamic,2,1,NA,0.002931
spmv_dynamic,4,1,NA,0.004351
spmv_dynamic,8,1,NA,0.004246
spmv_dynamic,16,1,NA,0.003434
spmv_dynamic,32,1,NA,0.003107
spmv_dynamic,64,1,NA,0.012431
spmv_dynamic,96,1,NA,0.012820
spmv_guided,1,1,NA,0.001290
spmv_guided,2,1,NA,0.000672
spmv_guided,4,1,NA,0.000433
spmv_guided,8,1,NA,0.000266
spmv_guided,16,1,NA,0.000206
spmv_guided,32,1,NA,0.000235
spmv_guided,64,1,NA,0.010318
spmv_guided,96,1,NA,0.010736
spmv_task,1,1,NA,0.001787
spmv_task,2,1,NA,0.026336
spmv_task,4,1,NA,0.106663
spmv_task,8,1,NA,0.217605
spmv_task,16,1,NA,0.314842
spmv_task,32,1,NA,0.684201
spmv_task,64,1,NA,1.687771
spmv_task,96,1,NA,3.550699
spmv_merge,1,1,NA,0.005463
spmv_merge,2,1,NA,0.002864
spmv_merge,4,1,NA,0.000845
spmv_merge,8,1,NA,0.000511
spmv_merge,16,1,NA,0.000390
spmv_merge,32,1,NA,0.003927
spmv_merge,64,1,NA,0.012978
spmv_merge,96,1,NA,0.020428
spmv_bind,1,1,NA,0.001364
spmv_bind,2,1,NA,0.001552
spmv_bind,4,1,NA,0.001540
spmv_bind,8,1,NA,0.001099
spmv_bind,16,1,NA,0.000903
spmv_bind,32,1,NA,0.001637
spmv_bind,64,1,NA,0.001621
spmv_bind,96,1,NA,0.000847
