Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.001319
spmv_runtime_static,2,1,10,0.000716
spmv_runtime_static,4,1,10,0.000438
spmv_runtime_static,8,1,10,0.000276
spmv_runtime_static,16,1,10,0.000217
spmv_runtime_static,32,1,10,0.000314
spmv_runtime_static,64,1,10,0.010149
spmv_runtime_static,96,1,10,0.010187
spmv_runtime_static,1,1,100,0.001295
spmv_runtime_static,2,1,100,0.000667
spmv_runtime_static,4,1,100,0.000367
spmv_runtime_static,8,1,100,0.000217
spmv_runtime_static,16,1,100,0.000163
spmv_runtime_static,32,1,100,0.000146
spmv_runtime_static,64,1,100,0.009785
spmv_runtime_static,96,1,100,0.010930
spmv_runtime_static,1,1,1000,0.001245
spmv_runtime_static,2,1,1000,0.000635
spmv_runtime_static,4,1,1000,0.000371
spmv_runtime_static,8,1,1000,0.000265
spmv_runtime_static,16,1,1000,0.000181
spmv_runtime_static,32,1,1000,0.000207
spmv_runtime_static,64,1,1000,0.009801
spmv_runtime_static,96,1,1000,0.010116
spmv_runtime_static,1,1,10000,0.001263
spmv_runtime_static,2,1,10000,0.000809
spmv_runtime_static,4,1,10000,0.000793
spmv_runtime_static,8,1,10000,0.000803
spmv_runtime_static,16,1,10000,0.000887
spmv_runtime_static,32,1,10000,0.000887
spmv_runtime_static,64,1,10000,0.009714
spmv_runtime_static,96,1,10000,0.010571
spmv_runtime_dynamic,1,1,10,0.001343
spmv_runtime_dynamic,2,1,10,0.000862
spmv_runtime_dynamic,4,1,10,0.000706
spmv_runtime_dynamic,8,1,10,0.000629
spmv_runtime_dynamic,16,1,10,0.000510
spmv_runtime_dynamic,32,1,10,0.000565
spmv_runtime_dynamic,64,1,10,0.010487
spmv_runtime_dynamic,96,1,10,0.010982
spmv_runtime_dynamic,1,1,100,0.001268
spmv_runtime_dynamic,2,1,100,0.000671
spmv_runtime_dynamic,4,1,100,0.000392
spmv_runtime_dynamic,8,1,100,0.000269
spmv_runtime_dynamic,16,1,100,0.000222
spmv_runtime_dynamic,32,1,100,0.000235
spmv_runtime_dynamic,64,1,100,0.010149
spmv_runtime_dynamic,96,1,100,0.010452
spmv_runtime_dynamic,1,1,1000,0.001271
spmv_runtime_dynamic,2,1,1000,0.000656
spmv_runtime_dynamic,4,1,1000,0.000403
spmv_runtime_dynamic,8,1,1000,0.000278
spmv_runtime_dynamic,16,1,1000,0.000230
spmv_runtime_dynamic,32,1,1000,0.000226
spmv_runtime_dynamic,64,1,1000,0.009831
spmv_runtime_dynamic,96,1,1000,0.010354
spmv_runtime_dynamic,1,1,10000,0.001294
spmv_runtime_dynamic,2,1,10000,0.000843
spmv_runtime_dynamic,4,1,10000,0.000873
spmv_runtime_dynamic,8,1,10000,0.000902
spmv_runtime_dynamic,16,1,10000,0.001031
spmv_runtime_dynamic,32,1,10000,0.001118
spmv_runtime_dynamic,64,1,10000,0.009744
spmv_runtime_dynamic,96,1,10000,0.010027
spmv_runtime_guided,1,1,10,0.001286
spmv_runtime_guided,2,1,10,0.000696
spmv_runtime_guided,4,1,10,0.000428
spmv_runtime_guided,8,1,10,0.000253
spmv_runtime_guided,16,1,10,0.000195
spmv_runtime_guided,32,1,10,0.000231
spmv_runtime_guided,64,1,10,0.010204
spmv_runtime_guided,96,1,10,0.010622
spmv_runtime_guided,1,1,100,0.001291
spmv_runtime_guided,2,1,100,0.000660
spmv_runtime_guided,4,1,100,0.000424
spmv_runtime_guided,8,1,100,0.000253
spmv_runtime_guided,16,1,100,0.000208
spmv_runtime_guided,32,1,100,0.000205
spmv_runtime_guided,64,1,100,0.010285
spmv_runtime_guided,96,1,100,0.010326
spmv_runtime_guided,1,1,1000,0.001247
spmv_runtime_guided,2,1,1000,0.000680
spmv_runtime_guided,4,1,1000,0.000414
spmv_runtime_guided,8,1,1000,0.000285
spmv_runtime_guided,16,1,1000,0.000211
spmv_runtime_guided,32,1,1000,0.000258
spmv_runtime_guided,64,1,1000,0.009660
spmv_runtime_guided,96,1,1000,0.010167
spmv_runtime_guided,1,1,10000,0.001266
spmv_runtime_guided,2,1,10000,0.000897
spmv_runtime_guided,4,1,10000,0.000905
spmv_runtime_guided,8,1,10000,0.001037
spmv_runtime_guided,16,1,10000,0.000940
spmv_runtime_guided,32,1,10000,0.001103
spmv_runtime_guided,64,1,10000,0.009653
spmv_runtime_guided,96,1,10000,0.010218
