Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.000756452
spmv_sequential,2,1,NA,0.000616433
spmv_sequential,4,1,NA,0.000617763
spmv_sequential,8,1,NA,0.000612875
spmv_sequential,16,1,NA,0.000648197
spmv_sequential,32,1,NA,0.000610171
spmv_sequential,64,1,NA,0.000630651
spmv_sequential,96,1,NA,0.00061954
spmv_static,1,1,NA,0.000362
spmv_static,2,1,NA,0.000294
spmv_static,4,1,NA,0.000177
spmv_static,8,1,NA,0.000133
spmv_static,16,1,NA,0.000122
spmv_static,32,1,NA,0.000138
spmv_static,64,1,NA,0.009913
spmv_static,96,1,NA,0.010048
spmv_manual,1,1,NA,0.000354
spmv_manual,2,1,NA,0.000298
spmv_manual,4,1,NA,0.000172
spmv_manual,8,1,NA,0.000138
spmv_manual,16,1,NA,0.000106
spmv_manual,32,1,NA,0.000148
spmv_manual,64,1,NA,0.009713
spmv_manual,96,1,NA,0.010120
spmv_dynamic,1,1,NA,0.001549
spmv_dynamic,2,1,NA,0.003726
spmv_dynamic,4,1,NA,0.002962
spmv_dynamic,8,1,NA,0.004488
spmv_dynamic,16,1,NA,0.005582
spmv_dynamic,32,1,NA,0.004784
spmv_dynamic,64,1,NA,0.014266
spmv_dynamic,96,1,NA,0.015116
spmv_guided,1,1,NA,0.000364
spmv_guided,2,1,NA,0.000189
spmv_guided,4,1,NA,0.000106
spmv_guided,8,1,NA,0.000112
spmv_guided,16,1,NA,0.000126
spmv_guided,32,1,NA,0.000177
spmv_guided,64,1,NA,0.009802
spmv_guided,96,1,NA,0.011553
spmv_task,1,1,NA,0.001021
spmv_task,2,1,NA,0.047132
spmv_task,4,1,NA,0.197675
spmv_task,8,1,NA,0.327526
spmv_task,16,1,NA,0.464535
spmv_task,32,1,NA,0.927567
spmv_task,64,1,NA,2.449099
spmv_task,96,1,NA,5.370453
spmv_merge,1,1,NA,0.001018
spmv_merge,2,1,NA,0.000497
spmv_merge,4,1,NA,0.000318
spmv_merge,8,1,NA,0.000234
spmv_merge,16,1,NA,0.000388
spmv_merge,32,1,NA,0.007043
spmv_merge,64,1,NA,0.019261
spmv_merge,96,1,NA,0.019695
spmv_bind,1,1,NA,0.000409
spmv_bind,2,1,NA,0.000928
spmv_bind,4,1,NA,0.000204
spmv_bind,8,1,NA,0.000756
spmv_bind,16,1,NA,0.000744
spmv_bind,32,1,NA,0.001619
spmv_bind,64,1,NA,0.002099
spmv_bind,96,1,NA,0.000889

