Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.000170
spmv_runtime_static,2,1,10,0.000126
spmv_runtime_static,4,1,10,0.000109
spmv_runtime_static,8,1,10,0.000096
spmv_runtime_static,16,1,10,0.000132
spmv_runtime_static,32,1,10,0.000198
spmv_runtime_static,64,1,10,0.009799
spmv_runtime_static,96,1,10,0.010263
spmv_runtime_static,1,1,100,0.000161
spmv_runtime_static,2,1,100,0.000096
spmv_runtime_static,4,1,100,0.000060
spmv_runtime_static,8,1,100,0.000070
spmv_runtime_static,16,1,100,0.000076
spmv_runtime_static,32,1,100,0.000101
spmv_runtime_static,64,1,100,0.009909
spmv_runtime_static,96,1,100,0.010179
spmv_runtime_static,1,1,1000,0.000158
spmv_runtime_static,2,1,1000,0.000095
spmv_runtime_static,4,1,1000,0.000058
spmv_runtime_static,8,1,1000,0.000056
spmv_runtime_static,16,1,1000,0.000060
spmv_runtime_static,32,1,1000,0.000082
spmv_runtime_static,64,1,1000,0.009689
spmv_runtime_static,96,1,1000,0.010386
spmv_runtime_static,1,1,10000,0.000160
spmv_runtime_static,2,1,10000,0.000108
spmv_runtime_static,4,1,10000,0.000081
spmv_runtime_static,8,1,10000,0.000093
spmv_runtime_static,16,1,10000,0.000103
spmv_runtime_static,32,1,10000,0.000134
spmv_runtime_static,64,1,10000,0.009653
spmv_runtime_static,96,1,10000,0.010369
spmv_runtime_dynamic,1,1,10,0.000204
spmv_runtime_dynamic,2,1,10,0.000209
spmv_runtime_dynamic,4,1,10,0.000320
spmv_runtime_dynamic,8,1,10,0.000336
spmv_runtime_dynamic,16,1,10,0.000315
spmv_runtime_dynamic,32,1,10,0.000385
spmv_runtime_dynamic,64,1,10,0.010174
spmv_runtime_dynamic,96,1,10,0.010504
spmv_runtime_dynamic,1,1,100,0.000172
spmv_runtime_dynamic,2,1,100,0.000111
spmv_runtime_dynamic,4,1,100,0.000092
spmv_runtime_dynamic,8,1,100,0.000086
spmv_runtime_dynamic,16,1,100,0.000093
spmv_runtime_dynamic,32,1,100,0.000126
spmv_runtime_dynamic,64,1,100,0.009671
spmv_runtime_dynamic,96,1,100,0.010188
spmv_runtime_dynamic,1,1,1000,0.000163
spmv_runtime_dynamic,2,1,1000,0.000091
spmv_runtime_dynamic,4,1,1000,0.000075
spmv_runtime_dynamic,8,1,1000,0.000062
spmv_runtime_dynamic,16,1,1000,0.000070
spmv_runtime_dynamic,32,1,1000,0.000102
spmv_runtime_dynamic,64,1,1000,0.009700
spmv_runtime_dynamic,96,1,1000,0.010426
spmv_runtime_dynamic,1,1,10000,0.000165
spmv_runtime_dynamic,2,1,10000,0.000102
spmv_runtime_dynamic,4,1,10000,0.000125
spmv_runtime_dynamic,8,1,10000,0.000124
spmv_runtime_dynamic,16,1,10000,0.000150
spmv_runtime_dynamic,32,1,10000,0.000177
spmv_runtime_dynamic,64,1,10000,0.009644
spmv_runtime_dynamic,96,1,10000,0.010527
spmv_runtime_guided,1,1,10,0.000174
spmv_runtime_guided,2,1,10,0.000099
spmv_runtime_guided,4,1,10,0.000069
spmv_runtime_guided,8,1,10,0.000063
spmv_runtime_guided,16,1,10,0.000082
spmv_runtime_guided,32,1,10,0.000154
spmv_runtime_guided,64,1,10,0.009971
spmv_runtime_guided,96,1,10,0.010501
spmv_runtime_guided,1,1,100,0.000170
spmv_runtime_guided,2,1,100,0.000098
spmv_runtime_guided,4,1,100,0.000065
spmv_runtime_guided,8,1,100,0.000065
spmv_runtime_guided,16,1,100,0.000073
spmv_runtime_guided,32,1,100,0.000124
spmv_runtime_guided,64,1,100,0.010168
spmv_runtime_guided,96,1,100,0.010339
spmv_runtime_guided,1,1,1000,0.000163
spmv_runtime_guided,2,1,1000,0.000097
spmv_runtime_guided,4,1,1000,0.000066
spmv_runtime_guided,8,1,1000,0.000064
spmv_runtime_guided,16,1,1000,0.000073
spmv_runtime_guided,32,1,1000,0.000098
spmv_runtime_guided,64,1,1000,0.009684
spmv_runtime_guided,96,1,1000,0.009851
spmv_runtime_guided,1,1,10000,0.000166
spmv_runtime_guided,2,1,10000,0.000091
spmv_runtime_guided,4,1,10000,0.000095
spmv_runtime_guided,8,1,10000,0.000119
spmv_runtime_guided,16,1,10000,0.000148
spmv_runtime_guided,32,1,10000,0.000168
spmv_runtime_guided,64,1,10000,0.009752
spmv_runtime_guided,96,1,10000,0.010470
