Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.000659583
spmv_sequential,2,1,NA,0.000666361
spmv_sequential,4,1,NA,0.000658533
spmv_sequential,8,1,NA,0.000700062
spmv_sequential,16,1,NA,0.000687692
spmv_sequential,32,1,NA,0.000655396
spmv_sequential,64,1,NA,0.000667756
spmv_sequential,96,1,NA,0.000663657
spmv_static,1,1,NA,0.000502
spmv_static,2,1,NA,0.000270
spmv_static,4,1,NA,0.000149
spmv_static,8,1,NA,0.000095
spmv_static,16,1,NA,0.000074
spmv_static,32,1,NA,0.000093
spmv_static,64,1,NA,0.009723
spmv_static,96,1,NA,0.010297
spmv_manual,1,1,NA,0.000506
spmv_manual,2,1,NA,0.000265
spmv_manual,4,1,NA,0.000147
spmv_manual,8,1,NA,0.000102
spmv_manual,16,1,NA,0.000105
spmv_manual,32,1,NA,0.000091
spmv_manual,64,1,NA,0.010132
spmv_manual,96,1,NA,0.010665
spmv_dynamic,1,1,NA,0.000700
spmv_dynamic,2,1,NA,0.000726
spmv_dynamic,4,1,NA,0.001371
spmv_dynamic,8,1,NA,0.001757
spmv_dynamic,16,1,NA,0.001512
spmv_dynamic,32,1,NA,0.001323
spmv_dynamic,64,1,NA,0.010949
spmv_dynamic,96,1,NA,0.011459
spmv_guided,1,1,NA,0.000503
spmv_guided,2,1,NA,0.000266
spmv_guided,4,1,NA,0.000156
spmv_guided,8,1,NA,0.000116
spmv_guided,16,1,NA,0.000115
spmv_guided,32,1,NA,0.000154
spmv_guided,64,1,NA,0.009853
spmv_guided,96,1,NA,0.010452
spmv_task,1,1,NA,0.000614
spmv_task,2,1,NA,0.004594
spmv_task,4,1,NA,0.025948
spmv_task,8,1,NA,0.051259
spmv_task,16,1,NA,0.083601
spmv_task,32,1,NA,0.185145
spmv_task,64,1,NA,0.436105
spmv_task,96,1,NA,0.989511
spmv_merge,1,1,NA,0.001446
spmv_merge,2,1,NA,0.000447
spmv_merge,4,1,NA,0.000233
spmv_merge,8,1,NA,0.000173
spmv_merge,16,1,NA,0.000150
spmv_merge,32,1,NA,0.000247
spmv_merge,64,1,NA,0.011489
spmv_merge,96,1,NA,0.023445
spmv_bind,1,1,NA,0.000514
spmv_bind,2,1,NA,0.000903
spmv_bind,4,1,NA,0.000790
spmv_bind,8,1,NA,0.000714
spmv_bind,16,1,NA,0.000697
spmv_bind,32,1,NA,0.000710
spmv_bind,64,1,NA,0.001556
spmv_bind,96,1,NA,0.001627

