Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.000494
spmv_runtime_static,2,1,10,0.000288
spmv_runtime_static,4,1,10,0.000193
spmv_runtime_static,8,1,10,0.000115
spmv_runtime_static,16,1,10,0.000102
spmv_runtime_static,32,1,10,0.000132
spmv_runtime_static,64,1,10,0.009746
spmv_runtime_static,96,1,10,0.010524
spmv_runtime_static,1,1,100,0.000511
spmv_runtime_static,2,1,100,0.000272
spmv_runtime_static,4,1,100,0.000153
spmv_runtime_static,8,1,100,0.000096
spmv_runtime_static,16,1,100,0.000093
spmv_runtime_static,32,1,100,0.000103
spmv_runtime_static,64,1,100,0.010118
spmv_runtime_static,96,1,100,0.009950
spmv_runtime_static,1,1,1000,0.000497
spmv_runtime_static,2,1,1000,0.000268
spmv_runtime_static,4,1,1000,0.000159
spmv_runtime_static,8,1,1000,0.000102
spmv_runtime_static,16,1,1000,0.000109
spmv_runtime_static,32,1,1000,0.000146
spmv_runtime_static,64,1,1000,0.009794
spmv_runtime_static,96,1,1000,0.010169
spmv_runtime_static,1,1,10000,0.000497
spmv_runtime_static,2,1,10000,0.000510
spmv_runtime_static,4,1,10000,0.000531
spmv_runtime_static,8,1,10000,0.000528
spmv_runtime_static,16,1,10000,0.000566
spmv_runtime_static,32,1,10000,0.000591
spmv_runtime_static,64,1,10000,0.009791
spmv_runtime_static,96,1,10000,0.010687
spmv_runtime_dynamic,1,1,10,0.000520
spmv_runtime_dynamic,2,1,10,0.000334
spmv_runtime_dynamic,4,1,10,0.000220
spmv_runtime_dynamic,8,1,10,0.000197
spmv_runtime_dynamic,16,1,10,0.000216
spmv_runtime_dynamic,32,1,10,0.000241
spmv_runtime_dynamic,64,1,10,0.010027
spmv_runtime_dynamic,96,1,10,0.009984
spmv_runtime_dynamic,1,1,100,0.000504
spmv_runtime_dynamic,2,1,100,0.000270
spmv_runtime_dynamic,4,1,100,0.000170
spmv_runtime_dynamic,8,1,100,0.000111
spmv_runtime_dynamic,16,1,100,0.000107
spmv_runtime_dynamic,32,1,100,0.000118
spmv_runtime_dynamic,64,1,100,0.010034
spmv_runtime_dynamic,96,1,100,0.010224
spmv_runtime_dynamic,1,1,1000,0.000494
spmv_runtime_dynamic,2,1,1000,0.000264
spmv_runtime_dynamic,4,1,1000,0.000175
spmv_runtime_dynamic,8,1,1000,0.000114
spmv_runtime_dynamic,16,1,1000,0.000141
spmv_runtime_dynamic,32,1,1000,0.000182
spmv_runtime_dynamic,64,1,1000,0.009663
spmv_runtime_dynamic,96,1,1000,0.010673
spmv_runtime_dynamic,1,1,10000,0.000493
spmv_runtime_dynamic,2,1,10000,0.000545
spmv_runtime_dynamic,4,1,10000,0.000564
spmv_runtime_dynamic,8,1,10000,0.000610
spmv_runtime_dynamic,16,1,10000,0.000646
spmv_runtime_dynamic,32,1,10000,0.000657
spmv_runtime_dynamic,64,1,10000,0.009861
spmv_runtime_dynamic,96,1,10000,0.009960
spmv_runtime_guided,1,1,10,0.000494
spmv_runtime_guided,2,1,10,0.000318
spmv_runtime_guided,4,1,10,0.000173
spmv_runtime_guided,8,1,10,0.000109
spmv_runtime_guided,16,1,10,0.000107
spmv_runtime_guided,32,1,10,0.000149
spmv_runtime_guided,64,1,10,0.009992
spmv_runtime_guided,96,1,10,0.010372
spmv_runtime_guided,1,1,100,0.000510
spmv_runtime_guided,2,1,100,0.000255
spmv_runtime_guided,4,1,100,0.000159
spmv_runtime_guided,8,1,100,0.000113
spmv_runtime_guided,16,1,100,0.000105
spmv_runtime_guided,32,1,100,0.000123
spmv_runtime_guided,64,1,100,0.009833
spmv_runtime_guided,96,1,100,0.010704
spmv_runtime_guided,1,1,1000,0.000499
spmv_runtime_guided,2,1,1000,0.000283
spmv_runtime_guided,4,1,1000,0.000156
spmv_runtime_guided,8,1,1000,0.000141
spmv_runtime_guided,16,1,1000,0.000149
spmv_runtime_guided,32,1,1000,0.000185
spmv_runtime_guided,64,1,1000,0.010018
spmv_runtime_guided,96,1,1000,0.010521
spmv_runtime_guided,1,1,10000,0.000508
spmv_runtime_guided,2,1,10000,0.000544
spmv_runtime_guided,4,1,10000,0.000530
spmv_runtime_guided,8,1,10000,0.000704
spmv_runtime_guided,16,1,10000,0.000654
spmv_runtime_guided,32,1,10000,0.000703
spmv_runtime_guided,64,1,10000,0.009867
spmv_runtime_guided,96,1,10000,0.010682
