Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.000040
spmv_runtime_static,2,1,10,0.000040
spmv_runtime_static,4,1,10,0.000057
spmv_runtime_static,8,1,10,0.000055
spmv_runtime_static,16,1,10,0.000073
spmv_runtime_static,32,1,10,0.000119
spmv_runtime_static,64,1,10,0.009738
spmv_runtime_static,96,1,10,0.010341
spmv_runtime_static,1,1,100,0.000040
spmv_runtime_static,2,1,100,0.000031
spmv_runtime_static,4,1,100,0.000040
spmv_runtime_static,8,1,100,0.000036
spmv_runtime_static,16,1,100,0.000053
spmv_runtime_static,32,1,100,0.000090
spmv_runtime_static,64,1,100,0.009644
spmv_runtime_static,96,1,100,0.010358
spmv_runtime_static,1,1,1000,0.000040
spmv_runtime_static,2,1,1000,0.000033
spmv_runtime_static,4,1,1000,0.000029
spmv_runtime_static,8,1,1000,0.000029
spmv_runtime_static,16,1,1000,0.000046
spmv_runtime_static,32,1,1000,0.000083
spmv_runtime_static,64,1,1000,0.009645
spmv_runtime_static,96,1,1000,0.010443
spmv_runtime_static,1,1,10000,0.000039
spmv_runtime_static,2,1,10000,0.000050
spmv_runtime_static,4,1,10000,0.000054
spmv_runtime_static,8,1,10000,0.000060
spmv_runtime_static,16,1,10000,0.000076
spmv_runtime_static,32,1,10000,0.000106
spmv_runtime_static,64,1,10000,0.009932
spmv_runtime_static,96,1,10000,0.009737
spmv_runtime_dynamic,1,1,10,0.000054
spmv_runtime_dynamic,2,1,10,0.000825
spmv_runtime_dynamic,4,1,10,0.000133
spmv_runtime_dynamic,8,1,10,0.000132
spmv_runtime_dynamic,16,1,10,0.000147
spmv_runtime_dynamic,32,1,10,0.000184
spmv_runtime_dynamic,64,1,10,0.009770
spmv_runtime_dynamic,96,1,10,0.010484
spmv_runtime_dynamic,1,1,100,0.000040
spmv_runtime_dynamic,2,1,100,0.000113
spmv_runtime_dynamic,4,1,100,0.000025
spmv_runtime_dynamic,8,1,100,0.000047
spmv_runtime_dynamic,16,1,100,0.000058
spmv_runtime_dynamic,32,1,100,0.000085
spmv_runtime_dynamic,64,1,100,0.009660
spmv_runtime_dynamic,96,1,100,0.010464
spmv_runtime_dynamic,1,1,1000,0.000039
spmv_runtime_dynamic,2,1,1000,0.000048
spmv_runtime_dynamic,4,1,1000,0.000029
spmv_runtime_dynamic,8,1,1000,0.000031
spmv_runtime_dynamic,16,1,1000,0.000047
spmv_runtime_dynamic,32,1,1000,0.000075
spmv_runtime_dynamic,64,1,1000,0.009889
spmv_runtime_dynamic,96,1,1000,0.010382
spmv_runtime_dynamic,1,1,10000,0.000040
spmv_runtime_dynamic,2,1,10000,0.000044
spmv_runtime_dynamic,4,1,10000,0.000067
spmv_runtime_dynamic,8,1,10000,0.000069
spmv_runtime_dynamic,16,1,10000,0.000094
spmv_runtime_dynamic,32,1,10000,0.000119
spmv_runtime_dynamic,64,1,10000,0.009649
spmv_runtime_dynamic,96,1,10000,0.010470
spmv_runtime_guided,1,1,10,0.000040
spmv_runtime_guided,2,1,10,0.000046
spmv_runtime_guided,4,1,10,0.000031
spmv_runtime_guided,8,1,10,0.000037
spmv_runtime_guided,16,1,10,0.000076
spmv_runtime_guided,32,1,10,0.000139
spmv_runtime_guided,64,1,10,0.009708
spmv_runtime_guided,96,1,10,0.010666
spmv_runtime_guided,1,1,100,0.000039
spmv_runtime_guided,2,1,100,0.000028
spmv_runtime_guided,4,1,100,0.000029
spmv_runtime_guided,8,1,100,0.000031
spmv_runtime_guided,16,1,100,0.000059
spmv_runtime_guided,32,1,100,0.000099
spmv_runtime_guided,64,1,100,0.009634
spmv_runtime_guided,96,1,100,0.010159
spmv_runtime_guided,1,1,1000,0.000041
spmv_runtime_guided,2,1,1000,0.000027
spmv_runtime_guided,4,1,1000,0.000023
spmv_runtime_guided,8,1,1000,0.000032
spmv_runtime_guided,16,1,1000,0.000052
spmv_runtime_guided,32,1,1000,0.000073
spmv_runtime_guided,64,1,1000,0.009677
spmv_runtime_guided,96,1,1000,0.010819
spmv_runtime_guided,1,1,10000,0.000040
spmv_runtime_guided,2,1,10000,0.000044
spmv_runtime_guided,4,1,10000,0.000061
spmv_runtime_guided,8,1,10000,0.000069
spmv_runtime_guided,16,1,10000,0.000091
spmv_runtime_guided,32,1,10000,0.000118
spmv_runtime_guided,64,1,10000,0.009639
spmv_runtime_guided,96,1,10000,0.010479
