Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.000128465
spmv_sequential,2,1,NA,0.000106396
spmv_sequential,4,1,NA,0.00012389
spmv_sequential,8,1,NA,0.000127595
spmv_sequential,16,1,NA,0.000136847
spmv_sequential,32,1,NA,0.000130039
spmv_sequential,64,1,NA,0.000129752
spmv_sequential,96,1,NA,0.0001314
spmv_static,1,1,NA,0.000077
spmv_static,2,1,NA,0.000046
spmv_static,4,1,NA,0.000036
spmv_static,8,1,NA,0.000046
spmv_static,16,1,NA,0.000041
spmv_static,32,1,NA,0.000060
spmv_static,64,1,NA,0.010144
spmv_static,96,1,NA,0.010143
spmv_manual,1,1,NA,0.000076
spmv_manual,2,1,NA,0.000051
spmv_manual,4,1,NA,0.000033
spmv_manual,8,1,NA,0.000041
spmv_manual,16,1,NA,0.000041
spmv_manual,32,1,NA,0.000059
spmv_manual,64,1,NA,0.009838
spmv_manual,96,1,NA,0.010133
spmv_dynamic,1,1,NA,0.000197
spmv_dynamic,2,1,NA,0.001918
spmv_dynamic,4,1,NA,0.000620
spmv_dynamic,8,1,NA,0.000650
spmv_dynamic,16,1,NA,0.000558
spmv_dynamic,32,1,NA,0.000504
spmv_dynamic,64,1,NA,0.010113
spmv_dynamic,96,1,NA,0.011035
spmv_guided,1,1,NA,0.000076
spmv_guided,2,1,NA,0.000048
spmv_guided,4,1,NA,0.000044
spmv_guided,8,1,NA,0.000048
spmv_guided,16,1,NA,0.000072
spmv_guided,32,1,NA,0.000127
spmv_guided,64,1,NA,0.009952
spmv_guided,96,1,NA,0.010217
spmv_task,1,1,NA,0.000152
spmv_task,2,1,NA,0.004599
spmv_task,4,1,NA,0.016086
spmv_task,8,1,NA,0.026494
spmv_task,16,1,NA,0.045606
spmv_task,32,1,NA,0.108207
spmv_task,64,1,NA,0.261877
spmv_task,96,1,NA,0.607120
spmv_merge,1,1,NA,0.000158
spmv_merge,2,1,NA,0.000100
spmv_merge,4,1,NA,0.000057
spmv_merge,8,1,NA,0.000071
spmv_merge,16,1,NA,0.000102
spmv_merge,32,1,NA,0.004622
spmv_merge,64,1,NA,0.013538
spmv_merge,96,1,NA,0.020231
spmv_bind,1,1,NA,0.000084
spmv_bind,2,1,NA,0.000055
spmv_bind,4,1,NA,0.000642
spmv_bind,8,1,NA,0.000675
spmv_bind,16,1,NA,0.001252
spmv_bind,32,1,NA,0.001341
spmv_bind,64,1,NA,0.001540
spmv_bind,96,1,NA,0.001594

