distribution,num_procs,ghost_entries_min,ghost_entries_mean,ghost_entries_max,ghost_volume_total,load_imbalance
1D,1,0,0.0,0,0,0.0
1D,2,744635,744635.0,744635,1489270,1.0
1D,4,1087032,1087032.0,1087032,4348128,1.0
1D,8,1139406,1139406.0,1139406,9115248,1.0
1D,16,976716,976716.0,976716,15627456,1.0
1D,32,677726,677726.0,677726,21687232,1.0
1D,64,399766,399766.0,399766,25585024,1.0
1D,128,216047,216047.0,216047,27654016,1.0
2D,2,374506,374506.0,374506,749012,1.0
2D,4,561759,561759.0,561759,2247036,1.0
2D,8,327692,327692.0,327692,2621536,1.0
2D,16,351099,351099.0,351099,5617584,1.0
2D,32,181401,181401.0,181401,5804832,1.0
2D,64,184327,184327.0,184327,11796928,1.0
2D,128,92895,92895.0,92895,11890560,1.0
2D_cyclic,2,0,0.0,0,0,0.0
2D_cyclic,4,374506,374506.0,374506,1498024,1.0
2D_cyclic,8,187253,187253.0,187253,1498024,1.0
2D_cyclic,16,280879,280879.0,280879,4494064,1.0
2D_cyclic,32,140439,140439.0,140439,4494048,1.0
2D_cyclic,64,163846,163846.0,163846,10486144,1.0
2D_cyclic,128,81923,81923.0,81923,10486144,1.0
