distribution,num_procs,ghost_entries_min,ghost_entries_mean,ghost_entries_max,ghost_volume_total,load_imbalance
1D,1,0,0.0,0,0,0.0
1D,2,4358,4358.0,4358,8716,1.0
1D,4,4313,4313.0,4313,17252,1.0
1D,8,2734,2734.0,2734,21872,1.0
1D,16,1680,1680.0,1680,26880,1.0
1D,32,894,894.0,894,28608,1.0
1D,64,447,447.0,447,28608,1.0
1D,128,221,221.0,221,28288,1.0
2D,2,2417,2417.0,2417,4834,1.0
2D,4,3626,3626.0,3626,14504,1.0
2D,8,2115,2115.0,2115,16920,1.0
2D,16,2266,2266.0,2266,36256,1.0
2D,32,1171,1171.0,1171,37472,1.0
2D,64,1190,1190.0,1190,76160,1.0
2D,128,600,600.0,600,76800,1.0
2D_cyclic,2,0,0.0,0,0,0.0
2D_cyclic,4,2417,2417.0,2417,9668,1.0
2D_cyclic,8,1209,1209.0,1209,9672,1.0
2D_cyclic,16,1813,1813.0,1813,29008,1.0
2D_cyclic,32,906,906.0,906,28992,1.0
2D_cyclic,64,1057,1057.0,1057,67648,1.0
2D_cyclic,128,529,529.0,529,67712,1.0
