distribution,num_procs,ghost_entries_min,ghost_entries_mean,ghost_entries_max,ghost_volume_total,load_imbalance
1D,1,0,0.0,0,0,0.0
1D,2,12310,12310.0,12310,24620,1.0
1D,4,13288,13288.0,13288,53152,1.0
1D,8,10276,10276.0,10276,82208,1.0
1D,16,6865,6865.0,6865,109840,1.0
1D,32,4199,4199.0,4199,134368,1.0
1D,64,2238,2238.0,2238,143232,1.0
1D,128,1308,1308.0,1308,167424,1.0
2D,2,8131,8131.0,8131,16262,1.0
2D,4,11098,11098.0,11098,44392,1.0
2D,8,7616,7616.0,7616,60928,1.0
2D,16,7399,7399.0,7399,118384,1.0
2D,32,4378,4378.0,4378,140096,1.0
2D,64,4027,4027.0,4027,257728,1.0
2D,128,2215,2215.0,2215,283520,1.0
2D_cyclic,2,0,0.0,0,0,0.0
2D_cyclic,4,4728,4728.0,4728,18912,1.0
2D_cyclic,8,2331,2331.0,2331,18648,1.0
2D_cyclic,16,2316,2316.0,2316,37056,1.0
2D_cyclic,32,1146,1146.0,1146,36672,1.0
2D_cyclic,64,887,887.0,887,56768,1.0
2D_cyclic,128,447,447.0,447,57216,1.0
