distribution,num_procs,ghost_entries_min,ghost_entries_mean,ghost_entries_max,ghost_volume_total,load_imbalance
1D,1,0,0.0,0,0,0.0
1D,2,202562,202562.0,202562,405124,1.0
1D,4,295524,295524.0,295524,1182096,1.0
1D,8,321469,321469.0,321469,2571752,1.0
1D,16,282439,282439.0,282439,4519024,1.0
1D,32,204959,204959.0,204959,6558688,1.0
1D,64,126168,126168.0,126168,8074752,1.0
1D,128,69694,69694.0,69694,8920832,1.0
2D,2,103966,103966.0,103966,207932,1.0
2D,4,155949,155949.0,155949,623796,1.0
2D,8,90970,90970.0,90970,727760,1.0
2D,16,97468,97468.0,97468,1559488,1.0
2D,32,50358,50358.0,50358,1611456,1.0
2D,64,51170,51170.0,51170,3274880,1.0
2D,128,25788,25788.0,25788,3300864,1.0
2D_cyclic,2,0,0.0,0,0,0.0
2D_cyclic,4,103966,103966.0,103966,415864,1.0
2D_cyclic,8,51983,51983.0,51983,415864,1.0
2D_cyclic,16,77974,77974.0,77974,1247584,1.0
2D_cyclic,32,38987,38987.0,38987,1247584,1.0
2D_cyclic,64,45485,45485.0,45485,2911040,1.0
2D_cyclic,128,22743,22743.0,22743,2911104,1.0
