distribution,num_procs,ghost_entries_min,ghost_entries_mean,ghost_entries_max,ghost_volume_total,load_imbalance
1D,1,0,0.0,0,0,0.0
1D,2,363244,363244.0,363244,726488,1.0
1D,4,363253,363253.0,363253,1453012,1.0
1D,8,230881,230881.0,230881,1847048,1.0
1D,16,126558,126558.0,126558,2024928,1.0
1D,32,65697,65697.0,65697,2102304,1.0
1D,64,33413,33413.0,33413,2138432,1.0
1D,128,16797,16797.0,16797,2150016,1.0
2D,2,181678,181678.0,181678,363356,1.0
2D,4,272517,272517.0,272517,1090068,1.0
2D,8,158969,158969.0,158969,1271752,1.0
2D,16,170324,170324.0,170324,2725184,1.0
2D,32,88001,88001.0,88001,2816032,1.0
2D,64,89420,89420.0,89420,5722880,1.0
2D,128,45065,45065.0,45065,5768320,1.0
2D_cyclic,2,0,0.0,0,0,0.0
2D_cyclic,4,181678,181678.0,181678,726712,1.0
2D_cyclic,8,90839,90839.0,90839,726712,1.0
2D_cyclic,16,136259,136259.0,136259,2180144,1.0
2D_cyclic,32,68130,68130.0,68130,2180160,1.0
2D_cyclic,64,79485,79485.0,79485,5087040,1.0
2D_cyclic,128,39742,39742.0,39742,5086976,1.0
