distribution,num_procs,ghost_entries_min,ghost_entries_mean,ghost_entries_max,load_imbalance
1D,1,0,0.0,0,0.0
1D,2,10000,10000.0,10000,1.0
1D,4,30000,30000.0,30000,1.0
1D,8,69858,69858.0,69858,1.0
1D,16,143445,143445.0,143445,1.0
1D,32,245121,245121.0,245121,1.0
1D,64,341628,341628.0,341628,1.0
1D,128,410664,410664.0,410664,1.0
2D,2,5000,5000.0,5000,1.0
2D,4,15000,15000.0,15000,1.0
2D,8,17500,17500.0,17500,1.0
2D,16,37500,37500.0,37500,1.0
2D,32,38750,38750.0,38750,1.0
2D,64,78591,78591.0,78591,1.0
2D,128,79224,79224.0,79224,1.0
2D_cyclic,2,5000,5000.0,5000,1.0
2D_cyclic,4,15000,15000.0,15000,1.0
2D_cyclic,8,17500,17500.0,17500,1.0
2D_cyclic,16,37500,37500.0,37500,1.0
2D_cyclic,32,38750,38750.0,38750,1.0
2D_cyclic,64,78604,78604.0,78604,1.0
2D_cyclic,128,79211,79211.0,79211,1.0
