distribution,num_procs,ghost_entries_min,ghost_entries_mean,ghost_entries_max,ghost_volume_total,load_imbalance
1D,1,0,0.0,0,0,0.0
1D,2,19949,19949.0,19949,39898,1.0
1D,4,25678,25678.0,25678,102712,1.0
1D,8,21809,21809.0,21809,174472,1.0
1D,16,14972,14972.0,14972,239552,1.0
1D,32,8980,8980.0,8980,287360,1.0
1D,64,4870,4870.0,4870,311680,1.0
1D,128,2599,2599.0,2599,332672,1.0
2D,2,0,0.0,0,0,0.0
2D,4,0,0.0,0,0,0.0
2D,8,0,0.0,0,0,0.0
2D,16,0,0.0,0,0,0.0
2D,32,0,0.0,0,0,0.0
2D,64,0,0.0,0,0,0.0
2D,128,0,0.0,0,0,0.0
2D_cyclic,2,15000,15000.0,15000,30000,1.0
2D_cyclic,4,15000,15000.0,15000,60000,1.0
2D_cyclic,8,11250,11250.0,11250,90000,1.0
2D_cyclic,16,11250,11250.0,11250,180000,1.0
2D_cyclic,32,6562,6562.0,6562,209984,1.0
2D_cyclic,64,6562,6562.0,6562,419968,1.0
2D_cyclic,128,3515,3515.0,3515,449920,1.0
