num_procs,distribution,rank,matrix,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,comp_time
1,1D,0,1138_bus,0.0002885786,0.00015534419999999998,2596.0,0.0,5192.0,0.0001332344
1,1D,0,cond-mat-2005,0.0006849358,0.0002030444,175693.0,0.0,351386.0,0.00048189139999999994
1,1D,0,dixmaanl,0.0006328948,0.0001976327,179999.0,0.0,359998.0,0.0004352621
1,1D,0,flowmeter0,0.0004886706000000001,0.00022544919999999998,38530.0,0.0,77060.0,0.0002632214000000001
2,1D,0,1138_bus,0.00029652389999999996,0.00015617509999999997,1333.0,300.0,2666.0,0.0001403488
2,1D,0,cond-mat-2005,0.0010608006,0.00028998329999999994,88263.0,12310.0,176526.0,0.0007708173
2,1D,0,dixmaanl,0.0003958972,0.00019909479999999998,89999.0,29999.0,179998.0,0.00019680240000000002
2,1D,0,flowmeter0,0.0003364317,0.000137894,19271.0,4358.0,38542.0,0.0001985377
2,1D,1,1138_bus,0.00023912959999999997,0.00015956399999999995,1263.0,278.0,2526.0,7.956560000000002e-05
2,1D,1,cond-mat-2005,0.0009887666,0.0002901766,87430.0,12330.0,174860.0,0.00069859
2,1D,1,dixmaanl,0.0004361829,0.0001991729,90000.0,30000.0,180000.0,0.00023701
2,1D,1,flowmeter0,0.0003228903,0.0001368548,19259.0,4356.0,38518.0,0.00018603549999999998
2,2D,0,1138_bus,0.0002815526,0.0001549984,1429.0,284.0,2858.0,0.0001265542
2,2D,0,cond-mat-2005,0.0012879299,0.00018816869999999997,151319.0,8131.0,302638.0,0.0010997612
2,2D,0,dixmaanl,0.0004319794,0.00017872129999999998,110000.0,15000.0,220000.0,0.00025325810000000005
2,2D,0,flowmeter0,0.0006457744999999997,0.00024303539999999998,19324.0,2417.0,38648.0,0.00040273909999999976
2,2D,1,1138_bus,0.000338471,0.000154992,1167.0,284.0,2334.0,0.000183479
2,2D,1,cond-mat-2005,0.000502666,0.0001882801,24374.0,4859.0,48748.0,0.0003143859
2,2D,1,dixmaanl,0.00043206209999999996,0.00018078889999999996,69999.0,15000.0,139998.0,0.0002512732
2,2D,1,flowmeter0,0.0005460193,0.0002467561,19206.0,2417.0,38412.0,0.00029926320000000004
2,2D_cyclic,0,1138_bus,0.00019609739999999998,9.723139999999998e-05,1297.0,0.0,2594.0,9.8866e-05
2,2D_cyclic,0,cond-mat-2005,0.0006684353,0.000155086,88229.0,0.0,176458.0,0.0005133493
2,2D_cyclic,0,dixmaanl,0.0004367748,0.00022262319999999999,90000.0,0.0,180000.0,0.00021415160000000003
2,2D_cyclic,0,flowmeter0,0.000281324,0.00016561309999999998,19283.0,0.0,38566.0,0.00011571090000000002
2,2D_cyclic,1,1138_bus,0.00021467809999999997,9.686839999999998e-05,1299.0,0.0,2598.0,0.00011780969999999999
2,2D_cyclic,1,cond-mat-2005,0.0005836163999999999,0.00015674719999999998,87464.0,0.0,174928.0,0.00042686919999999993
2,2D_cyclic,1,dixmaanl,0.00043793609999999997,0.00022434189999999998,89999.0,0.0,179998.0,0.0002135942
2,2D_cyclic,1,flowmeter0,0.0002740095,0.00016410269999999998,19247.0,0.0,38494.0,0.0001099068
4,1D,0,1138_bus,0.048006959,0.0320045442,665.0,247.0,1330.0,0.016002414800000003
4,1D,0,cond-mat-2005,0.0487072353,0.0324675391,44345.0,13288.0,88690.0,0.0162396962
4,1D,0,dixmaanl,0.0484956571,0.0324720301,44999.0,14999.0,89998.0,0.016023627
4,1D,0,flowmeter0,0.048864882699999994,0.0328364746,9635.0,4313.0,19270.0,0.016028408099999995
4,1D,1,1138_bus,0.0480063424,0.0320411968,654.0,250.0,1308.0,0.0159651456
4,1D,1,cond-mat-2005,0.0482520236,0.0320383579,44044.0,13219.0,88088.0,0.016213665699999998
4,1D,1,dixmaanl,0.0480770166,0.032038896399999996,45000.0,15000.0,90000.0,0.016038120200000006
4,1D,1,flowmeter0,0.048039942200000005,0.0320136057,9619.0,4307.0,19238.0,0.016026336500000002
4,1D,2,1138_bus,0.048006892100000004,0.0320188682,668.0,260.0,1336.0,0.015988023900000002
4,1D,2,cond-mat-2005,0.0482779362,0.0320794877,43918.0,13177.0,87836.0,0.016198448500000004
4,1D,2,dixmaanl,0.0480925621,0.0320176911,45000.0,15000.0,90000.0,0.016074870999999998
4,1D,2,flowmeter0,0.0480368119,0.032027866399999994,9636.0,4329.0,19272.0,0.016008945500000003
4,1D,3,1138_bus,0.0480168632,0.0320048337,609.0,226.0,1218.0,0.016012029500000004
4,1D,3,cond-mat-2005,0.0482345364,0.0320571937,43386.0,13374.0,86772.0,0.0161773427
4,1D,3,dixmaanl,0.048109221699999996,0.0320599136,45000.0,15000.0,90000.0,0.016049308099999993
4,1D,3,flowmeter0,0.04962548499999999,0.032029110799999996,9640.0,4295.0,19280.0,0.017596374199999994
4,2D,0,1138_bus,0.0523864607,0.033603719899999995,1289.0,426.0,2578.0,0.018782740800000003
4,2D,0,cond-mat-2005,0.0644442584,0.0479922054,100606.0,11098.0,201212.0,0.016452052999999994
4,2D,0,dixmaanl,0.0480924005,0.0320481876,69999.0,22500.0,139998.0,0.0160442129
4,2D,0,flowmeter0,0.049686334,0.03388449019999999,19203.0,3626.0,38406.0,0.015801843800000007
4,2D,1,1138_bus,0.0480051031,0.0320082138,0.0,0.0,0.0,0.015996889300000004
4,2D,1,cond-mat-2005,0.0640079113,0.0480031431,0.0,0.0,0.0,0.0160047682
4,2D,1,dixmaanl,0.0480157611,0.032004648000000004,0.0,0.0,0.0,0.016011113099999995
4,2D,1,flowmeter0,0.049606577199999995,0.0336152732,0.0,0.0,0.0,0.015991303999999998
4,2D,2,1138_bus,0.049217800199999995,0.033623490699999994,140.0,58.0,280.0,0.0155943095
4,2D,2,cond-mat-2005,0.0643113695,0.048006565699999997,50713.0,7879.0,101426.0,0.01630480380000001
4,2D,2,dixmaanl,0.048071917000000006,0.0320251702,40001.0,22500.0,80002.0,0.016046746800000004
4,2D,2,flowmeter0,0.05319826019999999,0.0371976443,121.0,47.0,242.0,0.016000615899999994
4,2D,3,1138_bus,0.0480113104,0.032005437,1167.0,427.0,2334.0,0.016005873400000002
4,2D,3,cond-mat-2005,0.0521912045,0.0360137708,24374.0,7280.0,48748.0,0.0161774337
4,2D,3,dixmaanl,0.0481243093,0.0320033385,69999.0,22500.0,139998.0,0.016120970800000002
4,2D,3,flowmeter0,0.0481338227,0.0320743561,19206.0,3625.0,38412.0,0.016059466600000002
4,2D_cyclic,0,1138_bus,0.0480061005,0.0320070264,885.0,284.0,1770.0,0.015999074100000003
4,2D_cyclic,0,cond-mat-2005,0.0491111155,0.0320195961,41269.0,4728.0,82538.0,0.017091519399999998
4,2D_cyclic,0,dixmaanl,0.048101493599999996,0.0320271828,60000.0,15000.0,120000.0,0.016074310799999998
4,2D_cyclic,0,flowmeter0,0.0480845334,0.0320163253,12073.0,2417.0,24146.0,0.016068208099999995
4,2D_cyclic,1,1138_bus,0.0480111013,0.0320101494,448.0,149.0,896.0,0.016000951899999998
4,2D_cyclic,1,cond-mat-2005,0.0489332449,0.0320280016,46994.0,6167.0,93988.0,0.016905243299999997
4,2D_cyclic,1,dixmaanl,0.053248363699999995,0.037200797199999996,29999.0,14999.0,59998.0,0.0160475665
4,2D_cyclic,1,flowmeter0,0.0480635807,0.0320170381,7198.0,2194.0,14396.0,0.016046542599999998
4,2D_cyclic,2,1138_bus,0.04960730989999999,0.0320130405,412.0,138.0,824.0,0.017594269399999994
4,2D_cyclic,2,cond-mat-2005,0.053607911099999996,0.0320166442,46960.0,6135.0,93920.0,0.021591266899999996
4,2D_cyclic,2,dixmaanl,0.0480598873,0.032010101,30000.0,15000.0,60000.0,0.0160497863
4,2D_cyclic,2,flowmeter0,0.0480728833,0.0320137838,7210.0,2189.0,14420.0,0.0160590995
4,2D_cyclic,3,1138_bus,0.0480132136,0.0320106113,851.0,285.0,1702.0,0.0160026023
4,2D_cyclic,3,cond-mat-2005,0.048411262499999996,0.0320347362,40470.0,4724.0,80940.0,0.0163765263
4,2D_cyclic,3,dixmaanl,0.050247049599999996,0.03365271689999999,60000.0,15000.0,120000.0,0.016594332700000006
4,2D_cyclic,3,flowmeter0,0.0481223589,0.0320326582,12049.0,2417.0,24098.0,0.0160897007
8,1D,0,1138_bus,0.1066329582,0.0710361485,322.0,139.0,644.0,0.03559680970000001
8,1D,0,cond-mat-2005,0.128495992,0.096430784,21865.0,10276.0,43730.0,0.032065208
8,1D,0,dixmaanl,0.09916897849999999,0.0890238152,22499.0,7499.0,44998.0,0.010145163299999996
8,1D,0,flowmeter0,0.12799646309999999,0.06721567179999999,4812.0,2734.0,9624.0,0.0607807913
8,1D,1,1138_bus,0.1339980189,0.09840452799999999,325.0,152.0,650.0,0.0355934909
8,1D,1,cond-mat-2005,0.13166229649999997,0.09920282409999998,21820.0,10124.0,43640.0,0.032459472399999995
8,1D,1,dixmaanl,0.1205000502,0.09239558719999999,22500.0,7500.0,45000.0,0.02810446300000001
8,1D,1,flowmeter0,0.1280160736,0.0960014238,4810.0,2675.0,9620.0,0.0320146498
8,1D,2,1138_bus,0.12841281810000002,0.0964216054,338.0,162.0,676.0,0.03199121270000002
8,1D,2,cond-mat-2005,0.1281212255,0.0960103487,21869.0,10056.0,43738.0,0.03211087679999999
8,1D,2,dixmaanl,0.1016259438,0.0660259445,22500.0,7500.0,45000.0,0.03559999929999999
8,1D,2,flowmeter0,0.1280119244,0.0960038311,4813.0,2714.0,9626.0,0.0320080933
8,1D,3,1138_bus,0.127999943,0.0960067054,317.0,142.0,634.0,0.0319932376
8,1D,3,cond-mat-2005,0.16302752269999998,0.1309586327,21843.0,10122.0,43686.0,0.03206888999999999
8,1D,3,dixmaanl,0.10137556299999999,0.0644212181,22500.0,7500.0,45000.0,0.03695434489999999
8,1D,3,flowmeter0,0.1288056557,0.0968015685,4823.0,2700.0,9646.0,0.03200408719999999
8,1D,4,1138_bus,0.12799852,0.0960094394,343.0,161.0,686.0,0.03198908060000001
8,1D,4,cond-mat-2005,0.1524649127,0.1244147629,22480.0,10015.0,44960.0,0.028050149800000007
8,1D,4,dixmaanl,0.1320275378,0.1000244294,22500.0,7500.0,45000.0,0.03200310840000001
8,1D,4,flowmeter0,0.098811128,0.06681308909999999,4823.0,2685.0,9646.0,0.03199803890000001
8,1D,5,1138_bus,0.1279993083,0.0960114464,329.0,159.0,658.0,0.0319878619
8,1D,5,cond-mat-2005,0.13768608229999998,0.09841174639999999,22224.0,10073.0,44448.0,0.0392743359
8,1D,5,dixmaanl,0.09844736709999999,0.0664210909,22500.0,7500.0,45000.0,0.032026276199999995
8,1D,5,flowmeter0,0.1293291074,0.0965092533,4809.0,2680.0,9618.0,0.032819854100000004
8,1D,6,1138_bus,0.1279991711,0.0960017241,330.0,160.0,660.0,0.031997447
8,1D,6,cond-mat-2005,0.12928377919999998,0.0972156575,22049.0,10117.0,44098.0,0.03206812169999998
8,1D,6,dixmaanl,0.09882948889999998,0.06681468589999999,22500.0,7500.0,45000.0,0.032014802999999994
8,1D,6,flowmeter0,0.1280098383,0.09601131730000001,4823.0,2698.0,9646.0,0.031998521
8,1D,7,1138_bus,0.0982642367,0.06627326799999998,292.0,131.0,584.0,0.03199096870000001
8,1D,7,cond-mat-2005,0.1304761043,0.09842246799999999,21543.0,10236.0,43086.0,0.03205363630000002
8,1D,7,dixmaanl,0.11651593789999999,0.08880309049999999,22500.0,7500.0,45000.0,0.027712847400000004
8,1D,7,flowmeter0,0.1312271175,0.09921257759999999,4817.0,2683.0,9634.0,0.0320145399
8,2D,0,1138_bus,0.13120168969999998,0.09920913949999999,723.0,249.0,1446.0,0.0319925502
8,2D,0,cond-mat-2005,0.1283142449,0.0960243407,80516.0,7616.0,161032.0,0.03228990420000001
8,2D,0,dixmaanl,0.1281571064,0.0960217811,40000.0,13125.0,80000.0,0.0321353253
8,2D,0,flowmeter0,0.128045568,0.0960069281,9666.0,2115.0,19332.0,0.0320386399
8,2D,1,1138_bus,0.1280008021,0.09599828640000001,566.0,249.0,1132.0,0.0320025157
8,2D,1,cond-mat-2005,0.1281119007,0.06722510579999999,20090.0,5359.0,40180.0,0.06088679490000001
8,2D,1,dixmaanl,0.0960532876,0.0640218148,29999.0,13125.0,59998.0,0.0320314728
8,2D,1,flowmeter0,0.13122002759999998,0.09919854499999999,9537.0,2115.0,19074.0,0.0320214826
8,2D,2,1138_bus,0.0963046349,0.0640365889,0.0,0.0,0.0,0.03226804600000001
8,2D,2,cond-mat-2005,0.12802105449999998,0.0959965235,0.0,0.0,0.0,0.03202453099999998
8,2D,2,dixmaanl,0.09921134159999999,0.0640136222,0.0,0.0,0.0,0.035197719399999994
8,2D,2,flowmeter0,0.10279433739999999,0.07077219579999999,0.0,0.0,0.0,0.0320221416
8,2D,3,1138_bus,0.1279978748,0.06403318150000001,0.0,0.0,0.0,0.06396469329999999
8,2D,3,cond-mat-2005,0.1311917231,0.09918835809999998,0.0,0.0,0.0,0.032003365000000006
8,2D,3,dixmaanl,0.1280001808,0.09600012999999999,0.0,0.0,0.0,0.03200005080000001
8,2D,3,flowmeter0,0.09921310839999999,0.07079866139999999,0.0,0.0,0.0,0.028414446999999995
