rank,num_procs,distribution,run,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,matrix
0,1,1D,0,0.000014782,0.000000238,2596,0,5192,1138_bus
0,1,1D,1,0.000013113,0.000000238,2596,0,5192,1138_bus
0,1,1D,2,0.000012398,0.000000238,2596,0,5192,1138_bus
0,1,1D,3,0.000011921,0.000000238,2596,0,5192,1138_bus
0,1,1D,4,0.000011921,0.000000238,2596,0,5192,1138_bus
0,1,1D,5,0.000011683,0.000000238,2596,0,5192,1138_bus
0,1,1D,6,0.000011683,0.000000238,2596,0,5192,1138_bus
0,1,1D,7,0.000011444,0.000000238,2596,0,5192,1138_bus
0,1,1D,8,0.000011444,0.000000238,2596,0,5192,1138_bus
0,1,1D,9,0.000011206,0.000000238,2596,0,5192,1138_bus
0,2,1D,0,0.000043392,0.000030041,1333,300,2666,1138_bus
0,2,1D,1,0.000040293,0.000030041,1333,300,2666,1138_bus
0,2,1D,2,0.000072241,0.000064373,1333,300,2666,1138_bus
0,2,1D,3,0.000037432,0.000030994,1333,300,2666,1138_bus
0,2,1D,4,0.000066996,0.000061035,1333,300,2666,1138_bus
0,2,1D,5,0.000036240,0.000030518,1333,300,2666,1138_bus
0,2,1D,6,0.000070095,0.000064373,1333,300,2666,1138_bus
0,2,1D,7,0.000036478,0.000031233,1333,300,2666,1138_bus
0,2,1D,8,0.000068188,0.000062704,1333,300,2666,1138_bus
0,2,1D,9,0.000036001,0.000030041,1333,300,2666,1138_bus
0,4,1D,0,0.000044823,0.000038385,665,247,1330,1138_bus
0,4,1D,1,0.000043154,0.000038862,665,247,1330,1138_bus
0,4,1D,2,0.000041723,0.000038385,665,247,1330,1138_bus
0,4,1D,3,0.000047684,0.000044584,665,247,1330,1138_bus
0,4,1D,4,0.000045776,0.000042915,665,247,1330,1138_bus
0,4,1D,5,0.000040531,0.000037670,665,247,1330,1138_bus
0,4,1D,6,0.000047684,0.000044584,665,247,1330,1138_bus
0,4,1D,7,0.000042915,0.000040054,665,247,1330,1138_bus
0,4,1D,8,0.000041962,0.000039339,665,247,1330,1138_bus
0,4,1D,9,0.000039339,0.000036716,665,247,1330,1138_bus
0,8,1D,0,0.000066519,0.000063181,322,139,644,1138_bus
0,8,1D,1,0.000066042,0.000063896,322,139,644,1138_bus
0,8,1D,2,0.000055790,0.000054359,322,139,644,1138_bus
0,8,1D,3,0.000052691,0.000051260,322,139,644,1138_bus
0,8,1D,4,0.000057220,0.000055790,322,139,644,1138_bus
0,8,1D,5,0.000061989,0.000060320,322,139,644,1138_bus
0,8,1D,6,0.000060558,0.000059128,322,139,644,1138_bus
0,8,1D,7,0.000069141,0.000067949,322,139,644,1138_bus
0,8,1D,8,0.000080347,0.000078678,322,139,644,1138_bus
0,8,1D,9,0.000148058,0.000146627,322,139,644,1138_bus
0,16,1D,0,0.000084877,0.000083208,163,80,326,1138_bus
0,16,1D,1,0.000085592,0.000084639,163,80,326,1138_bus
0,16,1D,2,0.000085592,0.000084877,163,80,326,1138_bus
0,16,1D,3,0.000089407,0.000088453,163,80,326,1138_bus
0,16,1D,4,0.000088215,0.000087500,163,80,326,1138_bus
0,16,1D,5,0.000090837,0.000090122,163,80,326,1138_bus
0,16,1D,6,0.000086069,0.000085354,163,80,326,1138_bus
0,16,1D,7,0.000082731,0.000082016,163,80,326,1138_bus
0,16,1D,8,0.000085115,0.000084400,163,80,326,1138_bus
0,16,1D,9,0.000092745,0.000092030,163,80,326,1138_bus
0,32,1D,0,0.000155210,0.000154018,86,46,172,1138_bus
0,32,1D,1,0.000171661,0.000170708,86,46,172,1138_bus
0,32,1D,2,0.000146627,0.000145912,86,46,172,1138_bus
0,32,1D,3,0.000288963,0.000288486,86,46,172,1138_bus
0,32,1D,4,0.000178814,0.000178337,86,46,172,1138_bus
0,32,1D,5,0.000150442,0.000149727,86,46,172,1138_bus
0,32,1D,6,0.000138998,0.000138521,86,46,172,1138_bus
0,32,1D,7,0.000181675,0.000180960,86,46,172,1138_bus
0,32,1D,8,0.000145197,0.000144482,86,46,172,1138_bus
0,32,1D,9,0.000152588,0.000152111,86,46,172,1138_bus
0,64,1D,0,0.000272989,0.000272274,43,24,86,1138_bus
0,64,1D,1,0.000183105,0.000182629,43,24,86,1138_bus
0,64,1D,2,0.000191689,0.000191450,43,24,86,1138_bus
0,64,1D,3,0.000171900,0.000171661,43,24,86,1138_bus
0,64,1D,4,0.000187635,0.000187397,43,24,86,1138_bus
0,64,1D,5,0.000165939,0.000165701,43,24,86,1138_bus
0,64,1D,6,0.000183105,0.000182867,43,24,86,1138_bus
0,64,1D,7,0.000201464,0.000201225,43,24,86,1138_bus
0,64,1D,8,0.000183344,0.000183105,43,24,86,1138_bus
0,64,1D,9,0.000167370,0.000167131,43,24,86,1138_bus
0,128,1D,0,0.013330936,0.013330221,25,16,50,1138_bus
0,128,1D,1,0.013283014,0.013282299,25,16,50,1138_bus
0,128,1D,2,0.013285398,0.013284922,25,16,50,1138_bus
0,128,1D,3,0.013224125,0.013223648,25,16,50,1138_bus
0,128,1D,4,0.013212919,0.013212681,25,16,50,1138_bus
0,128,1D,5,0.013289213,0.013288975,25,16,50,1138_bus
0,128,1D,6,0.013279438,0.013278961,25,16,50,1138_bus
0,128,1D,7,0.013226032,0.013226032,25,16,50,1138_bus
0,128,1D,8,0.013221502,0.013221025,25,16,50,1138_bus
0,128,1D,9,0.013247013,0.013246536,25,16,50,1138_bus
0,1,1D,0,0.000882387,0.000000954,175693,0,351386,cond-mat-2005
0,1,1D,1,0.000873327,0.000000715,175693,0,351386,cond-mat-2005
0,1,1D,2,0.000879765,0.000000715,175693,0,351386,cond-mat-2005
0,1,1D,3,0.000876665,0.000000715,175693,0,351386,cond-mat-2005
0,1,1D,4,0.000879049,0.000000715,175693,0,351386,cond-mat-2005
0,1,1D,5,0.000876188,0.000000715,175693,0,351386,cond-mat-2005
0,1,1D,6,0.000874996,0.000000477,175693,0,351386,cond-mat-2005
0,1,1D,7,0.000877142,0.000000477,175693,0,351386,cond-mat-2005
0,1,1D,8,0.000876427,0.000000477,175693,0,351386,cond-mat-2005
0,1,1D,9,0.000875235,0.000000477,175693,0,351386,cond-mat-2005
0,2,1D,0,0.001262665,0.000155926,88263,12310,176526,cond-mat-2005
0,2,1D,1,0.001273870,0.000162363,88263,12310,176526,cond-mat-2005
0,2,1D,2,0.001263142,0.000157833,88263,12310,176526,cond-mat-2005
0,2,1D,3,0.001269817,0.000156641,88263,12310,176526,cond-mat-2005
0,2,1D,4,0.001272440,0.000159025,88263,12310,176526,cond-mat-2005
0,2,1D,5,0.001267672,0.000157595,88263,12310,176526,cond-mat-2005
0,2,1D,6,0.001268864,0.000156641,88263,12310,176526,cond-mat-2005
0,2,1D,7,0.001263857,0.000155449,88263,12310,176526,cond-mat-2005
0,2,1D,8,0.001273870,0.000155926,88263,12310,176526,cond-mat-2005
0,2,1D,9,0.001269817,0.000157595,88263,12310,176526,cond-mat-2005
0,4,1D,0,0.000668764,0.000241041,44345,13288,88690,cond-mat-2005
0,4,1D,1,0.000630617,0.000212193,44345,13288,88690,cond-mat-2005
0,4,1D,2,0.000634909,0.000216484,44345,13288,88690,cond-mat-2005
0,4,1D,3,0.000633955,0.000209808,44345,13288,88690,cond-mat-2005
0,4,1D,4,0.000638485,0.000220776,44345,13288,88690,cond-mat-2005
0,4,1D,5,0.000627279,0.000209093,44345,13288,88690,cond-mat-2005
0,4,1D,6,0.000627279,0.000202894,44345,13288,88690,cond-mat-2005
0,4,1D,7,0.000623465,0.000204802,44345,13288,88690,cond-mat-2005
0,4,1D,8,0.000627041,0.000204563,44345,13288,88690,cond-mat-2005
0,4,1D,9,0.000632524,0.000209808,44345,13288,88690,cond-mat-2005
0,8,1D,0,0.000385761,0.000216246,21865,10276,43730,cond-mat-2005
0,8,1D,1,0.000386953,0.000222445,21865,10276,43730,cond-mat-2005
0,8,1D,2,0.000382423,0.000220299,21865,10276,43730,cond-mat-2005
0,8,1D,3,0.000378609,0.000216007,21865,10276,43730,cond-mat-2005
0,8,1D,4,0.000389814,0.000227690,21865,10276,43730,cond-mat-2005
0,8,1D,5,0.000391960,0.000222206,21865,10276,43730,cond-mat-2005
0,8,1D,6,0.000377417,0.000215054,21865,10276,43730,cond-mat-2005
0,8,1D,7,0.000380278,0.000217438,21865,10276,43730,cond-mat-2005
0,8,1D,8,0.000387669,0.000225306,21865,10276,43730,cond-mat-2005
0,8,1D,9,0.000380039,0.000217438,21865,10276,43730,cond-mat-2005
0,16,1D,0,0.000350952,0.000278711,11007,6865,22014,cond-mat-2005
0,16,1D,1,0.000287771,0.000216484,11007,6865,22014,cond-mat-2005
0,16,1D,2,0.000335455,0.000264883,11007,6865,22014,cond-mat-2005
0,16,1D,3,0.000339270,0.000268459,11007,6865,22014,cond-mat-2005
0,16,1D,4,0.000329494,0.000258446,11007,6865,22014,cond-mat-2005
0,16,1D,5,0.000339508,0.000269175,11007,6865,22014,cond-mat-2005
0,16,1D,6,0.000323057,0.000252485,11007,6865,22014,cond-mat-2005
0,16,1D,7,0.000341415,0.000270844,11007,6865,22014,cond-mat-2005
0,16,1D,8,0.000354767,0.000284433,11007,6865,22014,cond-mat-2005
0,16,1D,9,0.000339985,0.000269890,11007,6865,22014,cond-mat-2005
0,32,1D,0,0.000315428,0.000280857,5498,4199,10996,cond-mat-2005
0,32,1D,1,0.000319719,0.000286818,5498,4199,10996,cond-mat-2005
0,32,1D,2,0.000289440,0.000257015,5498,4199,10996,cond-mat-2005
0,32,1D,3,0.000346184,0.000313997,5498,4199,10996,cond-mat-2005
