rank,num_procs,distribution,run,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,matrix
0,1,1D,0,0.000903830,0.000461638,2596,0,5192,1138_bus
0,1,1D,1,0.000615523,0.000384583,2596,0,5192,1138_bus
0,1,1D,2,0.000804814,0.000392264,2596,0,5192,1138_bus
0,1,1D,3,0.000626501,0.000309446,2596,0,5192,1138_bus
0,1,1D,4,0.000654595,0.000324494,2596,0,5192,1138_bus
0,1,1D,5,0.000647014,0.000302014,2596,0,5192,1138_bus
0,1,1D,6,0.000747062,0.000389084,2596,0,5192,1138_bus
0,1,1D,7,0.000597039,0.000289325,2596,0,5192,1138_bus
0,1,1D,8,0.000726003,0.000320872,2596,0,5192,1138_bus
0,1,1D,9,0.000567403,0.000225214,2596,0,5192,1138_bus
0,2,1D,0,0.000358639,0.000197519,1333,300,2666,1138_bus
0,2,1D,1,0.000315146,0.000147931,1333,300,2666,1138_bus
0,2,1D,2,0.000324211,0.000178277,1333,300,2666,1138_bus
0,2,1D,3,0.000337065,0.000192632,1333,300,2666,1138_bus
0,2,1D,4,0.000348417,0.000189428,1333,300,2666,1138_bus
0,2,1D,5,0.000337923,0.000189220,1333,300,2666,1138_bus
0,2,1D,6,0.000383939,0.000227752,1333,300,2666,1138_bus
0,2,1D,7,0.000376881,0.000205510,1333,300,2666,1138_bus
0,2,1D,8,0.000361626,0.000187771,1333,300,2666,1138_bus
0,2,1D,9,0.000376787,0.000177413,1333,300,2666,1138_bus
0,4,1D,0,0.075539784,0.043365849,665,247,1330,1138_bus
0,4,1D,1,0.063979710,0.047982134,665,247,1330,1138_bus
0,4,1D,2,0.067037593,0.047970206,665,247,1330,1138_bus
0,4,1D,3,0.080003319,0.057787395,665,247,1330,1138_bus
0,4,1D,4,0.100216492,0.068213792,665,247,1330,1138_bus
0,4,1D,5,0.079985458,0.047987256,665,247,1330,1138_bus
0,4,1D,6,0.079994591,0.031996936,665,247,1330,1138_bus
0,4,1D,7,0.047989627,0.031991924,665,247,1330,1138_bus
0,4,1D,8,0.055998084,0.041114252,665,247,1330,1138_bus
0,4,1D,9,0.060119002,0.047863112,665,247,1330,1138_bus
0,8,1D,0,0.127976752,0.095983574,322,139,644,1138_bus
0,8,1D,1,0.155542757,0.123545700,322,139,644,1138_bus
0,8,1D,2,0.096000050,0.064008094,322,139,644,1138_bus
0,8,1D,3,0.095989907,0.063992367,322,139,644,1138_bus
0,8,1D,4,0.095979392,0.063985500,322,139,644,1138_bus
0,8,1D,5,0.096004207,0.064005919,322,139,644,1138_bus
