rank,num_procs,distribution,run,elapsed_time,comm_time,local_nz,ghost_entries,local_flops
0,1,1D,0,0.000600734,0.000001041,500000,0,1000000
0,1,1D,1,0.000607835,0.000000094,500000,0,1000000
0,1,1D,2,0.000592517,0.000000246,500000,0,1000000
0,1,1D,3,0.000591729,0.000000093,500000,0,1000000
0,1,1D,4,0.000596305,0.000000093,500000,0,1000000
0,1,1D,5,0.000616588,0.000000222,500000,0,1000000
0,1,1D,6,0.000660896,0.000000317,500000,0,1000000
0,1,1D,7,0.000600704,0.000000396,500000,0,1000000
0,1,1D,8,0.000608149,0.000000254,500000,0,1000000
0,1,1D,9,0.000623321,0.000000304,500000,0,1000000
0,2,1D,0,0.003111322,0.000022265,500000,10000,1000000
0,2,1D,1,0.002965433,0.000015280,500000,10000,1000000
0,2,1D,2,0.002905654,0.000019584,500000,10000,1000000
0,2,1D,3,0.002893158,0.000013328,500000,10000,1000000
0,2,1D,4,0.002912034,0.000014846,500000,10000,1000000
0,2,1D,5,0.003113715,0.000012081,500000,10000,1000000
0,2,1D,6,0.003051344,0.000014647,500000,10000,1000000
0,2,1D,7,0.002903012,0.000021499,500000,10000,1000000
0,2,1D,8,0.002937260,0.000013067,500000,10000,1000000
0,2,1D,9,0.002867942,0.000011950,500000,10000,1000000
0,4,1D,0,0.002403695,0.000201069,500000,30000,1000000
0,4,1D,1,0.002482063,0.000056110,500000,30000,1000000
0,4,1D,2,0.002135984,0.000056262,500000,30000,1000000
0,4,1D,3,0.002242089,0.000039572,500000,30000,1000000
0,4,1D,4,0.002249818,0.000054595,500000,30000,1000000
0,4,1D,5,0.002208541,0.000045661,500000,30000,1000000
0,4,1D,6,0.002365531,0.000036640,500000,30000,1000000
0,4,1D,7,0.002182693,0.000043201,500000,30000,1000000
0,4,1D,8,0.002304840,0.000092679,500000,30000,1000000
0,4,1D,9,0.002191342,0.000083304,500000,30000,1000000
0,8,1D,0,0.002582046,0.001007015,500000,69858,1000000
0,8,1D,1,0.001840871,0.000271491,500000,69858,1000000
0,8,1D,2,0.001720674,0.000194117,500000,69858,1000000
0,8,1D,3,0.002011917,0.000194654,500000,69858,1000000
0,8,1D,4,0.002903952,0.000180591,500000,69858,1000000
0,8,1D,5,0.003006664,0.000294480,500000,69858,1000000
0,8,1D,6,0.002825446,0.000168904,500000,69858,1000000
0,8,1D,7,0.002876951,0.000164487,500000,69858,1000000
0,8,1D,8,0.002905489,0.000160682,500000,69858,1000000
0,8,1D,9,0.002918998,0.000197601,500000,69858,1000000
0,2,2D,0,0.000628685,0.000027892,499942,5000,999884
0,2,2D,1,0.000585792,0.000022994,499942,5000,999884
0,2,2D,2,0.000536637,0.000020948,499942,5000,999884
0,2,2D,3,0.000590660,0.000021064,499942,5000,999884
0,2,2D,4,0.000527363,0.000020364,499942,5000,999884
0,2,2D,5,0.000522219,0.000019741,499942,5000,999884
0,2,2D,6,0.000510864,0.000020415,499942,5000,999884
0,2,2D,7,0.000560921,0.000020450,499942,5000,999884
0,2,2D,8,0.000513097,0.000019751,499942,5000,999884
0,2,2D,9,0.000517204,0.000019456,499942,5000,999884
0,4,2D,0,0.000836884,0.000049895,499982,10000,999964
0,4,2D,1,0.000775845,0.000040435,499982,10000,999964
0,4,2D,2,0.000685240,0.000031738,499982,10000,999964
0,4,2D,3,0.000652828,0.000035488,499982,10000,999964
0,4,2D,4,0.000605201,0.000028866,499982,10000,999964
0,4,2D,5,0.000631716,0.000030346,499982,10000,999964
0,4,2D,6,0.000665166,0.000029704,499982,10000,999964
0,4,2D,7,0.000608881,0.000027781,499982,10000,999964
0,4,2D,8,0.000645991,0.000031292,499982,10000,999964
0,4,2D,9,0.000606672,0.000029460,499982,10000,999964
0,8,2D,0,0.001323129,0.000652397,499969,15000,999938
0,8,2D,1,0.001391778,0.000777222,499969,15000,999938
0,8,2D,2,0.001346345,0.000720683,499969,15000,999938
0,8,2D,3,0.001416965,0.000094104,499969,15000,999938
0,8,2D,4,0.001356483,0.000088473,499969,15000,999938
0,8,2D,5,0.001169628,0.000173821,499969,15000,999938
0,8,2D,6,0.001197182,0.000585447,499969,15000,999938
0,8,2D,7,0.001204063,0.000568241,499969,15000,999938
0,8,2D,8,0.001192194,0.000577922,499969,15000,999938
0,8,2D,9,0.001293680,0.000641328,499969,15000,999938
0,2,2D_cyclic,0,0.000638586,0.000029591,499959,5000,999918
0,2,2D_cyclic,1,0.000557496,0.000020563,499959,5000,999918
0,2,2D_cyclic,2,0.000524442,0.000029233,499959,5000,999918
0,2,2D_cyclic,3,0.000514022,0.000019911,499959,5000,999918
0,2,2D_cyclic,4,0.000511035,0.000020235,499959,5000,999918
0,2,2D_cyclic,5,0.000509401,0.000018918,499959,5000,999918
0,2,2D_cyclic,6,0.000520293,0.000021101,499959,5000,999918
0,2,2D_cyclic,7,0.000536235,0.000036252,499959,5000,999918
0,2,2D_cyclic,8,0.000562555,0.000021885,499959,5000,999918
0,2,2D_cyclic,9,0.000573117,0.000020940,499959,5000,999918
0,4,2D_cyclic,0,0.000776943,0.000043593,499973,10000,999946
0,4,2D_cyclic,1,0.000720556,0.000034194,499973,10000,999946
0,4,2D_cyclic,2,0.000639030,0.000030087,499973,10000,999946
0,4,2D_cyclic,3,0.000670295,0.000035888,499973,10000,999946
0,4,2D_cyclic,4,0.000683294,0.000037200,499973,10000,999946
0,4,2D_cyclic,5,0.000709186,0.000033189,499973,10000,999946
0,4,2D_cyclic,6,0.000665829,0.000030576,499973,10000,999946
0,4,2D_cyclic,7,0.000626347,0.000029413,499973,10000,999946
0,4,2D_cyclic,8,0.000653661,0.000030926,499973,10000,999946
0,4,2D_cyclic,9,0.000611686,0.000028875,499973,10000,999946
0,8,2D_cyclic,0,0.001068262,0.000439128,499971,15000,999942
0,8,2D_cyclic,1,0.001081610,0.000480349,499971,15000,999942
0,8,2D_cyclic,2,0.001091802,0.000477971,499971,15000,999942
0,8,2D_cyclic,3,0.001069405,0.000451062,499971,15000,999942
0,8,2D_cyclic,4,0.001388018,0.000781488,499971,15000,999942
0,8,2D_cyclic,5,0.001334262,0.000730610,499971,15000,999942
0,8,2D_cyclic,6,0.001408462,0.000793411,499971,15000,999942
0,8,2D_cyclic,7,0.001330763,0.000745754,499971,15000,999942
0,8,2D_cyclic,8,0.001429234,0.000804956,499971,15000,999942
0,8,2D_cyclic,9,0.001479740,0.000876238,499971,15000,999942
