rank,num_procs,distribution,run,elapsed_time,comm_time,local_nz,ghost_entries,local_flops
0,1,1D,0,0.001357555,0.000000715,500000,0,1000000
0,1,1D,1,0.001373291,0.000000715,500000,0,1000000
0,1,1D,2,0.001296043,0.000000715,500000,0,1000000
0,1,1D,3,0.001286268,0.000000715,500000,0,1000000
0,1,1D,4,0.001371622,0.000000715,500000,0,1000000
0,1,1D,5,0.001301289,0.000000715,500000,0,1000000
0,1,1D,6,0.001286030,0.000000477,500000,0,1000000
0,1,1D,7,0.001368046,0.000000715,500000,0,1000000
0,1,1D,8,0.001303434,0.000000715,500000,0,1000000
0,1,1D,9,0.001286745,0.000000715,500000,0,1000000
0,2,1D,0,0.005199909,0.000173569,500000,10000,1000000
0,2,1D,1,0.005187988,0.000129938,500000,10000,1000000
0,2,1D,2,0.005137444,0.000144482,500000,10000,1000000
0,2,1D,3,0.005173206,0.000151396,500000,10000,1000000
0,2,1D,4,0.005195618,0.000144005,500000,10000,1000000
0,2,1D,5,0.005209208,0.000151157,500000,10000,1000000
0,2,1D,6,0.005131721,0.000134945,500000,10000,1000000
0,2,1D,7,0.005229235,0.000145912,500000,10000,1000000
0,2,1D,8,0.005212069,0.000138283,500000,10000,1000000
0,2,1D,9,0.005224705,0.000166655,500000,10000,1000000
0,4,1D,0,0.004341125,0.000716209,500000,30000,1000000
0,4,1D,1,0.004006147,0.000412703,500000,30000,1000000
0,4,1D,2,0.003980637,0.000338554,500000,30000,1000000
0,4,1D,3,0.003974199,0.000353098,500000,30000,1000000
0,4,1D,4,0.003984213,0.000354767,500000,30000,1000000
0,4,1D,5,0.003949881,0.000335693,500000,30000,1000000
0,4,1D,6,0.003947973,0.000344515,500000,30000,1000000
0,4,1D,7,0.003934145,0.000332355,500000,30000,1000000
0,4,1D,8,0.003974438,0.000345945,500000,30000,1000000
0,4,1D,9,0.003949404,0.000344992,500000,30000,1000000
0,8,1D,0,0.004686117,0.001590014,500000,69858,1000000
0,8,1D,1,0.004376888,0.001332283,500000,69858,1000000
0,8,1D,2,0.004367113,0.001330376,500000,69858,1000000
0,8,1D,3,0.004363775,0.001327276,500000,69858,1000000
0,8,1D,4,0.004354715,0.001335382,500000,69858,1000000
0,8,1D,5,0.004346371,0.001323938,500000,69858,1000000
0,8,1D,6,0.004292011,0.001263380,500000,69858,1000000
0,8,1D,7,0.004270077,0.001242399,500000,69858,1000000
0,8,1D,8,0.004323483,0.001281500,500000,69858,1000000
0,8,1D,9,0.004344702,0.001305342,500000,69858,1000000
0,16,1D,0,0.008447886,0.004740715,500000,143445,1000000
0,16,1D,1,0.007909298,0.004312515,500000,143445,1000000
0,16,1D,2,0.007936478,0.004384279,500000,143445,1000000
0,16,1D,3,0.007866383,0.004331350,500000,143445,1000000
0,16,1D,4,0.007917643,0.004376411,500000,143445,1000000
0,16,1D,5,0.007808924,0.004270077,500000,143445,1000000
0,16,1D,6,0.007798910,0.004273176,500000,143445,1000000
0,16,1D,7,0.007881165,0.004313946,500000,143445,1000000
0,16,1D,8,0.007813931,0.004262447,500000,143445,1000000
0,16,1D,9,0.007849455,0.004314423,500000,143445,1000000
0,32,1D,0,0.019981146,0.015105247,500000,245121,1000000
0,32,1D,1,0.018676758,0.014066696,500000,245121,1000000
0,32,1D,2,0.019082308,0.014371395,500000,245121,1000000
0,32,1D,3,0.018837452,0.014139891,500000,245121,1000000
0,32,1D,4,0.018445015,0.013870239,500000,245121,1000000
0,32,1D,5,0.018563509,0.013914824,500000,245121,1000000
0,32,1D,6,0.019007921,0.014383316,500000,245121,1000000
0,32,1D,7,0.018543959,0.013903856,500000,245121,1000000
0,32,1D,8,0.018569231,0.013996601,500000,245121,1000000
