matrix,num_procs,io_type,io_time_seconds
1138_bus,4,sequential,0.004541
1138_bus,16,sequential,0.002665
1138_bus,64,sequential,0.003466
1138_bus,128,sequential,0.029212
tmt_sym,4,sequential,2.085147
tmt_sym,16,sequential,2.045890
tmt_sym,64,sequential,3.028778
tmt_sym,128,sequential,5.185614
1138_bus,4,parallel,0.020225
1138_bus,16,parallel,0.055150
1138_bus,64,parallel,0.149511
1138_bus,128,parallel,0.543776
tmt_sym,4,parallel,449.611642
tmt_sym,16,parallel,27.980405
tmt_sym,64,parallel,2.414085
tmt_sym,128,parallel,1.743045
