rank,num_procs,io_type,run,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,io_time
0,1,sequential,0,0.000647761,0.000000293,500000,0,1000000,0.029384751
0,1,sequential,1,0.000604997,0.000000355,500000,0,1000000,0.029384751
0,1,sequential,2,0.000613977,0.000000088,500000,0,1000000,0.029384751
0,1,sequential,3,0.000597462,0.000000434,500000,0,1000000,0.029384751
0,1,sequential,4,0.000644312,0.000000093,500000,0,1000000,0.029384751
0,1,sequential,5,0.000604717,0.000000376,500000,0,1000000,0.029384751
0,1,sequential,6,0.000598058,0.000000414,500000,0,1000000,0.029384751
0,1,sequential,7,0.000604000,0.000000101,500000,0,1000000,0.029384751
0,1,sequential,8,0.000603588,0.000000389,500000,0,1000000,0.029384751
0,1,sequential,9,0.000596727,0.000000225,500000,0,1000000,0.029384751
0,2,sequential,0,0.002999610,0.000019343,500000,10000,1000000,0.043001975
0,2,sequential,1,0.002771736,0.000043659,500000,10000,1000000,0.043001975
0,2,sequential,2,0.002894937,0.000022513,500000,10000,1000000,0.043001975
0,2,sequential,3,0.002729496,0.000016443,500000,10000,1000000,0.043001975
0,2,sequential,4,0.002667204,0.000015418,500000,10000,1000000,0.043001975
0,2,sequential,5,0.002737490,0.000011946,500000,10000,1000000,0.043001975
0,2,sequential,6,0.002687568,0.000012141,500000,10000,1000000,0.043001975
0,2,sequential,7,0.002774535,0.000011710,500000,10000,1000000,0.043001975
0,2,sequential,8,0.002742120,0.000016376,500000,10000,1000000,0.043001975
0,2,sequential,9,0.002732683,0.000015846,500000,10000,1000000,0.043001975
0,4,sequential,0,0.002075599,0.000197033,500000,30000,1000000,0.056639792
0,4,sequential,1,0.001955929,0.000109668,500000,30000,1000000,0.056639792
0,4,sequential,2,0.001872307,0.000047640,500000,30000,1000000,0.056639792
0,4,sequential,3,0.001873166,0.000053625,500000,30000,1000000,0.056639792
0,4,sequential,4,0.001845322,0.000044383,500000,30000,1000000,0.056639792
0,4,sequential,5,0.001846248,0.000040359,500000,30000,1000000,0.056639792
0,4,sequential,6,0.001873223,0.000040954,500000,30000,1000000,0.056639792
0,4,sequential,7,0.001906289,0.000049289,500000,30000,1000000,0.056639792
0,4,sequential,8,0.001895909,0.000043715,500000,30000,1000000,0.056639792
0,4,sequential,9,0.001846968,0.000044003,500000,30000,1000000,0.056639792
0,8,sequential,0,0.002482642,0.001064764,500000,69858,1000000,0.050074981
0,8,sequential,1,0.001724831,0.000240409,500000,69858,1000000,0.050074981
0,8,sequential,2,0.001568474,0.000177253,500000,69858,1000000,0.050074981
0,8,sequential,3,0.002984786,0.000227148,500000,69858,1000000,0.050074981
0,8,sequential,4,0.002826344,0.000196772,500000,69858,1000000,0.050074981
0,8,sequential,5,0.002912526,0.000285987,500000,69858,1000000,0.050074981
0,8,sequential,6,0.002924208,0.000203509,500000,69858,1000000,0.050074981
0,8,sequential,7,0.002902412,0.000230336,500000,69858,1000000,0.050074981
0,8,sequential,8,0.002861344,0.000193335,500000,69858,1000000,0.050074981
0,8,sequential,9,0.002878463,0.000216107,500000,69858,1000000,0.050074981
