rank,num_procs,distribution,run,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,matrix
0,1,1D,0,0.000004934,0.000000076,2596,0,5192,1138_bus
0,1,1D,1,0.000003790,0.000000041,2596,0,5192,1138_bus
0,1,1D,2,0.000003439,0.000000034,2596,0,5192,1138_bus
0,1,1D,3,0.000003432,0.000000036,2596,0,5192,1138_bus
0,1,1D,4,0.000003399,0.000000035,2596,0,5192,1138_bus
0,1,1D,5,0.000003495,0.000000035,2596,0,5192,1138_bus
0,1,1D,6,0.000003379,0.000000035,2596,0,5192,1138_bus
0,1,1D,7,0.000007693,0.000000035,2596,0,5192,1138_bus
0,1,1D,8,0.000003340,0.000000044,2596,0,5192,1138_bus
0,1,1D,9,0.000003331,0.000000034,2596,0,5192,1138_bus
1,2,1D,0,0.000005292,0.000000991,1263,278,2526,1138_bus
1,2,1D,1,0.000008912,0.000006436,1263,278,2526,1138_bus
1,2,1D,2,0.000002866,0.000000884,1263,278,2526,1138_bus
1,2,1D,3,0.000003415,0.000001629,1263,278,2526,1138_bus
1,2,1D,4,0.000002540,0.000000823,1263,278,2526,1138_bus
1,2,1D,5,0.000002552,0.000000811,1263,278,2526,1138_bus
1,2,1D,6,0.000002544,0.000000834,1263,278,2526,1138_bus
1,2,1D,7,0.000002467,0.000000770,1263,278,2526,1138_bus
1,2,1D,8,0.000002459,0.000000766,1263,278,2526,1138_bus
1,2,1D,9,0.000002504,0.000000784,1263,278,2526,1138_bus
0,2,1D,0,0.000006438,0.000001021,1333,300,2666,1138_bus
0,2,1D,1,0.000009796,0.000006594,1333,300,2666,1138_bus
0,2,1D,2,0.000003833,0.000001260,1333,300,2666,1138_bus
0,2,1D,3,0.000003573,0.000001677,1333,300,2666,1138_bus
0,2,1D,4,0.000002688,0.000000860,1333,300,2666,1138_bus
0,2,1D,5,0.000002590,0.000000843,1333,300,2666,1138_bus
0,2,1D,6,0.000002593,0.000000875,1333,300,2666,1138_bus
0,2,1D,7,0.000002511,0.000000799,1333,300,2666,1138_bus
0,2,1D,8,0.000002552,0.000000836,1333,300,2666,1138_bus
0,2,1D,9,0.000002579,0.000000866,1333,300,2666,1138_bus
1,4,1D,0,0.000004656,0.000001666,654,250,1308,1138_bus
1,4,1D,1,0.000008709,0.000007009,654,250,1308,1138_bus
1,4,1D,2,0.000002501,0.000001362,654,250,1308,1138_bus
1,4,1D,3,0.000005269,0.000004321,654,250,1308,1138_bus
1,4,1D,4,0.000002262,0.000001348,654,250,1308,1138_bus
1,4,1D,5,0.000002220,0.000001340,654,250,1308,1138_bus
1,4,1D,6,0.000002110,0.000001224,654,250,1308,1138_bus
1,4,1D,7,0.000002040,0.000001169,654,250,1308,1138_bus
1,4,1D,8,0.000002088,0.000001173,654,250,1308,1138_bus
1,4,1D,9,0.000003784,0.000002877,654,250,1308,1138_bus
2,4,1D,0,0.000004636,0.000001502,668,260,1336,1138_bus
2,4,1D,1,0.000009259,0.000007639,668,260,1336,1138_bus
2,4,1D,2,0.000002637,0.000001339,668,260,1336,1138_bus
2,4,1D,3,0.000004722,0.000003549,668,260,1336,1138_bus
2,4,1D,4,0.000002460,0.000001527,668,260,1336,1138_bus
2,4,1D,5,0.000002271,0.000001337,668,260,1336,1138_bus
2,4,1D,6,0.000002338,0.000001420,668,260,1336,1138_bus
2,4,1D,7,0.000002219,0.000001306,668,260,1336,1138_bus
2,4,1D,8,0.000002228,0.000001328,668,260,1336,1138_bus
2,4,1D,9,0.000003563,0.000002640,668,260,1336,1138_bus
3,4,1D,0,0.000004136,0.000001563,609,226,1218,1138_bus
3,4,1D,1,0.000008458,0.000007035,609,226,1218,1138_bus
3,4,1D,2,0.000002559,0.000001420,609,226,1218,1138_bus
3,4,1D,3,0.000004124,0.000003121,609,226,1218,1138_bus
3,4,1D,4,0.000002336,0.000001431,609,226,1218,1138_bus
3,4,1D,5,0.000002335,0.000001430,609,226,1218,1138_bus
3,4,1D,6,0.000002194,0.000001289,609,226,1218,1138_bus
3,4,1D,7,0.000002188,0.000001325,609,226,1218,1138_bus
3,4,1D,8,0.000002306,0.000001401,609,226,1218,1138_bus
3,4,1D,9,0.000004305,0.000003404,609,226,1218,1138_bus
0,4,1D,0,0.000004782,0.000001694,665,247,1330,1138_bus
0,4,1D,1,0.000009282,0.000007224,665,247,1330,1138_bus
0,4,1D,2,0.000002865,0.000001445,665,247,1330,1138_bus
0,4,1D,3,0.000004865,0.000003687,665,247,1330,1138_bus
0,4,1D,4,0.000002329,0.000001308,665,247,1330,1138_bus
0,4,1D,5,0.000002338,0.000001403,665,247,1330,1138_bus
0,4,1D,6,0.000002138,0.000001242,665,247,1330,1138_bus
0,4,1D,7,0.000002117,0.000001216,665,247,1330,1138_bus
0,4,1D,8,0.000002274,0.000001373,665,247,1330,1138_bus
