rank,num_procs,distribution,run,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,matrix
0,1,1D,0,0.000284002,0.000141350,2596,0,5192,1138_bus
0,1,1D,1,0.000223280,0.000119410,2596,0,5192,1138_bus
0,1,1D,2,0.000277170,0.000119810,2596,0,5192,1138_bus
0,1,1D,3,0.000282290,0.000154557,2596,0,5192,1138_bus
0,1,1D,4,0.000329768,0.000162429,2596,0,5192,1138_bus
0,1,1D,5,0.000221955,0.000113141,2596,0,5192,1138_bus
0,1,1D,6,0.000223279,0.000092648,2596,0,5192,1138_bus
0,1,1D,7,0.000283870,0.000137402,2596,0,5192,1138_bus
0,1,1D,8,0.000195310,0.000079664,2596,0,5192,1138_bus
0,1,1D,9,0.000265370,0.000137765,2596,0,5192,1138_bus
0,2,1D,0,0.000180173,0.000105085,1333,300,2666,1138_bus
0,2,1D,1,0.000224655,0.000147598,1333,300,2666,1138_bus
0,2,1D,2,0.000144226,0.000076840,1333,300,2666,1138_bus
0,2,1D,3,0.000175534,0.000075002,1333,300,2666,1138_bus
0,2,1D,4,0.000248749,0.000073826,1333,300,2666,1138_bus
0,2,1D,5,0.000274628,0.000071474,1333,300,2666,1138_bus
0,2,1D,6,0.000315774,0.000080864,1333,300,2666,1138_bus
0,2,1D,7,0.000100132,0.000061616,1333,300,2666,1138_bus
0,2,1D,8,0.000294385,0.000233369,1333,300,2666,1138_bus
0,2,1D,9,0.000105512,0.000050544,1333,300,2666,1138_bus
1,2,1D,0,0.000173694,0.000104903,1263,278,2526,1138_bus
1,2,1D,1,0.000232705,0.000151381,1263,278,2526,1138_bus
1,2,1D,2,0.000136006,0.000076447,1263,278,2526,1138_bus
1,2,1D,3,0.000123651,0.000074711,1263,278,2526,1138_bus
1,2,1D,4,0.000114344,0.000074714,1263,278,2526,1138_bus
1,2,1D,5,0.000117019,0.000071560,1263,278,2526,1138_bus
1,2,1D,6,0.000143544,0.000080856,1263,278,2526,1138_bus
1,2,1D,7,0.000110991,0.000061636,1263,278,2526,1138_bus
1,2,1D,8,0.000296951,0.000233211,1263,278,2526,1138_bus
1,2,1D,9,0.000117016,0.000050360,1263,278,2526,1138_bus
0,4,1D,0,0.047978399,0.031978316,665,247,1330,1138_bus
0,4,1D,1,0.048007859,0.032003921,665,247,1330,1138_bus
0,4,1D,2,0.047991996,0.032000209,665,247,1330,1138_bus
0,4,1D,3,0.047986585,0.031991683,665,247,1330,1138_bus
0,4,1D,4,0.047996383,0.031989617,665,247,1330,1138_bus
0,4,1D,5,0.047988782,0.032010153,665,247,1330,1138_bus
0,4,1D,6,0.047998009,0.031993440,665,247,1330,1138_bus
0,4,1D,7,0.048006859,0.031994678,665,247,1330,1138_bus
0,4,1D,8,0.047987874,0.031998886,665,247,1330,1138_bus
0,4,1D,9,0.047997144,0.031997303,665,247,1330,1138_bus
2,4,1D,0,0.047988782,0.032000545,668,260,1336,1138_bus
2,4,1D,1,0.048006761,0.032010613,668,260,1336,1138_bus
2,4,1D,2,0.047990304,0.031989671,668,260,1336,1138_bus
2,4,1D,3,0.048008072,0.032003010,668,260,1336,1138_bus
2,4,1D,4,0.047999693,0.032001933,668,260,1336,1138_bus
2,4,1D,5,0.047997330,0.031987023,668,260,1336,1138_bus
2,4,1D,6,0.047992380,0.031997162,668,260,1336,1138_bus
2,4,1D,7,0.048000171,0.032093165,668,260,1336,1138_bus
2,4,1D,8,0.047957864,0.031966348,668,260,1336,1138_bus
2,4,1D,9,0.040884764,0.032005255,668,260,1336,1138_bus
1,4,1D,0,0.047984911,0.031985977,654,250,1308,1138_bus
1,4,1D,1,0.048020413,0.032032895,654,250,1308,1138_bus
1,4,1D,2,0.047988377,0.031991998,654,250,1308,1138_bus
1,4,1D,3,0.048004779,0.032115913,654,250,1308,1138_bus
1,4,1D,4,0.047987634,0.031987117,654,250,1308,1138_bus
1,4,1D,5,0.048003580,0.032022913,654,250,1308,1138_bus
1,4,1D,6,0.048001404,0.031987353,654,250,1308,1138_bus
1,4,1D,7,0.048001205,0.032016442,654,250,1308,1138_bus
1,4,1D,8,0.047994970,0.032000787,654,250,1308,1138_bus
1,4,1D,9,0.040021085,0.032015042,654,250,1308,1138_bus
3,4,1D,0,0.047990555,0.031989173,609,226,1218,1138_bus
3,4,1D,1,0.047965344,0.031958977,609,226,1218,1138_bus
3,4,1D,2,0.047994117,0.032003636,609,226,1218,1138_bus
3,4,1D,3,0.048008371,0.032006055,609,226,1218,1138_bus
3,4,1D,4,0.048006526,0.032004698,609,226,1218,1138_bus
3,4,1D,5,0.047998287,0.031999301,609,226,1218,1138_bus
3,4,1D,6,0.047998133,0.031998266,609,226,1218,1138_bus
3,4,1D,7,0.048003241,0.031999594,609,226,1218,1138_bus
3,4,1D,8,0.047989875,0.031999088,609,226,1218,1138_bus
3,4,1D,9,0.048093293,0.031998906,609,226,1218,1138_bus
4,8,1D,0,0.127990912,0.095990831,343,161,686,1138_bus
4,8,1D,1,0.127997595,0.096007175,343,161,686,1138_bus
4,8,1D,2,0.128006845,0.096029819,343,161,686,1138_bus
4,8,1D,3,0.095988966,0.063998117,343,161,686,1138_bus
