rank,num_procs,distribution,run,elapsed_time,comm_time,local_nz,ghost_entries,local_flops
0,1,1D,0,0.000967705,0.000219111,500000,0,1000000
0,1,1D,1,0.000923876,0.000176838,500000,0,1000000
0,1,1D,2,0.000947688,0.000197194,500000,0,1000000
0,1,1D,3,0.000935029,0.000151285,500000,0,1000000
0,1,1D,4,0.000941425,0.000197494,500000,0,1000000
0,1,1D,5,0.000958491,0.000152917,500000,0,1000000
0,1,1D,6,0.000961479,0.000155054,500000,0,1000000
0,1,1D,7,0.000888485,0.000138124,500000,0,1000000
0,1,1D,8,0.000997463,0.000245377,500000,0,1000000
0,1,1D,9,0.000941736,0.000168722,500000,0,1000000
1,2,1D,0,0.003565703,0.000278085,500000,10000,1000000
1,2,1D,1,0.003183541,0.000200082,500000,10000,1000000
1,2,1D,2,0.003089093,0.000221243,500000,10000,1000000
1,2,1D,3,0.003370731,0.000165251,500000,10000,1000000
1,2,1D,4,0.003317971,0.000154031,500000,10000,1000000
1,2,1D,5,0.003089575,0.000204292,500000,10000,1000000
1,2,1D,6,0.003330754,0.000159000,500000,10000,1000000
1,2,1D,7,0.003223730,0.000181276,500000,10000,1000000
1,2,1D,8,0.003278149,0.000230383,500000,10000,1000000
1,2,1D,9,0.003158689,0.000140054,500000,10000,1000000
0,2,1D,0,0.003372030,0.000277649,500000,10000,1000000
0,2,1D,1,0.003128666,0.000202528,500000,10000,1000000
0,2,1D,2,0.003222304,0.000225974,500000,10000,1000000
0,2,1D,3,0.003284746,0.000160216,500000,10000,1000000
0,2,1D,4,0.003204285,0.000154434,500000,10000,1000000
0,2,1D,5,0.003213150,0.000205469,500000,10000,1000000
0,2,1D,6,0.003340999,0.000157691,500000,10000,1000000
0,2,1D,7,0.003151824,0.000180168,500000,10000,1000000
0,2,1D,8,0.003370166,0.000213775,500000,10000,1000000
0,2,1D,9,0.003428006,0.000140650,500000,10000,1000000
0,4,1D,0,0.049845824,0.032038005,500000,30000,1000000
0,4,1D,1,0.049945226,0.032050157,500000,30000,1000000
0,4,1D,2,0.049870354,0.032036800,500000,30000,1000000
0,4,1D,3,0.050126393,0.032040600,500000,30000,1000000
0,4,1D,4,0.050024973,0.032042604,500000,30000,1000000
0,4,1D,5,0.052721014,0.032038266,500000,30000,1000000
0,4,1D,6,0.061865344,0.044026013,500000,30000,1000000
0,4,1D,7,0.049928820,0.032055602,500000,30000,1000000
0,4,1D,8,0.049843649,0.032048599,500000,30000,1000000
0,4,1D,9,0.049859842,0.032031972,500000,30000,1000000
1,4,1D,0,0.049982302,0.032001674,500000,29999,1000000
1,4,1D,1,0.049880683,0.032019742,500000,29999,1000000
1,4,1D,2,0.049873705,0.031998779,500000,29999,1000000
1,4,1D,3,0.049923891,0.032003381,500000,29999,1000000
1,4,1D,4,0.049948957,0.032002329,500000,29999,1000000
1,4,1D,5,0.051271451,0.030813760,500000,29999,1000000
1,4,1D,6,0.049915366,0.031992074,500000,29999,1000000
1,4,1D,7,0.049962288,0.032010526,500000,29999,1000000
1,4,1D,8,0.049901093,0.032022643,500000,29999,1000000
1,4,1D,9,0.048407196,0.032024541,500000,29999,1000000
3,4,1D,0,0.050102793,0.032020278,500000,30000,1000000
3,4,1D,1,0.050015786,0.032019044,500000,30000,1000000
3,4,1D,2,0.049848669,0.032006216,500000,30000,1000000
3,4,1D,3,0.049885619,0.032009773,500000,30000,1000000
3,4,1D,4,0.050012491,0.032022546,500000,30000,1000000
3,4,1D,5,0.051148315,0.032012461,500000,30000,1000000
3,4,1D,6,0.076364597,0.044014756,500000,30000,1000000
3,4,1D,7,0.049907545,0.032001499,500000,30000,1000000
3,4,1D,8,0.049900257,0.032010805,500000,30000,1000000
3,4,1D,9,0.049013913,0.032061660,500000,30000,1000000
2,4,1D,0,0.049849622,0.032019027,500000,30000,1000000
2,4,1D,1,0.049976242,0.032028053,500000,30000,1000000
2,4,1D,2,0.049890759,0.032024479,500000,30000,1000000
2,4,1D,3,0.049875842,0.031965816,500000,30000,1000000
2,4,1D,4,0.050057304,0.032025622,500000,30000,1000000
2,4,1D,5,0.053537646,0.032029335,500000,30000,1000000
2,4,1D,6,0.061878296,0.044039787,500000,30000,1000000
2,4,1D,7,0.049972047,0.031986052,500000,30000,1000000
2,4,1D,8,0.050232208,0.032003700,500000,30000,1000000
2,4,1D,9,0.047255656,0.032004971,500000,30000,1000000
6,8,1D,0,0.097828444,0.064073609,500000,69872,1000000
6,8,1D,1,0.097913595,0.064141334,500000,69872,1000000
6,8,1D,2,0.097521283,0.064044851,500000,69872,1000000
6,8,1D,3,0.097512723,0.064049419,500000,69872,1000000
6,8,1D,4,0.129480716,0.095971013,500000,69872,1000000
6,8,1D,5,0.097555388,0.064098862,500000,69872,1000000
6,8,1D,6,0.129498357,0.096013753,500000,69872,1000000
6,8,1D,7,0.097567528,0.064013916,500000,69872,1000000
6,8,1D,8,0.097712952,0.064078060,500000,69872,1000000
6,8,1D,9,0.097506114,0.063985240,500000,69872,1000000
1,8,1D,0,0.097424708,0.064021834,500000,69840,1000000
1,8,1D,1,0.097580206,0.064035696,500000,69840,1000000
1,8,1D,2,0.097508533,0.064043139,500000,69840,1000000
1,8,1D,3,0.097569334,0.064055465,500000,69840,1000000
1,8,1D,4,0.097487661,0.064054080,500000,69840,1000000
1,8,1D,5,0.097478700,0.064080141,500000,69840,1000000
1,8,1D,6,0.129463823,0.096019587,500000,69840,1000000
1,8,1D,7,0.129546664,0.096002875,500000,69840,1000000
1,8,1D,8,0.097990395,0.064162535,500000,69840,1000000
1,8,1D,9,0.128180921,0.096010317,500000,69840,1000000
7,8,1D,0,0.097627581,0.064042368,500000,69849,1000000
7,8,1D,1,0.098238724,0.064086625,500000,69849,1000000
7,8,1D,2,0.097621104,0.064044588,500000,69849,1000000
7,8,1D,3,0.097675817,0.064043358,500000,69849,1000000
7,8,1D,4,0.097520983,0.064044785,500000,69849,1000000
7,8,1D,5,0.097493162,0.064055054,500000,69849,1000000
7,8,1D,6,0.129561371,0.096014965,500000,69849,1000000
7,8,1D,7,0.129649395,0.096019240,500000,69849,1000000
7,8,1D,8,0.097609853,0.064059019,500000,69849,1000000
7,8,1D,9,0.126431323,0.096009195,500000,69849,1000000
4,8,1D,0,0.097685296,0.064062362,500000,69862,1000000
4,8,1D,1,0.097611331,0.064048326,500000,69862,1000000
4,8,1D,2,0.097520826,0.064024071,500000,69862,1000000
4,8,1D,3,0.097497898,0.064033803,500000,69862,1000000
4,8,1D,4,0.129569187,0.064076522,500000,69862,1000000
4,8,1D,5,0.097553128,0.064027969,500000,69862,1000000
