Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,2.66591e-05
spmv_sequential,1,2,NA,2.82787e-05
spmv_sequential,1,3,NA,2.71834e-05
spmv_sequential,1,4,NA,2.80943e-05
spmv_sequential,1,5,NA,2.79555e-05
spmv_sequential,1,6,NA,2.83765e-05
spmv_sequential,1,7,NA,2.82712e-05
spmv_sequential,1,8,NA,2.81883e-05
spmv_sequential,1,9,NA,2.65762e-05
spmv_sequential,1,10,NA,2.78959e-05
spmv_sequential,2,1,NA,2.70093e-05
spmv_sequential,2,2,NA,2.90442e-05
spmv_sequential,2,3,NA,2.84379e-05
spmv_sequential,2,4,NA,2.67224e-05
spmv_sequential,2,5,NA,2.8383e-05
spmv_sequential,2,6,NA,2.959e-05
spmv_sequential,2,7,NA,2.85832e-05
spmv_sequential,2,8,NA,2.80952e-05
spmv_sequential,2,9,NA,3.68422e-05
spmv_sequential,2,10,NA,2.82573e-05
spmv_sequential,4,1,NA,3.15849e-05
spmv_sequential,4,2,NA,2.85963e-05
spmv_sequential,4,3,NA,2.87471e-05
spmv_sequential,4,4,NA,2.82582e-05
spmv_sequential,4,5,NA,2.8206e-05
spmv_sequential,4,6,NA,2.81474e-05
spmv_sequential,4,7,NA,2.67727e-05
spmv_sequential,4,8,NA,2.8084e-05
spmv_sequential,4,9,NA,2.66274e-05
spmv_sequential,4,10,NA,2.83103e-05
spmv_sequential,8,1,NA,2.66423e-05
spmv_sequential,8,2,NA,3.35909e-05
spmv_sequential,8,3,NA,2.69748e-05
spmv_sequential,8,4,NA,2.81055e-05
spmv_sequential,8,5,NA,2.86773e-05
spmv_sequential,8,6,NA,2.79425e-05
spmv_sequential,8,7,NA,2.79322e-05
spmv_sequential,8,8,NA,2.81651e-05
spmv_sequential,8,9,NA,2.79797e-05
spmv_sequential,8,10,NA,2.79769e-05
spmv_sequential,16,1,NA,2.83578e-05
spmv_sequential,16,2,NA,2.77469e-05
spmv_sequential,16,3,NA,2.84407e-05
spmv_sequential,16,4,NA,2.84314e-05
spmv_sequential,16,5,NA,2.85767e-05
spmv_sequential,16,6,NA,2.83541e-05
spmv_sequential,16,7,NA,2.80887e-05
spmv_sequential,16,8,NA,2.82377e-05
spmv_sequential,16,9,NA,2.80421e-05
spmv_sequential,16,10,NA,2.84975e-05
spmv_sequential,32,1,NA,2.66898e-05
spmv_sequential,32,2,NA,2.86382e-05
spmv_sequential,32,3,NA,2.88459e-05
spmv_sequential,32,4,NA,2.68016e-05
spmv_sequential,32,5,NA,2.88086e-05
spmv_sequential,32,6,NA,2.86754e-05
spmv_sequential,32,7,NA,2.89669e-05
spmv_sequential,32,8,NA,2.68128e-05
spmv_sequential,32,9,NA,2.81483e-05
spmv_sequential,32,10,NA,2.65986e-05
spmv_sequential,64,1,NA,2.82358e-05
spmv_sequential,64,2,NA,2.9509e-05
spmv_sequential,64,3,NA,2.82219e-05
spmv_sequential,64,4,NA,2.81669e-05
spmv_sequential,64,5,NA,2.70084e-05
spmv_sequential,64,6,NA,2.8193e-05
spmv_sequential,64,7,NA,2.96403e-05
spmv_sequential,64,8,NA,2.83215e-05
spmv_sequential,64,9,NA,2.81641e-05
spmv_sequential,64,10,NA,2.83979e-05
spmv_sequential,96,1,NA,2.65446e-05
spmv_sequential,96,2,NA,2.84072e-05
spmv_sequential,96,3,NA,2.91737e-05
spmv_sequential,96,4,NA,2.9223e-05
spmv_sequential,96,5,NA,2.79956e-05
spmv_sequential,96,6,NA,2.69525e-05
spmv_sequential,96,7,NA,4.02909e-05
spmv_sequential,96,8,NA,2.64877e-05
spmv_sequential,96,9,NA,2.82945e-05
spmv_sequential,96,10,NA,2.86261e-05
spmv_static,1,1,NA,3.76338e-05
