Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,4.70942e-05
spmv_runtime_static,1,2,10,4.19421e-05
spmv_runtime_static,1,3,10,4.02499e-05
spmv_runtime_static,1,4,10,3.93083e-05
spmv_runtime_static,1,5,10,3.91658e-05
spmv_runtime_static,1,6,10,4.32385e-05
spmv_runtime_static,1,7,10,3.88231e-05
spmv_runtime_static,1,8,10,3.92413e-05
spmv_runtime_static,1,9,10,4.7043e-05
spmv_runtime_static,1,10,10,3.91202e-05
spmv_runtime_static,2,1,10,0.000173437
spmv_runtime_static,2,2,10,0.000115067
spmv_runtime_static,2,3,10,0.000117904
spmv_runtime_static,2,4,10,0.000134651
spmv_runtime_static,2,5,10,0.000112803
spmv_runtime_static,2,6,10,0.000111605
spmv_runtime_static,2,7,10,0.000122908
spmv_runtime_static,2,8,10,0.000114168
spmv_runtime_static,2,9,10,0.00011638
spmv_runtime_static,2,10,10,0.000110079
spmv_runtime_static,4,1,10,0.000136166
spmv_runtime_static,4,2,10,0.000135304
spmv_runtime_static,4,3,10,0.000115746
spmv_runtime_static,4,4,10,0.000187131
spmv_runtime_static,4,5,10,0.00011863
spmv_runtime_static,4,6,10,0.00012575
spmv_runtime_static,4,7,10,0.000177651
spmv_runtime_static,4,8,10,0.000156472
spmv_runtime_static,4,9,10,0.000130566
spmv_runtime_static,4,10,10,0.000121314
spmv_runtime_static,8,1,10,0.000225528
spmv_runtime_static,8,2,10,0.000181409
spmv_runtime_static,8,3,10,0.000244248
spmv_runtime_static,8,4,10,0.000224211
spmv_runtime_static,8,5,10,0.000196816
spmv_runtime_static,8,6,10,0.00023625
spmv_runtime_static,8,7,10,0.000189985
spmv_runtime_static,8,8,10,0.000223338
spmv_runtime_static,8,9,10,0.000176369
spmv_runtime_static,8,10,10,0.000180051
spmv_runtime_static,16,1,10,0.000399082
spmv_runtime_static,16,2,10,0.000376356
spmv_runtime_static,16,3,10,0.00033982
spmv_runtime_static,16,4,10,0.000310622
spmv_runtime_static,16,5,10,0.000297694
spmv_runtime_static,16,6,10,0.00034739
spmv_runtime_static,16,7,10,0.000398026
spmv_runtime_static,16,8,10,0.000313099
spmv_runtime_static,16,9,10,0.000349641
