Executable,Threads,Run,ChunkSize,Time
spmv_exp1,1,1,NA,3.44776e-05
spmv_exp1,1,2,NA,3.20897e-05
spmv_exp1,1,3,NA,3.14405e-05
spmv_exp1,1,4,NA,3.17395e-05
spmv_exp1,1,5,NA,3.1854e-05
spmv_exp1,1,6,NA,3.26969e-05
spmv_exp1,1,7,NA,3.17832e-05
spmv_exp1,1,8,NA,3.19993e-05
spmv_exp1,1,9,NA,3.15905e-05
spmv_exp1,1,10,NA,3.1448e-05
spmv_exp1,2,1,NA,0.000133483
spmv_exp1,2,2,NA,8.42307e-05
spmv_exp1,2,3,NA,7.51838e-05
spmv_exp1,2,4,NA,7.75894e-05
spmv_exp1,2,5,NA,8.31829e-05
spmv_exp1,2,6,NA,7.82032e-05
spmv_exp1,2,7,NA,7.63712e-05
spmv_exp1,2,8,NA,7.55824e-05
spmv_exp1,2,9,NA,9.05283e-05
spmv_exp1,2,10,NA,7.50422e-05
spmv_exp1,4,1,NA,0.0217851
spmv_exp1,4,2,NA,0.0130247
spmv_exp1,4,3,NA,0.0123673
spmv_exp1,4,4,NA,0.0119656
spmv_exp1,4,5,NA,0.000113077
spmv_exp1,4,6,NA,0.000111082
spmv_exp1,4,7,NA,0.000117993
spmv_exp1,4,8,NA,0.000104336
spmv_exp1,4,9,NA,0.000108831
spmv_exp1,4,10,NA,0.000105458
spmv_exp1,8,1,NA,0.0132515
spmv_exp1,8,2,NA,0.0128357
spmv_exp1,8,3,NA,0.0126578
spmv_exp1,8,4,NA,0.0129895
spmv_exp1,8,5,NA,0.0128541
spmv_exp1,8,6,NA,0.0128705
spmv_exp1,8,7,NA,0.0126181
spmv_exp1,8,8,NA,0.0131726
spmv_exp1,8,9,NA,0.0130442
spmv_exp1,8,10,NA,0.0123309
spmv_exp1,16,1,NA,0.0131748
spmv_exp1,16,2,NA,0.0128581
spmv_exp1,16,3,NA,0.0133138
spmv_exp1,16,4,NA,0.0130369
spmv_exp1,16,5,NA,0.0125839
spmv_exp1,16,6,NA,0.0122109
spmv_exp1,16,7,NA,0.000314175
spmv_exp1,16,8,NA,0.000315248
spmv_exp1,16,9,NA,0.00031874
spmv_exp1,16,10,NA,0.000305657
spmv_exp1,32,1,NA,0.0127639
spmv_exp1,32,2,NA,0.0131372
spmv_exp1,32,3,NA,0.0125138
spmv_exp1,32,4,NA,0.0124717
spmv_exp1,32,5,NA,0.0131568
spmv_exp1,32,6,NA,0.0131185
spmv_exp1,32,7,NA,0.0133082
spmv_exp1,32,8,NA,0.0128335
spmv_exp1,32,9,NA,0.0124188
spmv_exp1,32,10,NA,0.0130942
spmv_exp1,64,1,NA,0.013869
spmv_exp1,64,2,NA,0.0160328
spmv_exp1,64,3,NA,0.0133974
spmv_exp1,64,4,NA,0.014043
spmv_exp1,64,5,NA,0.0224109
spmv_exp1,64,6,NA,0.0136087
spmv_exp1,64,7,NA,0.0136064
spmv_exp1,64,8,NA,0.0132075
spmv_exp1,64,9,NA,0.0133124
spmv_exp1,64,10,NA,0.0139242
spmv_exp1,96,1,NA,0.0136897
spmv_exp1,96,2,NA,0.0262866
spmv_exp1,96,3,NA,0.0269848
spmv_exp1,96,4,NA,0.0269699
spmv_exp1,96,5,NA,0.0137193
spmv_exp1,96,6,NA,0.0267646
spmv_exp1,96,7,NA,0.0281811
spmv_exp1,96,8,NA,0.0162145
spmv_exp1,96,9,NA,0.0272161
spmv_exp1,96,10,NA,0.0272108
spmv_guided,1,1,NA,4.55528e-05
spmv_guided,1,2,NA,3.98736e-05
spmv_guided,1,3,NA,4.00608e-05
spmv_guided,1,4,NA,3.98178e-05
spmv_guided,1,5,NA,4.02527e-05
spmv_guided,1,6,NA,3.98923e-05
spmv_guided,1,7,NA,3.95551e-05
spmv_guided,1,8,NA,3.95151e-05
spmv_guided,1,9,NA,4.00422e-05
spmv_guided,1,10,NA,4.01232e-05
spmv_guided,2,1,NA,0.000134512
spmv_guided,2,2,NA,8.71634e-05
spmv_guided,2,3,NA,8.74801e-05
spmv_guided,2,4,NA,9.696e-05
spmv_guided,2,5,NA,8.8254e-05
spmv_guided,2,6,NA,8.7942e-05
spmv_guided,2,7,NA,8.66512e-05
spmv_guided,2,8,NA,9.15453e-05
spmv_guided,2,9,NA,9.879e-05
spmv_guided,2,10,NA,8.76598e-05
spmv_guided,4,1,NA,0.000199884
spmv_guided,4,2,NA,0.000197139
spmv_guided,4,3,NA,0.000132403
spmv_guided,4,4,NA,0.00013293
spmv_guided,4,5,NA,0.00013023
spmv_guided,4,6,NA,0.000141552
spmv_guided,4,7,NA,0.000127033
spmv_guided,4,8,NA,0.000188895
spmv_guided,4,9,NA,0.00013647
spmv_guided,4,10,NA,0.000133036
spmv_guided,8,1,NA,0.000216239
spmv_guided,8,2,NA,0.000200126
spmv_guided,8,3,NA,0.000184762
spmv_guided,8,4,NA,0.00018541
spmv_guided,8,5,NA,0.000180644
spmv_guided,8,6,NA,0.000186778
spmv_guided,8,7,NA,0.000178347
spmv_guided,8,8,NA,0.00018211
spmv_guided,8,9,NA,0.000186259
spmv_guided,8,10,NA,0.000194783
spmv_guided,16,1,NA,0.0131558
spmv_guided,16,2,NA,0.0127878
spmv_guided,16,3,NA,0.0124324
spmv_guided,16,4,NA,0.00944403
spmv_guided,16,5,NA,0.00032524
spmv_guided,16,6,NA,0.000419755
spmv_guided,16,7,NA,0.000311929
spmv_guided,16,8,NA,0.000315575
spmv_guided,16,9,NA,0.000331324
spmv_guided,16,10,NA,0.000340546
spmv_guided,32,1,NA,0.0126807
spmv_guided,32,2,NA,0.0245645
spmv_guided,32,3,NA,0.0248618
spmv_guided,32,4,NA,0.0130859
spmv_guided,32,5,NA,0.0132034
spmv_guided,32,6,NA,0.0228375
spmv_guided,32,7,NA,0.0124921
spmv_guided,32,8,NA,0.000593627
spmv_guided,32,9,NA,0.000614543
spmv_guided,32,10,NA,0.000603713
spmv_guided,64,1,NA,0.0257633
spmv_guided,64,2,NA,0.0265794
spmv_guided,64,3,NA,0.0135394
spmv_guided,64,4,NA,0.0268092
spmv_guided,64,5,NA,0.0243818
spmv_guided,64,6,NA,0.0251946
spmv_guided,64,7,NA,0.0132822
spmv_guided,64,8,NA,0.0124664
spmv_guided,64,9,NA,0.0131132
spmv_guided,64,10,NA,0.0129595
spmv_guided,96,1,NA,0.0263995
spmv_guided,96,2,NA,0.0278847
spmv_guided,96,3,NA,0.0272104
spmv_guided,96,4,NA,0.0242027
spmv_guided,96,5,NA,0.0253075
spmv_guided,96,6,NA,0.0267556
spmv_guided,96,7,NA,0.0252157
spmv_guided,96,8,NA,0.0271083
spmv_guided,96,9,NA,0.0304985
spmv_guided,96,10,NA,0.0307995
spmv_static,1,1,NA,3.86825e-05
spmv_static,1,2,NA,3.67118e-05
spmv_static,1,3,NA,3.65861e-05
spmv_static,1,4,NA,3.72902e-05
spmv_static,1,5,NA,3.71486e-05
spmv_static,1,6,NA,3.65367e-05
spmv_static,1,7,NA,3.65768e-05
spmv_static,1,8,NA,3.675e-05
spmv_static,1,9,NA,3.65973e-05
spmv_static,1,10,NA,3.69493e-05
spmv_static,2,1,NA,0.000139941
spmv_static,2,2,NA,0.000141722
spmv_static,2,3,NA,8.35471e-05
spmv_static,2,4,NA,0.000139226
spmv_static,2,5,NA,0.000139407
spmv_static,2,6,NA,0.000156859
spmv_static,2,7,NA,0.000146425
spmv_static,2,8,NA,8.16882e-05
spmv_static,2,9,NA,8.12868e-05
spmv_static,2,10,NA,8.76617e-05
spmv_static,4,1,NA,0.000166952
spmv_static,4,2,NA,0.00018175
spmv_static,4,3,NA,0.000113022
spmv_static,4,4,NA,0.000110899
spmv_static,4,5,NA,0.000312343
spmv_static,4,6,NA,0.000113176
spmv_static,4,7,NA,0.000114303
spmv_static,4,8,NA,0.000110894
spmv_static,4,9,NA,0.000160068
spmv_static,4,10,NA,0.00015505
spmv_static,8,1,NA,0.0126579
spmv_static,8,2,NA,0.0126186
spmv_static,8,3,NA,0.0124049
spmv_static,8,4,NA,0.0122742
spmv_static,8,5,NA,0.012816
spmv_static,8,6,NA,0.012571
spmv_static,8,7,NA,0.0126951
spmv_static,8,8,NA,0.00174779
spmv_static,8,9,NA,0.000166079
spmv_static,8,10,NA,0.000233807
spmv_static,16,1,NA,0.0129945
spmv_static,16,2,NA,0.0127003
spmv_static,16,3,NA,0.0128502
spmv_static,16,4,NA,0.0130837
spmv_static,16,5,NA,0.0122062
spmv_static,16,6,NA,0.000301606
spmv_static,16,7,NA,0.000295212
spmv_static,16,8,NA,0.00042598
spmv_static,16,9,NA,0.000297055
spmv_static,16,10,NA,0.000360897
spmv_static,32,1,NA,0.0132865
spmv_static,32,2,NA,0.0124522
spmv_static,32,3,NA,0.00082978
spmv_static,32,4,NA,0.000597084
spmv_static,32,5,NA,0.000582949
spmv_static,32,6,NA,0.000582936
spmv_static,32,7,NA,0.000589368
spmv_static,32,8,NA,0.000587718
spmv_static,32,9,NA,0.000550751
spmv_static,32,10,NA,0.000650898
spmv_static,64,1,NA,0.0135319
spmv_static,64,2,NA,0.0130624
spmv_static,64,3,NA,0.0266801
spmv_static,64,4,NA,0.0128637
spmv_static,64,5,NA,0.0151784
spmv_static,64,6,NA,0.0282762
spmv_static,64,7,NA,0.0140109
spmv_static,64,8,NA,0.0135339
spmv_static,64,9,NA,0.0130027
spmv_static,64,10,NA,0.0137487
spmv_static,96,1,NA,0.0274424
spmv_static,96,2,NA,0.0277639
spmv_static,96,3,NA,0.0312049
spmv_static,96,4,NA,0.0312695
spmv_static,96,5,NA,0.0271681
spmv_static,96,6,NA,0.0259874
spmv_static,96,7,NA,0.0262921
spmv_static,96,8,NA,0.0273405
spmv_static,96,9,NA,0.0254227
spmv_static,96,10,NA,0.0271189
