Executable,Threads,Run,ChunkSize,Time
spmv_exp1,1,1,NA,0.000131572
spmv_exp1,1,2,NA,0.000119518
spmv_exp1,1,3,NA,0.000120677
spmv_exp1,1,4,NA,0.000126334
spmv_exp1,1,5,NA,0.00012176
spmv_exp1,1,6,NA,0.00012086
spmv_exp1,1,7,NA,0.000119569
spmv_exp1,1,8,NA,0.000121556
spmv_exp1,1,9,NA,0.000119601
spmv_exp1,1,10,NA,0.000119054
spmv_exp1,2,1,NA,0.000213923
spmv_exp1,2,2,NA,0.000154821
spmv_exp1,2,3,NA,0.000128725
spmv_exp1,2,4,NA,0.000189879
spmv_exp1,2,5,NA,0.000183129
spmv_exp1,2,6,NA,0.000198602
spmv_exp1,2,7,NA,0.000202808
spmv_exp1,2,8,NA,0.000133965
spmv_exp1,2,9,NA,0.000203935
spmv_exp1,2,10,NA,0.000138817
spmv_exp1,4,1,NA,0.000188698
spmv_exp1,4,2,NA,0.000144575
spmv_exp1,4,3,NA,0.000145002
spmv_exp1,4,4,NA,0.000144022
spmv_exp1,4,5,NA,0.00014389
spmv_exp1,4,6,NA,0.000138534
spmv_exp1,4,7,NA,0.000160627
spmv_exp1,4,8,NA,0.000157269
spmv_exp1,4,9,NA,0.000135344
spmv_exp1,4,10,NA,0.000186167
spmv_exp1,8,1,NA,0.0124055
spmv_exp1,8,2,NA,0.0135137
spmv_exp1,8,3,NA,0.0129769
spmv_exp1,8,4,NA,0.00116993
spmv_exp1,8,5,NA,0.000255195
spmv_exp1,8,6,NA,0.000233947
spmv_exp1,8,7,NA,0.000218406
spmv_exp1,8,8,NA,0.000183355
spmv_exp1,8,9,NA,0.000190304
spmv_exp1,8,10,NA,0.000263385
spmv_exp1,16,1,NA,0.016872
spmv_exp1,16,2,NA,0.0129977
spmv_exp1,16,3,NA,0.0133607
spmv_exp1,16,4,NA,0.00308782
spmv_exp1,16,5,NA,0.000310492
spmv_exp1,16,6,NA,0.000417795
spmv_exp1,16,7,NA,0.000304095
spmv_exp1,16,8,NA,0.00034278
spmv_exp1,16,9,NA,0.000327358
spmv_exp1,16,10,NA,0.000429897
spmv_exp1,32,1,NA,0.0129798
spmv_exp1,32,2,NA,0.0124937
spmv_exp1,32,3,NA,0.0131961
spmv_exp1,32,4,NA,0.0125392
spmv_exp1,32,5,NA,0.0126899
spmv_exp1,32,6,NA,0.0189598
spmv_exp1,32,7,NA,0.0132426
spmv_exp1,32,8,NA,0.0180676
spmv_exp1,32,9,NA,0.00076772
spmv_exp1,32,10,NA,0.000653243
spmv_exp1,64,1,NA,0.0308838
spmv_exp1,64,2,NA,0.026641
spmv_exp1,64,3,NA,0.025297
spmv_exp1,64,4,NA,0.0266871
spmv_exp1,64,5,NA,0.0136395
spmv_exp1,64,6,NA,0.013938
spmv_exp1,64,7,NA,0.0136186
spmv_exp1,64,8,NA,0.0128327
spmv_exp1,64,9,NA,0.0129793
spmv_exp1,64,10,NA,0.0135216
spmv_exp1,96,1,NA,0.0139863
spmv_exp1,96,2,NA,0.0278833
spmv_exp1,96,3,NA,0.0173976
spmv_exp1,96,4,NA,0.0269413
spmv_exp1,96,5,NA,0.014364
spmv_exp1,96,6,NA,0.0279425
spmv_exp1,96,7,NA,0.0272509
spmv_exp1,96,8,NA,0.0140491
spmv_exp1,96,9,NA,0.0272859
spmv_exp1,96,10,NA,0.0252954
spmv_guided,1,1,NA,0.000167603
spmv_guided,1,2,NA,0.000163957
spmv_guided,1,3,NA,0.000166202
spmv_guided,1,4,NA,0.000161862
spmv_guided,1,5,NA,0.00016095
spmv_guided,1,6,NA,0.00016172
spmv_guided,1,7,NA,0.000161045
spmv_guided,1,8,NA,0.000162836
spmv_guided,1,9,NA,0.000163037
spmv_guided,1,10,NA,0.000162608
spmv_guided,2,1,NA,0.000245983
spmv_guided,2,2,NA,0.00025512
spmv_guided,2,3,NA,0.000270718
spmv_guided,2,4,NA,0.000254392
spmv_guided,2,5,NA,0.00025485
spmv_guided,2,6,NA,0.000262217
spmv_guided,2,7,NA,0.000248595
spmv_guided,2,8,NA,0.00019952
spmv_guided,2,9,NA,0.000249414
spmv_guided,2,10,NA,0.000228091
spmv_guided,4,1,NA,0.000269111
spmv_guided,4,2,NA,0.000247285
spmv_guided,4,3,NA,0.000290507
spmv_guided,4,4,NA,0.000281737
spmv_guided,4,5,NA,0.000259683
spmv_guided,4,6,NA,0.000245127
spmv_guided,4,7,NA,0.000259753
spmv_guided,4,8,NA,0.000279609
spmv_guided,4,9,NA,0.000282069
spmv_guided,4,10,NA,0.00022508
spmv_guided,8,1,NA,0.0130451
spmv_guided,8,2,NA,0.0184591
spmv_guided,8,3,NA,0.0123455
spmv_guided,8,4,NA,0.0228086
spmv_guided,8,5,NA,0.013173
spmv_guided,8,6,NA,0.0132707
spmv_guided,8,7,NA,0.0127011
spmv_guided,8,8,NA,0.00709452
spmv_guided,8,9,NA,0.000279814
spmv_guided,8,10,NA,0.000280652
spmv_guided,16,1,NA,0.0127517
spmv_guided,16,2,NA,0.0128799
spmv_guided,16,3,NA,0.0127873
spmv_guided,16,4,NA,0.00346163
spmv_guided,16,5,NA,0.000424617
spmv_guided,16,6,NA,0.000595653
spmv_guided,16,7,NA,0.000497155
spmv_guided,16,8,NA,0.000471606
spmv_guided,16,9,NA,0.00035444
spmv_guided,16,10,NA,0.000377675
spmv_guided,32,1,NA,0.0263477
spmv_guided,32,2,NA,0.000822748
spmv_guided,32,3,NA,0.000731511
spmv_guided,32,4,NA,0.000769967
spmv_guided,32,5,NA,0.000754051
spmv_guided,32,6,NA,0.000760159
spmv_guided,32,7,NA,0.000827052
spmv_guided,32,8,NA,0.000795178
spmv_guided,32,9,NA,0.000795988
spmv_guided,32,10,NA,0.000695944
spmv_guided,64,1,NA,0.0267721
spmv_guided,64,2,NA,0.022575
spmv_guided,64,3,NA,0.0138107
spmv_guided,64,4,NA,0.012934
spmv_guided,64,5,NA,0.0135081
spmv_guided,64,6,NA,0.0131089
spmv_guided,64,7,NA,0.0132475
spmv_guided,64,8,NA,0.0133992
spmv_guided,64,9,NA,0.0133479
spmv_guided,64,10,NA,0.0217047
spmv_guided,96,1,NA,0.0141087
spmv_guided,96,2,NA,0.0270908
spmv_guided,96,3,NA,0.0272393
spmv_guided,96,4,NA,0.0274463
spmv_guided,96,5,NA,0.0273169
spmv_guided,96,6,NA,0.0284053
spmv_guided,96,7,NA,0.0265676
spmv_guided,96,8,NA,0.0134209
spmv_guided,96,9,NA,0.0144479
spmv_guided,96,10,NA,0.0150297
spmv_static,1,1,NA,0.000174651
spmv_static,1,2,NA,0.000166661
spmv_static,1,3,NA,0.000160287
spmv_static,1,4,NA,0.000157784
spmv_static,1,5,NA,0.000162629
spmv_static,1,6,NA,0.000158253
spmv_static,1,7,NA,0.000157963
spmv_static,1,8,NA,0.000159309
spmv_static,1,9,NA,0.000157632
spmv_static,1,10,NA,0.000159234
spmv_static,2,1,NA,0.000228485
spmv_static,2,2,NA,0.000221984
spmv_static,2,3,NA,0.000225107
spmv_static,2,4,NA,0.000226632
spmv_static,2,5,NA,0.000210434
spmv_static,2,6,NA,0.000219127
spmv_static,2,7,NA,0.000215732
spmv_static,2,8,NA,0.000220822
spmv_static,2,9,NA,0.000161271
spmv_static,2,10,NA,0.000164945
spmv_static,4,1,NA,0.0129844
spmv_static,4,2,NA,0.0126422
spmv_static,4,3,NA,0.0128899
spmv_static,4,4,NA,0.0127936
spmv_static,4,5,NA,0.0130747
spmv_static,4,6,NA,0.0126719
spmv_static,4,7,NA,0.0131099
spmv_static,4,8,NA,0.0238692
spmv_static,4,9,NA,0.0123483
spmv_static,4,10,NA,0.0125342
spmv_static,8,1,NA,0.0128296
spmv_static,8,2,NA,0.0124992
spmv_static,8,3,NA,0.0128262
spmv_static,8,4,NA,0.00946552
spmv_static,8,5,NA,0.00020182
spmv_static,8,6,NA,0.000192069
spmv_static,8,7,NA,0.000224598
spmv_static,8,8,NA,0.000217658
spmv_static,8,9,NA,0.000263846
spmv_static,8,10,NA,0.000192474
spmv_static,16,1,NA,0.0233726
spmv_static,16,2,NA,0.0123427
spmv_static,16,3,NA,0.0123479
spmv_static,16,4,NA,0.00292065
spmv_static,16,5,NA,0.0128991
spmv_static,16,6,NA,0.0130248
spmv_static,16,7,NA,0.0124288
spmv_static,16,8,NA,0.00278625
spmv_static,16,9,NA,0.000318771
spmv_static,16,10,NA,0.000302335
spmv_static,32,1,NA,0.0128347
spmv_static,32,2,NA,0.013148
spmv_static,32,3,NA,0.0129412
spmv_static,32,4,NA,0.00638752
spmv_static,32,5,NA,0.000690475
spmv_static,32,6,NA,0.00057009
spmv_static,32,7,NA,0.000572958
spmv_static,32,8,NA,0.000733775
spmv_static,32,9,NA,0.000655788
spmv_static,32,10,NA,0.000685306
spmv_static,64,1,NA,0.0142191
spmv_static,64,2,NA,0.0136081
spmv_static,64,3,NA,0.0135701
spmv_static,64,4,NA,0.01391
