Executable,Threads,Run,ChunkSize,Time
spmv_exp1,1,1,NA,0.00152382
spmv_exp1,1,2,NA,0.00151828
spmv_exp1,1,3,NA,0.00151921
spmv_exp1,1,4,NA,0.00151446
spmv_exp1,1,5,NA,0.00152542
spmv_exp1,1,6,NA,0.00151972
spmv_exp1,1,7,NA,0.00151712
spmv_exp1,1,8,NA,0.0015136
spmv_exp1,1,9,NA,0.00152252
spmv_exp1,1,10,NA,0.00151116
spmv_exp1,2,1,NA,0.0008765
spmv_exp1,2,2,NA,0.00087066
spmv_exp1,2,3,NA,0.0008671
spmv_exp1,2,4,NA,0.000870707
spmv_exp1,2,5,NA,0.00088385
spmv_exp1,2,6,NA,0.000865827
spmv_exp1,2,7,NA,0.000870849
spmv_exp1,2,8,NA,0.000880235
spmv_exp1,2,9,NA,0.000870545
spmv_exp1,2,10,NA,0.000868903
spmv_exp1,4,1,NA,0.0134225
spmv_exp1,4,2,NA,0.0126734
spmv_exp1,4,3,NA,0.0132373
spmv_exp1,4,4,NA,0.012839
spmv_exp1,4,5,NA,0.0130884
spmv_exp1,4,6,NA,0.0129315
spmv_exp1,4,7,NA,0.0126428
spmv_exp1,4,8,NA,0.0134092
spmv_exp1,4,9,NA,0.0126826
spmv_exp1,4,10,NA,0.0132803
spmv_exp1,8,1,NA,0.0129602
spmv_exp1,8,2,NA,0.0127795
spmv_exp1,8,3,NA,0.0133388
spmv_exp1,8,4,NA,0.0129658
spmv_exp1,8,5,NA,0.0132484
spmv_exp1,8,6,NA,0.0132702
spmv_exp1,8,7,NA,0.0131569
spmv_exp1,8,8,NA,0.0124567
spmv_exp1,8,9,NA,0.0127715
spmv_exp1,8,10,NA,0.0128241
spmv_exp1,16,1,NA,0.0129016
spmv_exp1,16,2,NA,0.0125641
spmv_exp1,16,3,NA,0.0132692
spmv_exp1,16,4,NA,0.0129043
spmv_exp1,16,5,NA,0.0167076
spmv_exp1,16,6,NA,0.012415
spmv_exp1,16,7,NA,0.0131782
spmv_exp1,16,8,NA,0.0173953
spmv_exp1,16,9,NA,0.00905097
spmv_exp1,16,10,NA,0.0132664
spmv_exp1,32,1,NA,0.0128611
spmv_exp1,32,2,NA,0.0128676
spmv_exp1,32,3,NA,0.000793687
spmv_exp1,32,4,NA,0.000763465
spmv_exp1,32,5,NA,0.000795526
spmv_exp1,32,6,NA,0.000766918
spmv_exp1,32,7,NA,0.000807812
spmv_exp1,32,8,NA,0.000856847
spmv_exp1,32,9,NA,0.000803544
spmv_exp1,32,10,NA,0.000851715
spmv_exp1,64,1,NA,0.0142474
spmv_exp1,64,2,NA,0.014317
spmv_exp1,64,3,NA,0.0129071
spmv_exp1,64,4,NA,0.0136235
spmv_exp1,64,5,NA,0.013038
spmv_exp1,64,6,NA,0.0173661
spmv_exp1,64,7,NA,0.0302198
spmv_exp1,64,8,NA,0.0130588
spmv_exp1,64,9,NA,0.0140927
